GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202210113,2022-09-11T13:00:00,1,2022,1,IND,HOU,AWAY,20,20,40,NRG Stadium,3,0,0,17,0,39,37,39:37,33,11,20,2,90,517,5.7,2,38,177,4.7,1,50,32,340,1,1,6.8,10.6,64.0,82.08,15,6,40.0,1,0,0.0,5,2,0,0,7,89,5,1,2,12,5,5,4,179,44.8,2,1,-1,0,10,10,0,0,30,23,30:23,20,4,12,4,68,299,4.4,2,28,77,2.8,0,37,23,222,2,0,6.0,9.7,62.2,96.9,15,5,33.3,0,0,0.0,1,1,0,0,6,40,1,1,3,18,7,6,7,318,45.4,1,2,1,40.0,0,100.0,0,2,2,0,0,0,0,0,3,2,2,2,0,0,0,0,0,2,2,48,11,3,18,2,1,2,53,37,2,12,11,2,1,Sunday,993003119,14,13,18015
202210215,2022-09-18T13:00:00,1,2022,2,IND,JAX,AWAY,0,24,24,TIAA Bank Field,0,0,0,0,0,21,45,21:45,9,3,6,0,48,218,4.5,0,13,54,4.2,0,30,16,164,0,3,5.5,10.2,53.3,29.72,10,2,20.0,2,0,0.0,2,0,0,0,5,30,2,0,5,31,2,8,5,227,45.4,3,0,-3,7,10,7,0,0,38,15,38:15,21,6,14,1,67,331,4.9,3,37,96,2.6,1,30,25,235,2,0,7.8,9.4,83.3,121.53,15,6,40.0,3,2,66.7,2,2,0,0,3,19,0,0,0,0,11,5,5,228,45.6,0,3,3,0.0,0,100.0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,1,1,53,15,0,0,3,0,0,30,11,5,31,11,1,0,Sunday,993003145,14,15,18026
202210314,2022-09-25T13:00:00,1,2022,3,IND,KC,HOME,20,17,37,Lucas Oil Stadium,7,3,3,7,0,33,32,33:32,19,5,12,2,69,259,3.8,2,27,82,3.0,0,37,27,177,2,0,4.8,6.6,73.0,100.84,15,6,40.0,3,1,33.3,3,2,0,0,4,34,2,1,5,45,5,4,3,154,51.3,1,2,1,6,8,3,0,0,26,28,26:28,20,6,12,2,60,315,5.2,2,23,58,2.5,1,36,20,257,1,1,7.1,12.8,55.6,75.81,10,3,30.0,2,1,50.0,4,2,0,0,6,45,2,1,1,5,10,6,3,170,56.7,2,1,-1,66.7,0,50.0,0,2,2,0,0,0,0,0,2,2,1,0,0,2,1,0,0,2,1,36,15,1,5,6,0,1,41,39,5,45,1,2,1,Sunday,993003190,14,16,18032
202210414,2022-10-02T13:00:00,1,2022,4,IND,TEN,HOME,17,24,41,Lucas Oil Stadium,0,10,7,0,0,33,57,33:57,21,3,17,1,63,365,5.8,2,23,38,1.7,0,37,27,327,2,1,8.8,12.1,73.0,106.48,13,7,53.8,0,0,0.0,3,2,0,0,7,50,3,2,3,29,5,3,2,67,33.5,3,0,-3,14,10,0,0,0,26,3,26:03,19,6,9,4,52,243,4.7,3,28,127,4.5,1,21,17,116,2,0,5.5,6.8,81.0,121.43,12,5,41.7,0,0,0.0,3,3,0,0,6,40,0,0,3,21,5,5,4,211,52.8,0,3,3,66.7,0,100.0,0,2,2,0,0,0,0,0,2,1,3,3,0,0,0,0,0,1,1,33,23,3,21,0,0,0,40,27,3,29,3,3,2,Sunday,993003214,14,34,18265
202210510,2022-10-06T20:15:00,1,2022,5,IND,DEN,AWAY,12,9,21,Empower Field at Mile High,0,3,3,3,3,34,36,34:36,19,4,14,1,73,306,4.2,0,26,106,4.1,0,41,26,200,0,2,4.9,7.7,63.4,54.93,16,4,25.0,0,0,0.0,2,0,0,0,8,64,4,0,6,51,8,4,7,310,44.3,2,2,0,3,3,3,0,0,32,51,32:51,18,6,11,1,71,375,5.3,0,28,125,4.5,0,39,21,250,0,2,6.4,11.9,53.8,52.3,15,2,13.3,2,1,50.0,4,0,0,0,7,49,2,0,4,24,12,7,5,229,45.8,2,2,0,0.0,0,0.0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,3,40,25,4,24,7,2,1,38,40,6,51,5,3,0,Thursday,993003237,14,10,18164
202210614,2022-10-16T13:00:00,1,2022,6,IND,JAX,HOME,34,27,61,Lucas Oil Stadium,0,13,6,15,0,28,49,28:49,29,4,22,3,74,434,5.9,4,16,45,2.8,1,58,42,389,3,0,6.7,9.3,72.4,107.61,15,10,66.7,0,0,0.0,4,3,0,0,7,52,2,0,0,0,4,9,3,110,36.7,0,1,1,7,7,7,6,0,31,11,31:11,25,13,8,4,59,379,6.4,4,33,243,7.4,3,22,20,136,1,0,6.2,6.8,90.9,107.58,10,5,50.0,2,1,50.0,3,3,0,0,4,44,2,1,4,29,6,3,3,151,50.3,1,0,-1,75.0,0,100.0,0,2,2,0,2,0,1,1,2,2,3,3,0,2,0,0,0,0,0,43,28,4,29,0,1,1,45,25,0,0,7,1,0,Sunday,993003278,14,15,18183
202210734,2022-10-23T13:00:00,1,2022,7,IND,TEN,AWAY,10,19,29,Nissan Stadium,0,0,7,3,0,28,27,28:27,17,5,12,0,64,292,4.6,1,17,65,3.8,0,44,33,227,1,2,5.2,6.9,75.0,74.72,13,4,30.8,1,1,100.0,1,1,0,0,4,28,1,1,3,16,7,6,5,176,35.2,3,1,-2,3,10,0,6,0,31,33,31:33,16,8,6,2,57,254,4.5,1,35,138,3.9,0,20,13,116,0,0,5.8,8.9,65.0,80.42,12,5,41.7,0,0,0.0,2,0,0,0,2,15,1,1,2,16,10,5,3,164,54.7,1,3,2,100.0,0,0.0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,4,41,23,2,16,3,0,1,47,24,3,16,5,1,1,Sunday,993003311,14,34,18038
202210814,2022-10-30T16:25:00,1,2022,8,IND,WAS,HOME,16,17,33,Lucas Oil Stadium,0,3,3,10,0,29,20,29:20,15,5,8,2,54,324,6.0,1,29,135,4.7,1,23,17,189,0,0,8.2,11.1,73.9,97.92,12,5,41.7,0,0,0.0,3,1,0,0,3,25,2,2,2,12,8,5,4,227,56.8,2,1,-1,0,7,0,10,0,30,40,30:40,20,7,13,0,61,362,5.9,2,28,96,3.4,1,31,23,266,1,1,8.6,11.6,74.2,96.98,12,2,16.7,3,2,66.7,3,2,0,0,3,52,0,0,2,13,7,5,6,294,49.0,1,2,1,33.3,0,66.7,0,1,1,0,0,0,0,0,3,3,2,2,0,0,0,0,0,1,1,40,28,2,13,4,0,0,41,16,2,12,2,1,2,Sunday,993003346,14,35,18128
202210921,2022-11-06T13:00:00,1,2022,9,IND,NE,AWAY,3,26,29,Gillette Stadium,0,0,3,0,0,28,54,28:54,8,4,3,1,60,121,2.0,0,22,78,3.5,0,29,15,43,0,1,1.5,2.9,51.7,43.32,14,0,0.0,2,0,0.0,2,0,0,0,2,15,0,0,9,60,7,8,8,348,43.5,1,1,0,0,13,3,10,0,31,6,31:06,11,5,6,0,62,203,3.3,2,28,70,2.5,0,30,20,133,1,0,4.4,6.6,66.7,87.22,17,6,35.3,0,0,0.0,2,1,0,0,4,35,2,1,4,14,12,8,7,271,38.7,1,1,0,0.0,0,50.0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,4,4,45,13,4,14,0,2,1,39,27,9,60,8,0,0,Sunday,993003361,14,21,18138
202211025,2022-11-13T16:05:00,1,2022,10,IND,LV,AWAY,25,20,45,Allegiant Stadium,7,6,6,6,0,29,1,29:01,20,8,10,2,59,415,7.0,3,30,207,6.9,2,28,21,208,1,0,7.4,9.9,75.0,107.44,11,6,54.5,0,0,0.0,2,1,0,0,4,25,2,1,1,14,5,4,3,143,47.7,1,0,-1,0,7,7,6,0,30,59,30:59,18,7,10,1,64,309,4.8,3,24,77,3.2,1,38,24,232,2,0,6.1,9.7,63.2,97.7,13,5,38.5,3,1,33.3,3,2,0,0,10,74,1,0,2,16,1,2,5,294,58.8,0,1,1,50.0,0,66.7,0,1,1,0,4,0,0,0,3,2,2,2,0,2,0,0,0,0,0,37,21,2,16,8,0,0,35,31,1,14,4,2,1,Sunday,993003399,14,25,18071
