GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202210119,2022-09-11T13:00:00,1,2022,1,MIA,NE,HOME,20,7,27,Hard Rock Stadium,3,14,3,0,0,32,30,32:30,18,3,13,2,59,307,5.2,2,23,65,2.8,0,33,23,242,1,0,7.3,10.5,69.7,100.82,14,6,42.9,1,1,100.0,2,0,0,0,4,20,2,0,3,28,3,4,4,183,45.8,0,3,3,0,0,7,0,0,27,30,27:30,17,5,10,2,54,271,5.0,1,22,78,3.5,0,30,21,193,1,1,6.4,9.2,70.0,84.44,9,4,44.4,1,0,0.0,1,1,0,0,3,15,2,2,2,20,7,6,3,118,39.3,3,0,-3,0.0,0,100.0,0,2,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,37,22,2,20,6,2,2,38,15,3,28,0,2,0,Sunday,993003114,19,21,18011
202210203,2022-09-18T13:00:00,1,2022,2,MIA,BAL,AWAY,42,38,80,M&T Bank Stadium,0,7,7,28,0,34,47,34:47,27,5,22,0,69,547,7.9,6,18,86,4.8,0,50,36,461,6,2,9.2,12.8,72.0,123.42,11,7,63.6,2,2,100.0,4,4,0,0,8,51,0,0,1,8,0,4,2,82,41.0,2,0,-2,7,21,7,3,0,25,13,25:13,23,6,13,4,54,473,8.8,5,25,155,6.2,1,29,21,318,3,0,11.0,15.1,72.4,142.6,10,3,30.0,3,1,33.3,3,2,0,0,1,5,1,0,0,0,2,4,2,81,40.5,0,2,2,100.0,0,66.7,0,6,6,0,0,0,0,0,0,0,5,5,0,0,0,0,0,1,1,33,21,0,0,2,0,0,39,21,1,8,7,0,0,Sunday,993003153,19,3,18027
202210319,2022-09-25T13:00:00,1,2022,3,MIA,BUF,HOME,21,19,40,Hard Rock Stadium,7,7,0,7,0,19,20,19:20,15,4,8,3,39,212,5.4,3,17,41,2.4,2,20,13,171,1,0,8.6,13.2,65.0,108.54,8,3,37.5,0,0,0.0,3,3,0,0,4,20,0,0,2,15,11,4,5,218,43.6,0,1,1,7,7,3,2,0,40,40,40:40,31,9,21,1,90,497,5.5,2,23,115,5.0,0,63,42,382,2,0,6.1,9.1,66.7,93.49,18,11,61.1,3,2,66.7,4,2,0,0,7,52,4,1,4,18,3,3,1,31,31.0,1,0,-1,100.0,0,50.0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,1,57,26,4,18,9,2,1,22,17,2,15,3,0,0,Sunday,993003176,19,4,18052
202210407,2022-09-29T20:15:00,1,2022,4,MIA,CIN,AWAY,15,27,42,Paycor Stadium,3,9,3,0,0,28,25,28:25,20,3,13,4,60,378,6.3,1,22,85,3.9,0,37,22,293,1,2,7.9,13.3,59.5,71.11,10,2,20.0,1,0,0.0,3,1,0,0,6,41,0,0,1,10,3,2,3,150,50.0,2,0,-2,7,7,0,13,0,31,35,31:35,16,4,11,1,63,371,5.9,3,30,67,2.2,1,32,21,304,2,0,9.5,14.5,65.6,117.19,15,8,53.3,1,0,0.0,3,2,0,0,6,74,0,0,1,6,9,4,4,159,39.8,0,2,2,33.3,0,66.7,0,1,0,0,0,0,0,0,4,3,3,3,0,0,0,0,0,2,2,35,23,1,6,1,0,0,37,16,1,10,5,0,0,Thursday,993003205,19,7,18261
202210524,2022-10-09T13:00:00,1,2022,5,MIA,NYJ,AWAY,17,40,57,MetLife Stadium,0,14,3,0,0,29,2,29:02,19,8,8,3,62,295,4.8,2,26,137,5.3,2,34,19,158,0,1,4.6,8.3,55.9,55.76,11,4,36.4,2,0,0.0,3,2,0,0,11,102,1,1,2,8,3,5,3,131,43.7,2,0,-2,5,14,0,21,0,30,58,30:58,21,8,9,4,56,322,5.8,5,33,135,4.1,5,21,14,187,0,0,8.9,13.4,66.7,94.74,11,5,45.5,1,0,0.0,6,5,0,0,5,105,0,0,2,23,16,2,4,185,46.2,0,2,2,66.7,0,83.3,0,2,2,0,0,0,0,0,2,1,5,5,0,0,0,0,0,1,1,33,20,2,23,2,0,0,37,20,2,8,4,1,1,Sunday,993003245,19,24,18170
202210619,2022-10-16T13:00:00,1,2022,6,MIA,MIN,HOME,16,24,40,Hard Rock Stadium,0,3,0,13,0,35,29,35:29,23,5,18,0,73,458,6.3,2,20,73,3.6,0,47,30,385,2,2,8.2,12.8,63.8,85.86,14,4,28.6,2,1,50.0,2,2,0,0,10,97,2,1,6,33,7,4,6,307,51.2,3,0,-3,0,10,0,14,0,24,31,24:31,11,2,7,2,50,234,4.7,3,17,78,4.6,1,30,20,156,2,0,5.2,7.8,66.7,101.53,12,2,16.7,0,0,0.0,3,2,0,0,2,20,1,0,3,19,13,8,10,441,44.1,0,3,3,100.0,0,66.7,0,1,1,0,2,0,0,0,2,1,2,1,0,2,1,0,0,1,1,29,22,3,19,5,1,0,47,18,6,33,9,1,1,Sunday,993003284,19,20,18184
202210719,2022-10-23T20:20:00,1,2022,7,MIA,PIT,HOME,16,10,26,Hard Rock Stadium,13,3,0,0,0,26,44,26:44,17,5,12,0,62,372,6.0,1,27,111,4.1,0,35,21,261,1,0,7.5,12.4,60.0,92.68,14,4,28.6,1,0,0.0,3,1,0,0,5,30,1,0,0,0,6,4,6,256,42.7,0,3,3,0,10,0,0,0,33,16,33:16,19,4,14,1,69,341,4.9,1,23,95,4.1,0,44,32,246,1,3,5.6,7.7,72.7,65.15,14,4,28.6,2,2,100.0,2,1,0,0,5,40,0,0,2,11,1,4,6,251,41.8,3,0,-3,33.3,0,50.0,0,1,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,1,1,49,28,2,11,4,0,0,40,21,0,0,5,0,0,Sunday,993003322,19,28,18047
202210811,2022-10-30T13:00:00,1,2022,8,MIA,DET,AWAY,31,27,58,Ford Field,7,10,14,0,0,34,22,34:22,27,8,18,1,64,476,7.4,4,26,107,4.1,1,36,29,369,3,0,10.2,12.7,80.6,137.15,12,8,66.7,1,1,100.0,3,3,0,0,7,55,1,1,2,13,4,3,1,38,38.0,1,0,-1,14,13,0,0,0,25,38,25:38,22,7,13,2,57,393,6.9,3,19,82,4.3,2,37,27,311,1,0,8.4,11.5,73.0,106.93,9,4,44.4,2,1,50.0,4,3,0,0,6,30,0,0,1,10,2,5,2,117,58.5,0,1,1,100.0,0,75.0,0,4,4,0,0,0,0,0,1,1,3,3,0,0,0,0,0,2,2,39,18,1,10,3,0,0,45,16,2,13,2,1,1,Sunday,993003335,19,11,18122
202210906,2022-11-06T13:00:00,1,2022,9,MIA,CHI,AWAY,35,32,67,Soldier Field,7,14,14,0,0,25,14,25:14,21,3,15,3,53,379,7.2,5,23,77,3.3,1,30,21,302,3,0,10.1,14.4,70.0,135.69,10,5,50.0,2,0,0.0,6,4,0,0,3,38,1,0,0,0,2,3,1,51,51.0,0,0,0,3,14,8,7,0,34,46,34:46,23,15,7,1,70,368,5.3,4,40,252,6.3,1,28,17,116,3,0,4.1,6.8,60.7,105.65,16,10,62.5,2,1,50.0,4,3,0,0,4,92,0,0,2,7,3,1,2,83,41.5,0,0,0,66.7,0,75.0,0,5,5,0,0,0,0,0,1,0,3,3,0,2,1,0,0,1,1,46,23,2,7,1,0,0,36,7,0,0,2,0,0,Sunday,993003369,19,6,18135
202211019,2022-11-13T13:00:00,1,2022,10,MIA,CLE,HOME,39,17,56,Hard Rock Stadium,7,10,13,9,0,33,14,33:14,29,11,17,1,67,491,7.3,5,33,195,5.9,2,33,26,296,3,0,9.0,11.4,78.8,134.34,11,6,54.5,2,1,50.0,5,3,0,0,5,43,1,0,1,6,14,3,0,0,0.0,0,1,1,7,0,3,7,0,26,46,26:46,20,7,10,3,62,297,4.8,2,24,112,4.7,1,35,22,185,1,0,5.3,8.4,62.9,86.01,12,5,41.7,5,2,40.0,2,1,0,0,6,52,2,1,3,27,2,2,1,41,41.0,1,0,-1,60.0,0,50.0,0,5,3,0,0,0,0,0,2,2,2,2,0,0,0,0,0,1,1,35,28,3,27,8,1,1,43,23,1,6,3,0,0,Sunday,993003392,19,8,18068
