GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202210134,2022-09-11T16:25:00,1,2022,1,TEN,NYG,HOME,20,21,41,Nissan Stadium,7,6,7,0,0,31,6,31:06,19,2,13,4,60,359,6.0,2,26,93,3.6,0,33,20,266,2,0,8.1,13.3,60.6,106.38,11,3,27.3,0,0,0.0,3,2,0,0,7,50,2,1,1,0,8,6,6,342,57.0,1,2,1,0,0,13,8,0,28,54,28:54,19,11,7,1,58,394,6.8,3,32,238,7.4,1,21,17,156,2,1,7.4,9.2,81.0,109.52,10,2,20.0,1,1,100.0,3,2,0,0,8,45,2,1,5,32,5,3,6,309,51.5,2,1,-1,66.7,0,66.7,0,2,2,0,0,0,0,0,3,2,1,1,0,3,1,0,0,0,0,46,20,5,32,2,2,1,41,17,1,0,2,0,1,Sunday,993003136,34,23,18016
202210204,2022-09-19T19:15:00,1,2022,2,TEN,BUF,AWAY,7,41,48,Highmark Stadium,7,0,0,0,0,28,26,28:26,12,5,6,1,53,187,3.5,1,27,80,3.0,1,24,12,107,0,2,4.5,8.9,50.0,27.6,12,4,33.3,1,1,100.0,1,1,0,0,9,87,3,2,2,16,3,2,6,333,55.5,4,0,-4,7,10,24,0,0,31,34,31:34,23,6,13,4,65,414,6.4,5,24,101,4.2,0,40,26,313,4,0,7.8,12.0,65.0,122.19,13,5,38.5,3,2,66.7,5,3,0,0,8,49,0,0,1,4,3,8,3,145,48.3,0,4,4,100.0,0,60.0,0,1,1,0,0,0,0,0,0,0,5,5,0,0,0,0,0,2,2,42,11,1,4,4,0,1,36,11,2,16,7,0,2,Monday,993003169,34,4,18001
202210334,2022-09-25T13:00:00,1,2022,3,TEN,LV,HOME,24,22,46,Nissan Stadium,7,17,0,0,0,29,15,29:15,19,6,13,0,55,361,6.6,3,27,109,4.0,2,27,19,252,1,1,9.3,13.3,70.4,96.53,10,5,50.0,1,0,0.0,3,3,0,0,7,85,1,0,1,12,5,4,3,181,60.3,1,1,0,3,7,3,9,0,30,45,30:45,24,7,14,3,65,396,6.1,2,19,96,5.1,0,45,27,300,2,1,6.7,11.1,60.0,85.42,12,1,8.3,3,3,100.0,6,2,0,0,6,44,2,0,1,7,5,2,3,144,48.0,1,1,0,100.0,0,33.3,0,3,3,0,0,0,0,0,1,1,1,1,0,2,0,0,0,3,3,37,22,1,7,6,1,0,38,18,1,12,5,1,0,Sunday,993003184,34,25,18051
202210414,2022-10-02T13:00:00,1,2022,4,TEN,IND,AWAY,24,17,41,Lucas Oil Stadium,14,10,0,0,0,26,3,26:03,19,6,9,4,52,243,4.7,3,28,127,4.5,1,21,17,116,2,0,5.5,6.8,81.0,121.43,12,5,41.7,0,0,0.0,3,3,0,0,6,40,0,0,3,21,5,5,4,211,52.8,0,3,3,0,10,7,0,0,33,57,33:57,21,3,17,1,63,365,5.8,2,23,38,1.7,0,37,27,327,2,1,8.8,12.1,73.0,106.48,13,7,53.8,0,0,0.0,3,2,0,0,7,50,3,2,3,29,5,3,2,67,33.5,3,0,-3,100.0,0,66.7,0,3,3,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,1,40,27,3,29,3,3,2,33,23,3,21,0,0,0,Sunday,993003213,34,14,18265
202210535,2022-10-09T13:00:00,1,2022,5,TEN,WAS,AWAY,21,17,38,FedEx Field,7,7,7,0,0,32,40,32:40,15,7,6,2,62,241,3.9,3,32,105,3.3,2,25,15,136,1,0,5.4,9.1,60.0,88.08,14,4,28.6,1,1,100.0,3,3,0,0,8,69,0,0,5,45,7,1,8,416,52.0,0,1,1,3,7,7,0,0,27,20,27:20,17,4,11,2,58,385,6.6,2,17,43,2.5,0,38,25,342,2,1,9.0,13.7,65.8,100.99,11,1,9.1,2,1,50.0,1,0,0,0,9,71,3,0,3,17,13,7,6,247,41.2,1,0,-1,100.0,0,0.0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,33,21,3,17,6,0,0,38,24,5,45,1,0,0,Sunday,993003257,34,35,18172
202210734,2022-10-23T13:00:00,1,2022,7,TEN,IND,HOME,19,10,29,Nissan Stadium,3,10,0,6,0,31,33,31:33,16,8,6,2,57,254,4.5,1,35,138,3.9,0,20,13,116,0,0,5.8,8.9,65.0,80.42,12,5,41.7,0,0,0.0,2,0,0,0,2,15,1,1,2,16,10,5,3,164,54.7,1,3,2,0,0,7,3,0,28,27,28:27,17,5,12,0,64,292,4.6,1,17,65,3.8,0,44,33,227,1,2,5.2,6.9,75.0,74.72,13,4,30.8,1,1,100.0,1,1,0,0,4,28,1,1,3,16,7,6,5,176,35.2,3,1,-2,0.0,0,100.0,0,1,1,0,0,0,0,0,4,4,1,1,0,0,0,0,0,1,1,47,24,3,16,5,1,1,41,23,2,16,3,0,1,Sunday,993003312,34,14,18038
202210813,2022-10-30T16:05:00,1,2022,8,TEN,HOU,AWAY,17,10,27,NRG Stadium,0,7,7,3,0,34,48,34:48,16,13,3,0,58,354,6.1,2,45,314,7.0,2,10,6,40,0,1,4.0,6.7,60.0,29.17,12,4,33.3,1,1,100.0,2,1,0,0,6,35,1,1,3,15,6,8,5,242,48.4,2,1,-1,0,3,0,7,0,25,12,25:12,10,4,5,1,51,161,3.2,1,18,43,2.4,0,30,17,118,1,1,3.9,6.9,56.7,62.92,14,2,14.3,2,2,100.0,2,1,0,0,6,45,0,0,3,34,4,5,8,374,46.8,1,2,1,50.0,0,50.0,0,2,2,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,1,36,13,3,34,2,0,0,45,22,3,15,1,1,1,Sunday,993003343,34,13,18127
202210916,2022-11-06T20:20:00,1,2022,9,TEN,KC,AWAY,17,20,37,Arrowhead Stadium,0,14,3,0,0,26,23,26:23,9,6,3,0,48,229,4.8,2,29,172,5.9,2,16,5,57,0,0,3.6,11.4,31.2,42.97,11,1,9.1,1,0,0.0,2,2,0,0,8,51,0,0,3,23,9,4,8,390,48.8,0,1,1,3,6,0,8,3,41,28,41:28,29,5,23,1,91,499,5.5,2,19,77,4.1,1,68,43,422,1,1,6.2,9.8,63.2,79.41,19,8,42.1,2,2,100.0,4,2,0,0,10,69,0,0,4,24,4,4,6,283,47.2,1,0,-1,100.0,0,50.0,0,2,2,0,0,0,0,0,1,1,1,0,0,2,0,1,1,3,2,55,32,4,24,4,0,0,25,25,3,23,4,0,0,Sunday,993003377,34,16,18144
202211034,2022-11-13T13:00:00,1,2022,10,TEN,DEN,HOME,17,10,27,Nissan Stadium,0,7,7,3,0,26,3,26:03,14,2,11,1,60,307,5.1,2,23,63,2.7,0,36,19,244,2,0,6.8,12.8,52.8,92.82,16,6,37.5,0,0,0.0,2,1,0,0,9,60,2,1,1,11,18,9,8,432,54.0,1,1,0,0,10,0,0,0,33,57,33:57,18,5,10,3,73,313,4.3,1,25,65,2.6,0,42,21,248,1,1,5.9,11.8,50.0,66.37,17,4,23.5,3,2,66.7,0,0,0,0,8,50,3,0,6,38,4,2,9,411,45.7,1,1,0,50.0,0,0.0,0,2,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,43,25,6,38,7,1,0,33,26,1,11,8,1,1,Sunday,993003398,34,10,18066
202211112,2022-11-17T20:15:00,1,2022,11,TEN,GB,AWAY,27,17,44,Lambeau Field,7,7,6,7,0,32,28,32:28,21,5,15,1,64,408,6.4,4,32,88,2.8,1,29,24,320,3,1,11.0,13.3,82.8,132.76,13,7,53.8,2,1,50.0,6,4,0,0,2,20,0,0,3,17,3,5,3,152,50.7,1,0,-1,6,0,11,0,0,27,32,27:32,15,4,11,0,59,271,4.6,2,19,56,2.9,0,39,24,215,2,0,5.5,9.0,61.5,93.43,14,7,50.0,2,0,0.0,3,2,0,0,5,40,1,0,1,12,5,3,4,189,47.2,0,1,1,66.7,0,66.7,0,4,3,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,1,37,19,1,12,3,1,0,42,28,3,17,1,0,0,Thursday,993003409,34,12,18075
202211234,2022-11-27T13:00:00,1,2022,12,TEN,CIN,HOME,16,20,36,Nissan Stadium,0,10,3,3,0,28,14,28:14,15,2,12,1,56,344,6.1,1,21,63,3.0,1,34,22,281,0,0,8.3,12.8,64.7,90.44,16,7,43.8,0,0,0.0,3,0,0,0,8,57,1,0,1,10,4,4,5,269,53.8,0,0,0,0,10,3,7,0,31,46,31:46,21,7,11,3,66,374,5.7,2,28,108,3.9,1,37,22,266,1,0,7.2,12.1,59.5,90.6,14,5,35.7,0,0,0.0,3,1,0,0,9,80,0,0,1,4,6,4,5,259,51.8,0,0,0,0.0,0,33.3,0,1,1,0,0,0,0,0,4,3,2,2,0,0,0,0,0,2,2,39,18,1,4,6,0,0,37,27,1,10,6,1,0,Sunday,993003446,34,7,18092
202211326,2022-12-04T13:00:00,1,2022,13,TEN,PHI,AWAY,10,35,45,Lincoln Financial Field,7,3,0,0,0,27,27,27:27,11,5,5,1,53,209,3.9,1,21,87,4.1,0,26,16,122,1,0,4.7,7.6,61.5,85.74,14,4,28.6,2,1,50.0,2,0,0,0,7,82,0,0,6,35,3,3,7,401,57.3,0,0,0,7,14,7,7,0,32,33,32:33,26,7,16,3,67,453,6.8,5,24,67,2.8,2,41,30,386,3,0,9.4,12.9,73.2,126.68,11,3,27.3,3,3,100.0,2,2,0,0,12,80,1,0,2,5,9,5,5,215,43.0,0,0,0,0.0,0,100.0,0,1,1,0,0,0,0,0,1,1,5,5,0,0,0,0,0,0,0,46,18,2,5,3,1,0,34,18,6,35,6,0,0,Sunday,993003481,34,26,18110
202211434,2022-12-11T13:00:00,1,2022,14,TEN,JAX,HOME,22,36,58,Nissan Stadium,14,0,0,8,0,27,8,27:08,22,7,14,1,62,364,5.9,3,20,137,6.8,1,38,25,227,2,1,6.0,9.1,65.8,88.38,10,5,50.0,1,0,0.0,3,3,0,0,5,50,4,3,4,27,1,6,3,150,50.0,4,0,-4,7,13,13,3,0,32,52,32:52,22,3,18,1,67,428,6.4,4,25,60,2.4,1,42,30,368,3,0,8.8,12.3,71.4,121.92,13,6,46.2,1,0,0.0,4,2,0,0,9,70,0,0,0,0,9,5,3,133,44.3,0,4,4,100.0,0,50.0,0,2,2,0,2,1,0,0,0,0,3,3,0,2,0,0,0,3,3,48,18,0,0,8,0,0,39,21,4,27,8,2,3,Sunday,993003514,34,15,18198
202211529,2022-12-18T16:25:00,1,2022,15,TEN,LAC,AWAY,14,17,31,SoFi Stadium,0,7,0,7,0,30,12,30:12,17,9,8,0,57,284,5.0,2,27,127,4.7,2,26,18,157,0,1,6.0,8.7,69.2,68.91,11,3,27.3,0,0,0.0,2,2,0,0,6,62,2,0,4,28,8,4,7,392,56.0,1,2,1,7,0,0,10,0,29,48,29:48,23,8,13,2,69,365,5.3,2,24,74,3.1,2,42,28,291,0,2,6.9,10.4,66.7,66.67,13,4,30.8,2,2,100.0,2,2,0,0,3,20,0,0,3,22,5,7,7,291,41.6,2,1,-1,100.0,0,100.0,0,2,2,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,1,45,26,3,22,5,0,0,40,22,4,28,5,1,0,Sunday,993003551,34,29,18218
