GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202210135,2022-09-11T13:00:00,1,2022,1,WAS,JAX,HOME,28,22,50,FedEx Field,7,7,0,14,0,32,57,32:57,26,7,16,3,70,390,5.6,4,28,85,3.0,0,41,27,305,4,2,7.4,11.3,65.9,100.15,10,7,70.0,0,0,0.0,2,2,0,0,6,63,1,1,1,8,10,3,3,147,49.0,3,1,-2,3,0,9,10,0,27,3,27:03,24,6,13,5,62,383,6.2,2,18,123,6.8,1,42,24,260,1,1,6.2,10.8,57.1,73.51,12,3,25.0,1,0,0.0,5,2,0,0,13,90,1,0,2,15,4,5,3,150,50.0,1,3,2,100.0,0,40.0,0,2,2,0,3,1,0,0,0,0,1,1,0,2,0,0,0,4,3,38,11,2,15,5,1,0,42,15,1,8,6,1,1,Sunday,993003116,35,15,18013
202210211,2022-09-18T13:00:00,1,2022,2,WAS,DET,AWAY,27,36,63,Ford Field,0,0,15,12,0,32,3,32:03,21,6,15,0,72,396,5.5,4,21,88,4.2,1,46,30,308,3,1,6.7,10.3,65.2,97.01,15,7,46.7,2,1,50.0,3,3,0,0,2,17,1,0,5,29,10,3,6,284,47.3,1,0,-1,12,10,7,7,0,27,57,27:57,17,5,12,0,61,425,7.0,4,24,191,8.0,0,34,20,234,4,0,6.9,11.7,58.8,119.0,13,4,30.8,2,0,0.0,6,4,0,0,1,5,0,0,3,22,11,5,5,277,55.4,0,1,1,100.0,0,66.7,0,2,1,0,4,1,0,0,0,0,4,4,0,0,0,0,0,2,2,32,20,3,22,5,0,0,45,23,5,29,2,1,0,Sunday,993003147,35,11,18242
202210335,2022-09-25T13:00:00,1,2022,3,WAS,PHI,HOME,8,24,32,FedEx Field,0,0,0,8,0,32,54,32:54,20,5,11,4,74,240,3.2,1,22,87,4.0,1,43,25,153,0,0,3.6,6.1,58.1,65.36,17,6,35.3,2,0,0.0,3,1,0,0,4,48,2,1,9,58,6,7,8,420,52.5,1,0,-1,0,24,0,0,0,27,6,27:06,21,3,16,2,68,400,5.9,3,30,72,2.4,0,35,22,328,3,0,9.4,14.9,62.9,122.08,15,5,33.3,3,2,66.7,4,2,0,0,5,52,1,0,3,12,17,8,6,277,46.2,0,1,1,33.3,0,50.0,0,0,0,0,2,0,0,0,0,0,3,3,0,0,0,0,0,1,1,43,17,3,12,7,0,0,47,20,9,58,4,2,1,Sunday,993003178,35,26,18055
202210409,2022-10-02T13:00:00,1,2022,4,WAS,DAL,AWAY,10,25,35,AT&T Stadium,0,7,3,0,0,33,6,33:06,17,6,10,1,71,297,4.2,1,27,142,5.3,0,42,25,155,1,2,3.7,6.2,59.5,55.16,15,5,33.3,2,0,0.0,3,1,0,0,11,136,1,0,2,15,4,7,6,270,45.0,2,0,-2,3,9,3,10,0,26,54,26:54,15,2,9,4,57,279,4.9,2,29,62,2.1,0,27,15,217,2,0,8.0,14.5,55.6,106.56,15,5,33.3,0,0,0.0,3,1,0,0,4,20,0,0,1,6,11,6,6,256,42.7,0,2,2,33.3,0,33.3,0,1,1,0,0,0,0,0,1,1,2,1,1,0,0,0,0,4,4,31,25,1,6,4,0,0,46,16,2,15,4,1,0,Sunday,993003217,35,9,18263
202210535,2022-10-09T13:00:00,1,2022,5,WAS,TEN,HOME,17,21,38,FedEx Field,3,7,7,0,0,27,20,27:20,17,4,11,2,58,385,6.6,2,17,43,2.5,0,38,25,342,2,1,9.0,13.7,65.8,100.99,11,1,9.1,2,1,50.0,1,0,0,0,9,71,3,0,3,17,13,7,6,247,41.2,1,0,-1,7,7,7,0,0,32,40,32:40,15,7,6,2,62,241,3.9,3,32,105,3.3,2,25,15,136,1,0,5.4,9.1,60.0,88.08,14,4,28.6,1,1,100.0,3,3,0,0,8,69,0,0,5,45,7,1,8,416,52.0,0,1,1,0.0,0,100.0,0,2,2,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,38,24,5,45,1,0,0,33,21,3,17,6,0,0,Sunday,993003258,35,34,18172
202210606,2022-10-13T20:15:00,1,2022,6,WAS,CHI,AWAY,12,7,19,Soldier Field,0,3,0,9,0,27,48,27:48,14,7,5,2,53,214,4.0,1,28,128,4.6,1,22,12,86,0,0,3.9,7.2,54.5,63.83,11,2,18.2,0,0,0.0,2,1,0,0,7,36,1,0,3,13,12,4,6,307,51.2,0,2,2,0,0,7,0,0,32,12,32:12,20,9,9,2,69,392,5.7,1,37,238,6.4,0,27,14,154,1,1,5.7,11.0,51.9,65.97,13,5,38.5,4,1,25.0,3,0,0,0,4,42,2,1,5,36,3,3,4,185,46.2,2,0,-2,50.0,0,0.0,0,0,0,0,2,0,0,0,3,2,1,1,0,0,0,0,0,0,0,45,22,5,36,5,1,1,37,21,3,13,4,1,0,Thursday,993003269,35,6,18179
202210735,2022-10-23T13:00:00,1,2022,7,WAS,GB,HOME,23,21,44,FedEx Field,3,7,10,3,0,37,7,37:07,22,8,11,3,72,364,5.1,2,38,166,4.4,0,33,20,198,2,1,6.0,9.9,60.6,85.16,16,7,43.8,0,0,0.0,4,1,0,0,7,54,0,0,1,3,1,3,4,192,48.0,1,1,0,7,7,0,7,0,22,53,22:53,16,2,10,4,47,232,4.9,3,12,38,3.2,0,35,23,194,2,0,5.5,8.4,65.7,98.99,6,0,0.0,1,0,0.0,1,1,0,0,9,69,3,1,0,0,9,6,5,208,41.6,1,1,0,25.0,0,100.0,0,2,2,0,0,0,0,0,4,3,3,3,0,0,0,0,0,0,0,21,24,0,0,3,0,1,37,45,1,3,6,0,0,Sunday,993003302,35,12,18039
202210814,2022-10-30T16:25:00,1,2022,8,WAS,IND,AWAY,17,16,33,Lucas Oil Stadium,0,7,0,10,0,30,40,30:40,20,7,13,0,61,362,5.9,2,28,96,3.4,1,31,23,266,1,1,8.6,11.6,74.2,96.98,12,2,16.7,3,2,66.7,3,2,0,0,3,52,0,0,2,13,7,5,6,294,49.0,1,2,1,0,3,3,10,0,29,20,29:20,15,5,8,2,54,324,6.0,1,29,135,4.7,1,23,17,189,0,0,8.2,11.1,73.9,97.92,12,5,41.7,0,0,0.0,3,1,0,0,3,25,2,2,2,12,8,5,4,227,56.8,2,1,-1,66.7,0,33.3,0,2,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,3,41,16,2,12,2,1,2,40,28,2,13,4,0,0,Sunday,993003345,35,14,18128
202210935,2022-11-06T13:00:00,1,2022,9,WAS,MIN,HOME,17,20,37,FedEx Field,0,3,7,7,0,30,47,30:47,18,6,9,3,61,263,4.3,2,30,137,4.6,0,28,15,126,2,1,4.5,8.4,53.6,74.4,10,3,30.0,1,0,0.0,1,1,0,0,3,26,0,0,3,23,11,13,5,240,48.0,1,1,0,7,0,0,13,0,29,13,29:13,17,3,12,2,65,301,4.6,2,22,56,2.5,0,41,23,245,2,1,6.0,10.7,56.1,79.83,16,7,43.8,0,0,0.0,4,2,0,0,5,42,0,0,2,17,7,6,6,310,51.7,1,1,0,100.0,0,50.0,0,2,2,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,2,41,21,2,17,7,0,0,40,19,3,23,7,0,0,Sunday,993003364,35,20,18140
202211026,2022-11-14T20:15:00,1,2022,10,WAS,PHI,AWAY,32,21,53,Lincoln Financial Field,7,13,3,9,0,40,24,40:24,25,12,9,4,81,330,4.1,3,49,152,3.1,2,29,17,178,0,1,6.1,10.5,58.6,62.14,21,12,57.1,1,1,100.0,3,2,0,0,5,58,2,1,3,33,1,1,2,87,43.5,2,4,2,14,0,0,7,0,19,36,19:36,18,7,10,1,47,264,5.6,3,20,94,4.7,1,26,17,170,2,1,6.5,10.0,65.4,93.43,8,5,62.5,0,0,0.0,3,3,0,0,7,75,3,3,1,5,4,3,3,141,47.0,4,2,-2,66.7,0,100.0,0,2,2,0,0,0,0,0,4,4,3,3,0,0,0,0,0,0,0,25,21,1,5,3,2,3,54,37,3,33,5,1,1,Monday,993003407,35,26,18074
