GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202310135,2023-09-10T13:00:00,1,2023,1,ARI,WAS,AWAY,16,20,36,FedEx Field,3,10,3,0,0,28,36,28:36,13,4,9,0,58,210,3.6,1,25,96,3.8,0,30,21,114,0,0,3.8,5.4,70.0,76.25,14,4,28.6,1,0,0.0,2,0,0,0,9,122,3,2,3,18,6,6,5,235,47.0,2,3,1,7,3,0,10,0,31,24,31:24,21,7,10,4,65,248,3.8,2,28,92,3.3,1,31,19,156,1,1,5.0,8.2,61.3,71.44,12,4,33.3,0,0,0.0,5,2,0,0,8,70,2,2,6,46,6,11,6,266,44.3,3,2,-1,0.0,0,40.0,0,1,1,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,2,42,26,6,46,7,2,2,40,24,3,18,3,1,2,Sunday,993003779,1,35,18492
202310201,2023-09-17T16:05:00,1,2023,2,ARI,NYG,HOME,28,31,59,State Farm Stadium,7,13,8,0,0,30,37,30:37,24,10,11,3,60,379,6.3,3,29,151,5.2,2,31,21,228,1,0,7.4,10.9,67.7,99.93,10,4,40.0,0,0,0.0,3,2,0,0,8,57,0,0,0,0,5,5,3,146,48.7,0,1,1,0,0,14,17,0,29,23,29:23,26,10,15,1,67,439,6.6,4,27,127,4.7,2,37,26,312,2,1,8.4,12.0,70.3,102.53,12,7,58.3,1,1,100.0,5,4,0,0,9,75,0,0,3,9,6,7,3,111,37.0,1,0,-1,66.7,0,80.0,0,2,2,0,0,0,1,1,3,2,4,4,0,0,0,0,0,1,1,46,15,3,9,7,0,0,44,14,0,0,2,0,0,Sunday,993003828,1,23,18566
202310301,2023-09-24T16:25:00,1,2023,3,ARI,DAL,HOME,28,16,44,State Farm Stadium,9,12,0,7,0,25,27,25:27,20,8,8,4,53,400,7.5,3,30,222,7.4,2,21,17,178,1,0,8.5,10.5,81.0,117.86,10,5,50.0,0,0,0.0,2,2,0,0,8,69,0,0,2,11,4,5,2,94,47.0,0,1,1,3,7,3,3,0,34,33,34:33,26,12,11,3,75,416,5.5,1,33,185,5.6,0,40,25,231,1,1,5.8,9.2,62.5,76.15,16,9,56.2,1,0,0.0,5,1,0,0,13,107,0,0,2,18,4,6,2,102,51.0,1,0,-1,100.0,0,20.0,0,1,1,0,3,0,0,0,3,3,1,1,0,0,0,0,0,3,3,51,23,2,18,9,0,0,34,26,2,11,1,0,0,Sunday,993003864,1,9,18466
202310431,2023-10-01T16:25:00,1,2023,4,ARI,SF,AWAY,16,35,51,Levi's Stadium,0,10,6,0,0,30,46,30:46,23,7,13,3,67,362,5.4,2,25,105,4.2,0,41,28,257,2,0,6.3,9.2,68.3,101.37,15,8,53.3,3,2,66.7,3,2,0,0,9,55,1,0,1,8,1,3,3,117,39.0,0,0,0,7,14,0,14,0,29,14,29:14,30,10,17,3,53,395,7.5,5,31,124,4.0,4,21,20,271,1,0,12.9,13.6,95.2,134.62,5,3,60.0,1,1,100.0,5,5,0,0,4,21,0,0,1,12,7,3,1,45,45.0,0,0,0,66.7,0,100.0,0,1,1,0,1,0,0,0,1,1,5,5,0,0,0,0,0,0,0,36,24,1,12,0,0,0,45,18,1,8,0,0,0,Sunday,993003899,1,31,18512
202310501,2023-10-08T16:05:00,1,2023,5,ARI,CIN,HOME,20,34,54,State Farm Stadium,0,14,6,0,0,21,50,21:50,15,5,10,0,57,294,5.2,3,22,142,6.5,1,32,15,152,2,2,4.8,10.1,46.9,55.73,11,4,36.4,3,0,0.0,3,2,0,0,2,16,1,1,3,14,4,9,4,219,54.8,3,1,-2,10,7,7,10,0,38,10,38:10,27,7,19,1,79,380,4.8,4,30,93,3.1,0,46,36,287,3,1,6.2,8.0,78.3,105.34,14,5,35.7,3,0,0.0,5,2,0,0,4,40,1,0,3,30,8,3,3,145,48.3,1,3,2,66.7,0,40.0,0,3,2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2,2,60,26,3,30,1,1,0,29,20,3,14,8,1,1,Sunday,993003922,1,7,18354
202310632,2023-10-15T16:25:00,1,2023,6,ARI,LAR,AWAY,9,26,35,SoFi Stadium,3,6,0,0,0,30,30,30:30,20,6,12,2,73,345,4.7,0,30,130,4.3,0,41,21,215,0,1,5.2,10.2,51.2,56.45,16,6,37.5,4,2,50.0,3,0,0,0,5,36,1,1,2,20,3,5,3,134,44.7,2,1,-1,3,3,10,10,0,29,30,29:30,17,9,7,1,55,382,6.9,2,28,179,6.4,1,24,15,203,1,0,8.5,13.5,62.5,103.3,12,4,33.3,0,0,0.0,5,2,0,0,6,59,1,1,3,23,9,6,4,186,46.5,1,2,1,0.0,0,40.0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,4,4,36,22,3,23,0,1,1,44,21,2,20,6,1,1,Sunday,993003955,1,32,18368
202310730,2023-10-22T16:05:00,1,2023,7,ARI,SEA,AWAY,10,20,30,Lumen Field,3,7,0,0,0,29,28,29:28,15,6,7,2,63,249,4.0,1,25,127,5.1,1,34,20,122,0,0,3.6,6.1,58.8,66.05,15,5,33.3,3,0,0.0,1,0,0,0,7,59,2,0,4,28,3,5,5,240,48.0,0,3,3,7,7,3,3,0,30,32,30:32,18,6,11,1,58,318,5.5,2,32,115,3.6,0,24,18,203,2,1,8.5,11.3,75.0,110.24,13,7,53.8,0,0,0.0,3,1,0,0,5,32,2,2,2,16,8,7,3,143,47.7,3,0,-3,0.0,0,33.3,0,1,1,0,0,0,0,0,2,1,2,2,0,0,0,0,0,2,2,38,23,2,16,3,1,2,45,18,4,28,8,1,0,Sunday,993003979,1,30,18523
202310801,2023-10-29T16:25:00,1,2023,8,ARI,BAL,HOME,24,31,55,State Farm Stadium,7,0,0,17,0,30,21,30:21,22,7,12,3,71,310,4.4,3,32,129,4.0,1,37,25,181,2,2,4.9,7.2,67.6,74.27,12,5,41.7,2,0,0.0,3,3,0,0,6,70,1,0,2,27,6,5,4,207,51.8,2,0,-2,7,7,7,10,0,29,39,29:39,21,9,8,4,60,268,4.5,4,29,130,4.5,3,27,18,138,1,0,5.1,7.7,66.7,91.28,11,4,36.4,0,0,0.0,4,4,0,0,6,45,1,0,4,19,7,6,5,242,48.4,0,2,2,100.0,0,100.0,0,1,1,0,2,0,1,1,1,1,4,4,0,0,0,0,0,2,1,40,19,4,19,5,1,0,51,17,2,27,4,1,0,Sunday,993004014,1,3,18584
202310908,2023-11-05T13:00:00,1,2023,9,ARI,CLE,AWAY,0,27,27,Cleveland Browns Stadium,0,0,0,0,0,23,35,23:35,7,3,3,1,48,58,1.2,0,21,41,2.0,0,20,11,17,0,2,0.8,1.5,55.0,20.83,12,1,8.3,1,0,0.0,0,0,0,0,4,40,1,1,7,41,5,7,9,460,51.1,3,0,-3,0,0,0,0,27,36,25,36:25,17,7,9,1,71,326,4.6,3,40,113,2.8,1,30,19,213,2,0,7.1,11.2,63.3,106.67,17,6,35.3,2,1,50.0,4,3,0,0,6,65,0,0,1,6,10,10,7,410,58.6,0,3,3,0.0,0,75.0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,2,47,35,1,6,1,0,0,38,12,7,41,8,1,1,Sunday,993004029,1,8,18374
202311001,2023-11-12T16:05:00,1,2023,10,ARI,ATL,HOME,25,23,48,State Farm Stadium,3,9,10,3,0,28,18,28:18,20,8,11,1,60,352,5.9,2,26,122,4.7,2,32,19,230,0,1,7.2,12.1,59.4,68.49,11,3,27.3,1,1,100.0,4,2,0,0,11,112,0,0,2,19,5,4,3,156,52.0,1,0,-1,0,14,3,6,0,31,42,31:42,20,11,5,4,65,254,3.9,3,41,184,4.5,2,21,12,70,1,0,3.3,5.8,57.1,79.46,14,7,50.0,2,1,50.0,4,3,0,0,4,43,0,0,3,24,2,2,4,203,50.8,0,1,1,50.0,0,75.0,0,1,1,0,2,0,0,0,4,4,2,2,0,2,0,0,0,1,1,41,32,3,24,2,0,0,39,16,2,19,6,0,0,Sunday,993004066,1,2,18392
