GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202310103,2023-09-10T13:00:00,1,2023,1,BAL,HOU,HOME,25,9,34,M&T Bank Stadium,7,0,15,3,0,30,55,30:55,18,7,8,3,58,265,4.6,3,32,110,3.4,3,22,17,155,0,1,7.0,9.1,77.3,76.89,15,8,53.3,0,0,0.0,5,3,0,0,13,106,2,1,4,14,10,6,5,249,49.8,2,1,-1,0,6,0,3,0,29,5,29:05,18,1,13,4,72,268,3.7,0,23,72,3.1,0,44,28,196,0,0,4.5,7.0,63.6,73.67,18,7,38.9,4,1,25.0,2,0,0,0,9,88,1,1,5,46,6,5,4,176,44.0,1,2,1,60.0,0,0.0,0,2,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,3,3,45,32,5,46,4,1,1,40,23,4,14,1,1,1,Sunday,993003794,3,13,18493
202310207,2023-09-17T13:00:00,1,2023,2,BAL,CIN,AWAY,27,24,51,Paycor Stadium,7,6,7,7,0,33,4,33:04,26,11,12,3,70,415,5.9,3,37,178,4.8,1,33,24,237,2,0,7.2,9.9,72.7,112.82,14,9,64.3,0,0,0.0,4,3,0,0,6,56,0,0,0,0,5,1,2,117,58.5,0,1,1,0,10,7,7,0,26,56,26:56,19,4,13,2,57,282,4.9,3,15,66,4.4,0,41,27,216,2,1,5.3,8.0,65.9,85.01,15,10,66.7,1,1,100.0,4,2,0,0,5,30,0,0,1,6,1,3,3,120,40.0,1,0,-1,75.0,0,50.0,0,3,3,0,0,0,0,0,3,2,3,3,0,0,0,0,0,1,1,34,19,1,6,6,0,0,50,22,0,0,3,0,0,Sunday,993003813,3,7,18559
202310303,2023-09-24T13:00:00,1,2023,3,BAL,IND,HOME,19,22,41,M&T Bank Stadium,7,0,7,5,0,32,18,32:18,20,12,7,1,72,364,5.1,2,37,186,5.0,2,31,22,178,0,0,5.7,8.1,71.0,85.15,16,6,37.5,1,0,0.0,2,2,0,0,1,5,4,2,4,24,7,4,7,329,47.0,2,0,-2,0,10,3,6,3,36,33,36:33,19,10,9,0,84,327,3.9,1,35,139,4.0,0,44,27,188,1,0,4.3,7.0,61.4,78.6,22,8,36.4,1,0,0.0,2,1,0,0,6,31,1,0,5,39,4,6,7,325,46.4,0,2,2,100.0,0,50.0,0,2,2,0,0,0,0,0,2,1,1,1,0,0,0,0,0,5,5,53,34,5,39,5,1,0,52,24,4,24,1,3,2,Sunday,993003856,3,14,18463
202310408,2023-10-01T13:00:00,1,2023,4,BAL,CLE,AWAY,28,3,31,Cleveland Browns Stadium,7,14,0,7,0,29,50,29:50,16,7,8,1,55,296,5.4,4,33,131,4.0,2,19,15,165,2,0,8.7,11.0,78.9,137.94,12,4,33.3,1,1,100.0,4,4,0,0,8,92,2,1,3,21,6,10,7,334,47.7,1,3,2,3,0,0,0,0,30,10,30:10,13,5,6,2,65,166,2.6,0,25,93,3.7,0,36,19,73,0,3,2.0,3.8,52.8,23.84,16,4,25.0,1,1,100.0,2,0,0,0,7,42,1,0,4,48,7,9,8,373,46.6,3,1,-2,100.0,0,0.0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,39,11,4,48,10,0,0,40,22,3,21,3,0,1,Sunday,993003887,3,8,18503
202310528,2023-10-08T13:00:00,1,2023,5,BAL,PIT,AWAY,10,17,27,Acrisure Stadium,7,3,0,0,0,30,14,30:14,19,7,11,1,67,335,5.0,1,25,125,5.0,1,38,22,210,0,1,5.5,9.5,57.9,62.39,14,5,35.7,2,0,0.0,3,1,0,0,2,20,4,2,4,26,4,5,4,154,38.5,3,1,-2,0,3,0,14,0,29,46,29:46,17,6,11,0,65,289,4.4,1,30,87,2.9,0,32,18,202,1,0,6.3,11.2,56.2,85.68,15,6,40.0,0,0,0.0,2,0,0,0,3,30,1,1,3,22,6,6,6,257,42.8,1,3,2,33.3,0,0.0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,3,3,37,27,3,22,5,1,1,43,18,4,26,6,3,2,Sunday,993003919,3,28,18352
202310634,2023-10-15T09:30:00,1,2023,6,BAL,TEN,AWAY,24,16,40,Tottenham Hotspur Stadium,6,12,0,6,0,35,42,35:42,20,9,9,2,70,360,5.1,1,39,139,3.6,0,30,21,221,1,1,7.4,10.5,70.0,88.33,16,8,50.0,0,0,0.0,6,1,0,0,9,88,0,0,1,2,10,7,3,146,48.7,1,2,1,3,0,10,3,0,24,18,24:18,17,5,4,8,46,233,5.1,1,19,129,6.8,1,21,12,104,0,1,5.0,8.7,57.1,50.5,9,1,11.1,0,0,0.0,4,1,0,0,6,45,1,1,6,46,1,5,5,263,52.6,2,1,-1,16.7,0,25.0,0,1,0,1,0,0,0,0,6,6,1,1,0,0,0,0,0,3,3,32,15,6,46,4,0,1,55,19,1,2,2,0,0,Sunday,993003935,3,34,18334
202310703,2023-10-22T13:00:00,1,2023,7,BAL,DET,HOME,38,6,44,M&T Bank Stadium,14,14,7,3,0,30,22,30:22,23,7,15,1,55,503,9.1,5,27,146,5.4,2,28,21,357,3,0,12.8,17.0,75.0,152.38,8,4,50.0,1,1,100.0,6,5,0,0,4,45,1,1,0,0,8,4,2,112,56.0,1,1,0,0,0,0,6,0,29,38,29:38,18,4,13,1,72,337,4.7,1,14,84,6.0,1,53,33,253,0,1,4.8,7.7,62.3,66.0,16,5,31.2,6,2,33.3,1,0,0,0,5,57,2,0,5,31,1,2,4,184,46.0,1,1,0,83.3,0,0.0,0,5,5,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,49,13,5,31,6,2,0,34,17,0,0,0,0,1,Sunday,993003972,3,11,18521
202310801,2023-10-29T16:25:00,1,2023,8,BAL,ARI,AWAY,31,24,55,State Farm Stadium,7,7,7,10,0,29,39,29:39,21,9,8,4,60,268,4.5,4,29,130,4.5,3,27,18,138,1,0,5.1,7.7,66.7,91.28,11,4,36.4,0,0,0.0,4,4,0,0,6,45,1,0,4,19,7,6,5,242,48.4,0,2,2,7,0,0,17,0,30,21,30:21,22,7,12,3,71,310,4.4,3,32,129,4.0,1,37,25,181,2,2,4.9,7.2,67.6,74.27,12,5,41.7,2,0,0.0,3,3,0,0,6,70,1,0,2,27,6,5,4,207,51.8,2,0,-2,100.0,0,100.0,0,4,4,0,0,0,0,0,2,1,1,1,0,2,0,1,1,1,1,51,17,2,27,4,1,0,40,19,4,19,5,1,0,Sunday,993004013,3,1,18584
202310903,2023-11-05T13:00:00,1,2023,9,BAL,SEA,HOME,37,3,40,M&T Bank Stadium,0,0,0,0,37,40,4,40:04,29,16,11,2,75,515,6.9,4,41,298,7.3,3,33,26,217,1,0,6.6,8.3,78.8,104.17,13,6,46.2,2,1,50.0,6,3,0,0,3,11,3,2,1,8,4,5,2,113,56.5,2,2,0,0,0,0,0,3,19,56,19:56,6,1,5,0,47,151,3.2,0,15,28,1.9,0,28,13,123,0,1,4.4,9.5,46.4,44.2,12,1,8.3,1,0,0.0,1,0,0,0,5,29,1,1,4,34,0,4,7,320,45.7,2,2,0,50.0,0,0.0,0,4,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,29,8,4,34,7,1,1,53,23,1,8,2,2,2,Sunday,993004032,3,30,18378
202311003,2023-11-12T13:00:00,1,2023,10,BAL,CLE,HOME,31,33,64,M&T Bank Stadium,17,0,7,7,0,25,45,25:45,17,3,9,5,50,306,6.1,4,24,106,4.4,2,23,13,200,1,2,8.7,15.4,56.5,63.68,8,2,25.0,0,0,0.0,2,1,0,0,7,64,0,0,3,23,8,4,3,161,53.7,2,2,0,3,6,8,16,0,34,15,34:15,24,12,10,2,75,373,5.0,3,36,178,4.9,1,35,20,195,1,1,5.6,9.8,57.1,70.54,16,8,50.0,2,1,50.0,5,2,0,0,10,55,2,1,4,18,6,4,2,89,44.5,2,2,0,50.0,0,40.0,0,4,4,0,0,0,0,0,2,1,2,1,0,0,0,1,1,4,4,46,32,4,18,3,1,1,29,21,3,23,6,0,0,Sunday,993004060,3,8,18391
