GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202310110,2023-09-10T16:25:00,1,2023,1,DEN,LV,HOME,16,17,33,Empower Field at Mile High,6,7,0,3,0,32,8,32:08,22,5,11,6,58,260,4.5,2,22,94,4.3,0,34,27,166,2,0,4.9,6.1,79.4,106.62,11,5,45.5,0,0,0.0,3,2,0,0,10,83,0,0,2,11,3,1,2,80,40.0,0,1,1,7,3,0,7,0,27,52,27:52,22,5,11,6,55,261,4.7,2,29,61,2.1,0,26,20,200,2,1,7.7,10.0,76.9,107.85,11,5,45.5,1,1,100.0,4,2,0,0,10,97,1,0,0,0,4,7,1,49,49.0,1,0,-1,66.7,0,50.0,0,2,1,0,0,0,0,0,2,1,2,2,0,0,0,0,0,1,1,31,23,0,0,5,0,0,38,25,2,11,1,0,0,Sunday,993003798,10,25,18495
202310210,2023-09-17T16:25:00,1,2023,2,DEN,WAS,HOME,33,35,68,Empower Field at Mile High,14,7,3,9,0,26,15,26:15,21,10,8,3,62,399,6.4,4,23,122,5.3,1,32,18,277,3,1,8.7,15.4,56.2,103.26,12,4,33.3,2,2,100.0,4,2,0,0,9,58,1,1,7,31,8,6,3,134,44.7,2,0,-2,3,11,7,14,0,33,45,33:45,26,11,11,4,66,388,5.9,4,23,122,5.3,2,39,27,266,2,0,6.8,9.9,69.2,105.29,10,3,30.0,1,1,100.0,3,3,0,0,8,71,2,0,4,33,14,5,3,168,56.0,0,2,2,50.0,0,100.0,0,3,3,0,2,0,0,0,2,2,3,3,0,0,0,1,1,4,2,41,21,4,33,4,1,0,34,24,7,31,4,1,1,Sunday,993003834,10,35,18568
202310319,2023-09-24T13:00:00,1,2023,3,DEN,MIA,AWAY,20,70,90,Hard Rock Stadium,7,6,0,7,0,26,39,26:39,16,2,13,1,59,363,6.2,2,20,69,3.4,0,38,23,294,1,1,7.7,12.8,60.5,82.57,12,3,25.0,1,0,0.0,4,1,0,0,7,46,2,2,1,12,1,6,5,234,46.8,3,0,-3,14,21,14,21,0,33,21,33:21,30,12,16,2,71,726,10.2,10,43,350,8.1,5,28,25,376,5,0,13.4,15.0,89.3,158.33,9,5,55.6,3,1,33.3,6,6,0,0,6,55,0,0,0,0,13,4,1,48,48.0,0,3,3,25.0,0,100.0,0,2,2,0,0,0,0,0,2,2,10,10,0,0,0,0,0,0,0,48,31,0,0,0,0,0,32,23,1,12,8,3,2,Sunday,993003853,10,19,18458
202310406,2023-10-01T13:00:00,1,2023,4,DEN,CHI,AWAY,31,28,59,Soldier Field,7,0,7,17,0,26,11,26:11,17,6,9,2,48,311,6.5,4,19,97,5.1,0,28,21,214,3,0,7.6,10.2,75.0,132.14,11,6,54.5,0,0,0.0,3,3,0,0,7,39,1,0,1,9,10,3,4,163,40.8,0,2,2,0,21,7,0,0,33,49,33:49,26,7,17,2,70,471,6.7,4,31,171,5.5,0,35,28,300,4,1,8.6,10.7,80.0,128.57,12,6,50.0,3,1,33.3,3,2,0,0,10,91,1,1,4,35,5,4,2,90,45.0,2,0,-2,100.0,0,66.7,0,4,4,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,49,28,4,35,4,1,1,37,12,1,9,1,0,0,Sunday,993003881,10,6,18502
202310510,2023-10-08T16:25:00,1,2023,5,DEN,NYJ,HOME,21,31,52,Empower Field at Mile High,7,6,0,8,0,25,24,25:24,18,5,10,3,57,308,5.4,2,22,139,6.3,0,31,20,169,2,0,5.5,8.4,64.5,100.07,10,4,40.0,0,0,0.0,4,2,0,0,4,31,4,3,4,27,5,4,4,181,45.2,3,2,-1,5,3,10,13,0,34,36,34:36,18,8,10,0,62,407,6.6,2,32,234,7.3,1,26,19,173,0,1,6.7,9.1,73.1,74.68,12,3,25.0,0,0,0.0,5,0,0,0,9,71,4,1,4,26,7,7,3,156,52.0,2,3,1,50.0,0,0.0,0,1,1,0,0,0,1,1,2,2,2,2,0,0,0,0,0,5,5,46,23,4,26,2,3,1,35,22,4,27,4,2,3,Sunday,993003928,10,24,18355
202310616,2023-10-12T20:15:00,1,2023,6,DEN,KC,AWAY,8,19,27,Arrowhead Stadium,0,0,0,8,0,24,11,24:11,14,8,4,2,49,197,4.0,1,23,115,5.0,0,22,13,82,1,2,3.7,6.3,59.1,44.13,10,4,40.0,1,0,0.0,1,1,0,0,3,34,1,1,4,13,5,7,5,224,44.8,3,1,-2,3,10,3,3,0,35,49,35:49,22,6,14,2,70,389,5.6,1,27,96,3.6,0,41,30,293,1,1,7.1,9.8,73.2,90.8,13,4,30.8,1,0,0.0,5,1,0,0,7,84,2,0,2,13,7,5,3,144,48.0,1,3,2,100.0,0,20.0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,4,4,52,15,2,13,5,1,0,36,11,4,13,9,1,1,Thursday,993003933,10,16,18358
202310710,2023-10-22T16:25:00,1,2023,7,DEN,GB,HOME,19,17,36,Empower Field at Mile High,3,6,7,3,0,28,23,28:23,18,6,9,3,55,339,6.2,1,25,145,5.8,0,29,20,194,1,0,6.7,9.7,69.0,98.92,12,5,41.7,1,0,0.0,4,1,0,0,8,60,0,0,1,0,3,4,3,132,44.0,0,1,1,0,0,10,7,0,31,37,31:37,20,5,13,2,61,331,5.4,2,29,137,4.7,0,32,22,194,2,1,6.1,8.8,68.8,92.45,14,6,42.9,2,2,100.0,3,2,0,0,7,56,0,0,0,0,3,3,3,155,51.7,1,0,-1,25.0,0,66.7,0,1,1,0,0,0,0,0,4,4,2,2,0,0,0,0,0,2,1,40,27,0,0,5,0,0,38,18,1,0,0,0,0,Sunday,993003984,10,12,18524
202310810,2023-10-29T16:25:00,1,2023,8,DEN,KC,HOME,24,9,33,Empower Field at Mile High,7,7,0,10,0,33,47,33:47,19,10,7,2,65,240,3.7,3,40,153,3.8,0,19,12,87,3,0,4.6,7.2,63.2,113.38,14,6,42.9,1,0,0.0,5,3,0,0,6,35,2,1,6,27,11,6,4,166,41.5,1,5,4,3,6,0,0,0,26,13,26:13,18,3,12,3,57,274,4.8,0,16,62,3.9,0,38,24,212,0,2,5.6,8.8,63.2,56.03,10,3,30.0,3,1,33.3,3,0,0,0,5,38,3,3,3,28,10,7,2,82,41.0,5,1,-4,60.0,0,0.0,0,3,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,3,37,10,3,28,6,2,3,49,25,6,27,2,2,1,Sunday,993004016,10,16,18583
202311004,2023-11-13T20:15:00,1,2023,10,DEN,BUF,AWAY,24,22,46,Highmark Stadium,3,12,0,9,0,37,21,37:21,19,5,12,2,71,300,4.2,2,38,122,3.2,0,29,24,178,2,0,6.1,7.4,82.8,115.23,19,8,42.1,1,1,100.0,3,2,0,0,10,61,1,1,4,15,3,1,5,242,48.4,1,4,3,0,8,7,7,0,22,39,22:39,18,12,6,0,52,369,7.1,3,26,192,7.4,2,26,15,177,1,2,6.8,11.8,57.7,59.29,8,3,37.5,1,0,0.0,2,2,0,0,5,63,3,2,0,0,8,3,3,134,44.7,4,1,-3,66.7,0,100.0,0,1,0,0,1,0,0,0,4,4,2,2,0,2,1,0,0,0,0,25,30,0,0,4,2,2,54,29,4,15,0,1,1,Monday,993004075,10,4,18397
202311110,2023-11-19T20:20:00,1,2023,11,DEN,MIN,HOME,21,20,41,Empower Field at Mile High,3,6,0,12,0,25,2,25:02,13,2,11,0,52,295,5.7,1,15,46,3.1,0,35,27,249,1,0,7.1,9.2,77.1,105.54,12,2,16.7,1,1,100.0,5,1,0,0,4,48,1,0,2,10,10,3,4,217,54.2,0,3,3,0,10,7,3,0,34,58,34:58,19,9,9,1,70,385,5.5,2,36,175,4.9,1,32,20,210,1,1,6.6,10.5,62.5,78.91,15,6,40.0,4,3,75.0,4,2,0,0,6,55,4,2,2,11,7,5,2,95,47.5,3,0,-3,20.0,0,50.0,0,0,0,0,1,0,0,0,5,5,2,2,0,0,0,0,0,2,2,45,24,2,11,5,2,2,37,21,2,10,2,1,0,Sunday,993004102,10,20,18540
