GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202310122,2023-09-10T13:00:00,1,2023,1,NO,TEN,HOME,16,15,31,Caesars Superdome,3,3,10,0,0,28,40,28:40,15,2,12,1,64,351,5.5,1,27,69,2.6,0,33,23,282,1,1,8.5,12.3,69.7,93.24,16,7,43.8,0,0,0.0,4,1,0,0,7,45,2,1,4,23,10,2,5,241,48.2,2,3,1,6,3,0,6,0,31,20,31:20,16,5,8,3,59,285,4.8,0,22,104,4.7,0,34,16,181,0,3,5.3,11.3,47.1,26.72,12,2,16.7,0,0,0.0,3,0,0,0,6,45,0,0,3,17,8,7,3,107,35.7,3,2,-1,25.0,0,0.0,0,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,5,5,33,21,3,17,11,0,0,42,25,4,23,4,2,1,Sunday,993003786,22,34,18490
202310205,2023-09-18T19:15:00,1,2023,2,NO,CAR,AWAY,20,17,37,Bank of America Stadium,3,3,7,7,0,32,49,32:49,23,10,11,2,74,341,4.6,2,33,134,4.1,2,37,22,207,0,1,5.6,9.4,59.5,63.68,16,7,43.8,0,0,0.0,4,2,0,0,3,32,0,0,4,29,7,5,5,210,42.0,1,1,0,3,0,3,11,0,27,11,27:11,14,4,8,2,56,239,4.3,1,19,100,5.3,0,33,22,139,1,0,4.2,6.3,66.7,85.29,14,4,28.6,1,1,100.0,3,1,0,0,6,35,1,1,4,14,6,6,5,239,47.8,1,1,0,50.0,0,33.3,0,2,2,0,0,0,0,0,2,2,0,0,0,2,1,0,0,3,3,35,21,4,14,2,1,1,41,29,4,29,7,0,0,Monday,993003837,22,5,18570
202310312,2023-09-24T13:00:00,1,2023,3,NO,GB,AWAY,17,18,35,Lambeau Field,7,10,0,0,0,27,25,27:25,15,5,9,1,60,252,4.2,2,22,77,3.5,0,34,23,175,1,0,5.1,7.6,67.6,89.71,14,4,28.6,1,1,100.0,2,1,0,0,7,102,0,0,4,29,3,3,7,293,41.9,0,1,1,0,0,0,18,0,32,35,32:35,21,5,13,3,71,340,4.8,2,26,95,3.7,1,44,22,245,1,1,5.6,11.1,50.0,65.06,18,8,44.4,3,1,33.3,3,2,0,0,11,90,1,0,1,14,6,5,4,153,38.2,1,0,-1,50.0,0,66.7,0,2,2,0,0,0,0,0,2,1,1,1,0,2,1,0,0,1,1,30,27,1,14,13,0,0,44,14,4,29,6,0,0,Sunday,993003857,22,12,18457
202310422,2023-10-01T13:00:00,1,2023,4,NO,TB,HOME,9,26,35,Caesars Superdome,3,0,3,3,0,28,49,28:49,16,4,9,3,61,197,3.2,0,19,70,3.7,0,39,24,127,0,1,3.3,5.3,61.5,56.25,14,5,35.7,2,1,50.0,2,0,0,0,7,58,2,2,3,13,3,4,4,162,40.5,3,1,-2,0,14,0,12,0,31,11,31:11,21,6,13,2,67,353,5.3,3,33,114,3.5,0,33,25,239,3,1,7.2,9.6,75.8,113.07,15,8,53.3,0,0,0.0,4,3,0,0,11,91,0,0,1,7,5,4,4,190,47.5,1,3,2,0.0,0,75.0,0,0,0,0,0,0,0,0,3,3,2,2,0,2,0,0,0,2,2,39,35,1,7,3,0,0,37,19,3,13,4,2,2,Sunday,993003884,22,33,18506
202310521,2023-10-08T13:00:00,1,2023,5,NO,NE,AWAY,34,0,34,Gillette Stadium,7,14,3,10,0,39,34,39:34,17,6,11,0,70,304,4.3,4,42,136,3.2,1,26,18,168,2,0,6.5,9.3,69.2,112.34,15,5,33.3,0,0,0.0,4,3,0,0,12,86,0,0,2,15,4,3,7,307,43.9,0,3,3,0,0,0,0,0,20,26,20:26,8,1,4,3,51,156,3.1,0,18,45,2.5,0,31,15,111,0,2,3.6,7.4,48.4,30.44,14,1,7.1,2,0,0.0,0,0,0,0,5,30,2,1,2,21,2,2,8,353,44.1,3,0,-3,75.0,0,0.0,0,4,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,26,18,2,21,8,0,1,45,32,2,15,1,0,0,Sunday,993003909,22,21,18351
202310613,2023-10-15T13:00:00,1,2023,6,NO,HOU,AWAY,13,20,33,NRG Stadium,7,3,3,0,0,31,33,31:33,24,9,13,2,78,430,5.5,1,25,89,3.6,0,51,33,341,1,1,6.7,10.3,64.7,82.23,15,6,40.0,2,0,0.0,3,0,0,0,7,83,1,1,2,16,3,6,3,126,42.0,2,1,-1,7,10,3,0,0,28,27,28:27,19,7,9,3,60,297,5.0,2,31,120,3.9,0,27,13,177,2,1,6.6,13.6,48.1,78.78,11,4,36.4,0,0,0.0,4,2,0,0,3,29,0,0,2,22,8,5,5,237,47.4,1,2,1,0.0,0,50.0,0,1,1,0,0,0,0,0,4,2,2,2,0,0,0,0,0,2,2,35,22,2,22,3,0,0,52,24,2,16,3,1,1,Sunday,993003949,22,13,18366
202310722,2023-10-19T20:15:00,1,2023,7,NO,JAX,HOME,24,31,55,Caesars Superdome,3,3,3,15,0,36,10,36:10,25,8,15,2,87,407,4.7,2,31,112,3.6,1,55,33,295,1,1,5.4,8.9,60.0,72.92,18,3,16.7,6,4,66.7,5,2,0,0,3,34,1,0,1,6,0,2,4,169,42.2,1,2,1,7,10,7,7,0,23,50,23:50,18,7,9,2,56,330,5.9,4,26,113,4.3,2,30,21,217,1,0,7.2,10.3,70.0,101.67,11,2,18.2,2,1,50.0,2,2,0,0,5,42,2,2,0,0,7,2,5,224,44.8,2,1,-1,40.0,0,100.0,0,1,1,0,2,1,0,0,4,3,4,4,0,0,0,0,0,1,1,35,14,0,0,5,1,2,47,31,1,6,9,1,0,Thursday,993003964,22,15,18515
202310814,2023-10-29T13:00:00,1,2023,8,NO,IND,AWAY,38,27,65,Lucas Oil Stadium,7,14,7,10,0,30,9,30:09,24,10,12,2,66,511,7.7,5,36,161,4.5,3,29,20,350,2,0,12.1,17.5,69.0,132.83,12,6,50.0,0,0,0.0,4,3,0,0,8,73,1,1,1,4,7,3,4,158,39.5,1,1,0,7,13,0,7,0,29,51,29:51,19,6,10,3,67,371,5.5,3,24,164,6.8,1,41,23,207,2,1,5.0,9.0,56.1,75.97,16,7,43.8,1,1,100.0,3,2,0,0,6,30,0,0,2,6,2,3,5,258,51.6,1,1,0,75.0,0,66.7,0,5,5,0,0,0,0,0,1,1,3,3,0,0,0,0,0,2,2,36,27,2,6,10,0,0,45,31,1,4,2,1,1,Sunday,993003997,22,14,18576
202310922,2023-11-05T13:00:00,1,2023,9,NO,CHI,HOME,24,17,41,Caesars Superdome,0,0,0,0,24,29,20,29:20,18,6,11,1,62,301,4.9,3,27,87,3.2,0,35,26,214,3,0,6.1,8.2,74.3,118.04,14,7,50.0,1,0,0.0,5,3,0,0,1,5,0,0,0,0,4,3,4,164,41.0,0,5,5,0,0,0,0,17,30,40,30:40,20,7,13,0,64,368,5.8,2,32,156,4.9,0,30,18,212,2,3,7.1,11.8,60.0,64.17,12,6,50.0,1,1,100.0,4,2,0,0,8,71,3,2,2,8,2,2,2,95,47.5,5,0,-5,60.0,0,50.0,0,3,3,0,0,0,0,0,2,1,2,2,0,0,0,0,0,2,1,44,20,2,8,7,2,2,41,34,0,0,2,0,0,Sunday,993004036,22,6,18377
202311020,2023-11-12T13:00:00,1,2023,10,NO,MIN,AWAY,19,27,46,U.S. Bank Stadium,3,0,8,8,0,26,54,26:54,16,4,10,2,61,280,4.6,2,15,65,4.3,0,43,26,215,2,2,5.0,8.3,60.5,69.43,14,4,28.6,2,2,100.0,2,2,0,0,9,74,1,0,3,17,4,6,6,279,46.5,2,0,-2,3,21,3,0,0,33,6,33:06,23,8,12,3,68,388,5.7,3,33,125,3.8,2,34,23,263,1,0,7.7,11.4,67.6,100.49,15,6,40.0,0,0,0.0,3,2,0,0,5,35,0,0,1,5,7,5,6,258,43.0,0,2,2,100.0,0,66.7,0,0,0,0,0,0,2,2,1,1,3,3,0,0,0,0,0,3,2,49,22,1,5,6,0,0,34,21,3,17,7,1,0,Sunday,993004063,22,20,18387
202311202,2023-11-26T13:00:00,1,2023,12,NO,ATL,AWAY,15,24,39,Mercedes-Benz Stadium,3,6,3,3,0,31,34,31:34,22,6,13,3,67,444,6.6,0,28,148,5.3,0,38,24,296,0,1,7.8,12.3,63.2,76.21,14,6,42.9,0,0,0.0,5,0,0,0,6,50,2,1,1,8,1,3,1,46,46.0,2,2,0,7,7,0,10,0,28,26,28:26,25,15,9,1,62,396,6.4,3,41,228,5.6,1,21,13,168,1,2,8.0,12.9,61.9,63.29,8,4,50.0,1,0,0.0,2,1,0,0,5,35,0,0,0,0,3,5,2,91,45.5,2,2,0,0.0,0,50.0,0,0,0,0,0,0,0,0,6,5,3,3,0,0,0,0,0,1,1,36,35,0,0,4,0,0,45,25,1,8,5,2,1,Sunday,993004123,22,2,18401
202311322,2023-12-03T13:00:00,1,2023,13,NO,DET,HOME,28,33,61,Caesars Superdome,0,7,14,7,0,32,10,32:10,23,10,12,1,67,362,5.4,4,36,113,3.1,3,29,19,249,1,1,8.6,13.1,65.5,89.58,12,6,50.0,1,0,0.0,4,4,0,0,6,50,1,1,2,18,4,5,4,180,45.0,2,0,-2,21,3,3,6,0,27,50,27:50,18,7,9,2,56,347,6.2,4,30,142,4.7,2,25,16,205,2,0,8.2,12.8,64.0,116.25,13,6,46.2,0,0,0.0,5,3,0,0,6,45,1,0,1,8,7,7,5,254,50.8,0,2,2,100.0,0,60.0,0,4,4,0,0,0,0,0,0,0,3,3,0,2,0,0,0,2,2,34,23,1,8,2,0,0,38,32,2,18,4,0,1,Sunday,993004141,22,11,18416
202311422,2023-12-10T13:00:00,1,2023,14,NO,CAR,HOME,28,6,34,Caesars Superdome,0,14,0,14,0,25,10,25:10,14,5,8,1,52,207,4.0,4,25,97,3.9,1,26,18,110,2,1,4.2,6.1,69.2,87.02,10,3,30.0,0,0,0.0,4,3,0,0,3,30,0,0,1,9,8,4,5,200,40.0,1,2,1,0,3,3,0,0,34,50,34:50,16,11,4,1,79,303,3.8,0,39,204,5.2,0,36,13,99,0,0,2.8,7.6,36.1,44.68,20,8,40.0,7,1,14.3,2,0,0,0,4,27,3,2,4,38,6,4,2,86,43.0,2,1,-1,75.0,0,0.0,0,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,49,20,4,38,8,3,2,32,20,1,9,3,0,0,Sunday,993004176,22,5,18546
202311522,2023-12-17T13:00:00,1,2023,15,NO,NYG,HOME,24,6,30,Caesars Superdome,7,0,10,7,0,33,27,33:27,20,7,11,2,58,296,5.1,3,28,87,3.1,0,29,23,209,3,0,7.2,9.1,79.3,131.18,12,6,50.0,0,0,0.0,2,2,0,0,6,58,0,0,1,9,8,9,4,167,41.8,0,0,0,3,3,0,0,0,26,33,26:33,12,3,7,2,61,193,3.2,0,16,60,3.8,0,38,22,133,0,0,3.5,6.0,57.9,64.91,16,2,12.5,5,3,60.0,0,0,0,0,5,32,0,0,7,57,2,2,5,238,47.6,0,0,0,100.0,0,0.0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,42,13,7,57,5,0,0,40,17,1,9,0,0,0,Sunday,993004206,22,23,18597
202311632,2023-12-21T20:15:00,1,2023,16,NO,LAR,AWAY,22,30,52,SoFi Stadium,0,7,0,15,0,25,42,25:42,18,2,16,0,58,339,5.8,3,16,35,2.2,0,40,27,304,3,1,7.6,11.3,67.5,104.58,11,5,45.5,3,0,0.0,1,1,0,0,3,20,0,0,2,15,3,3,2,71,35.5,1,0,-1,7,10,10,3,0,34,18,34:18,23,4,18,1,67,458,6.8,3,32,133,4.2,1,34,24,325,2,0,9.6,13.5,70.6,120.34,12,4,33.3,1,1,100.0,6,3,0,0,3,25,0,0,1,3,3,5,2,46,23.0,0,1,1,100.0,0,50.0,0,2,2,0,2,1,0,0,0,0,3,3,0,0,0,0,0,4,3,42,37,1,3,3,0,0,32,20,2,15,5,0,0,Thursday,993004225,22,32,18425
202311733,2023-12-31T13:00:00,1,2023,17,NO,TB,AWAY,23,13,36,Raymond James Stadium,7,10,3,3,0,36,38,36:38,20,6,13,1,70,310,4.4,2,35,108,3.1,0,34,25,202,2,0,5.9,8.1,73.5,107.72,18,8,44.4,0,0,0.0,3,1,0,0,5,31,0,0,1,6,3,5,6,268,44.7,0,4,4,0,0,0,13,0,23,22,23:22,13,1,10,2,50,349,7.0,2,15,57,3.8,0,33,22,292,2,2,8.8,13.3,66.7,89.46,8,2,25.0,1,1,100.0,0,0,0,0,5,38,2,2,2,17,0,7,5,207,41.4,4,0,-4,33.3,0,0.0,0,2,2,0,0,0,0,0,3,3,1,1,0,2,0,0,0,0,0,32,12,2,17,6,1,2,48,36,1,6,3,0,0,Sunday,993004275,22,33,18446
