GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202310124,2023-09-11T20:15:00,1,2023,1,NYJ,BUF,HOME,22,16,38,MetLife Stadium,0,3,3,10,6,27,50,27:50,13,5,7,1,53,289,5.5,2,28,172,6.1,0,22,14,117,1,1,5.3,8.4,63.6,73.48,13,5,38.5,1,1,100.0,3,1,0,0,2,10,1,0,3,23,9,8,4,174,43.5,1,4,3,3,10,0,3,0,33,8,33:08,19,8,11,0,68,314,4.6,1,22,97,4.4,0,41,29,217,1,3,5.3,7.5,70.7,60.72,13,5,38.5,0,0,0.0,2,1,0,0,5,40,2,1,5,19,8,6,3,141,47.0,4,1,-3,33.3,0,50.0,0,1,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,3,3,52,19,5,19,4,1,1,37,24,3,23,2,1,0,Monday,993003808,24,4,18344
202310209,2023-09-17T16:25:00,1,2023,2,NYJ,DAL,AWAY,10,30,40,AT&T Stadium,0,10,0,0,0,17,45,17:45,12,4,6,2,46,215,4.7,1,16,64,4.0,0,27,12,151,1,3,5.6,12.6,44.4,35.19,10,1,10.0,1,1,100.0,1,0,0,0,5,29,1,1,3,19,4,7,5,241,48.2,4,0,-4,7,11,6,6,0,42,15,42:15,26,8,16,2,83,382,4.6,2,44,134,3.0,0,38,31,248,2,0,6.5,8.0,81.6,111.4,18,9,50.0,0,0,0.0,6,2,0,0,6,38,1,0,1,7,5,5,3,155,51.7,0,4,4,0.0,0,33.3,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,1,5,5,64,24,1,7,3,1,0,25,12,3,19,7,1,1,Sunday,993003831,24,9,18567
202310324,2023-09-24T13:00:00,1,2023,3,NYJ,NE,HOME,10,15,25,MetLife Stadium,0,3,0,7,0,28,8,28:08,12,5,6,1,61,171,2.8,1,22,38,1.7,1,36,18,133,0,0,3.7,7.4,50.0,59.14,14,2,14.3,2,1,50.0,1,1,0,0,3,15,1,0,3,24,5,2,8,410,51.2,0,0,0,3,7,3,2,0,31,52,31:52,17,8,9,0,69,358,5.2,1,40,157,3.9,0,29,15,201,1,0,6.9,13.4,51.7,85.56,19,8,42.1,0,0,0.0,0,0,0,0,6,43,0,0,0,0,7,7,8,322,40.2,0,0,0,100.0,0,0.0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,2,51,14,0,0,4,0,0,38,18,3,24,5,1,0,Sunday,993003846,24,21,18460
202310424,2023-10-01T20:20:00,1,2023,4,NYJ,KC,HOME,20,23,43,MetLife Stadium,0,12,8,0,0,27,51,27:51,18,5,12,1,57,336,5.9,2,16,108,6.8,0,39,28,228,2,0,5.8,8.1,71.8,103.37,12,5,41.7,0,0,0.0,3,2,0,0,7,42,2,1,2,17,9,4,5,214,42.8,1,2,1,17,3,0,3,0,32,9,32:09,24,11,9,4,66,401,6.1,2,35,204,5.8,1,30,18,197,1,2,6.6,10.9,60.0,62.78,12,7,58.3,0,0,0.0,4,0,0,0,5,46,1,0,1,6,10,4,2,98,49.0,2,1,-1,66.7,0,0.0,0,1,1,0,0,0,1,1,2,1,2,2,0,0,0,0,0,3,3,39,22,1,6,4,0,0,41,10,2,17,3,1,1,Sunday,993003902,24,16,18513
202310510,2023-10-08T16:25:00,1,2023,5,NYJ,DEN,AWAY,31,21,52,Empower Field at Mile High,5,3,10,13,0,34,36,34:36,18,8,10,0,62,407,6.6,2,32,234,7.3,1,26,19,173,0,1,6.7,9.1,73.1,74.68,12,3,25.0,0,0,0.0,5,0,0,0,9,71,4,1,4,26,7,7,3,156,52.0,2,3,1,7,6,0,8,0,25,24,25:24,18,5,10,3,57,308,5.4,2,22,139,6.3,0,31,20,169,2,0,5.5,8.4,64.5,100.07,10,4,40.0,0,0,0.0,4,2,0,0,4,31,4,3,4,27,5,4,4,181,45.2,3,2,-1,0.0,0,50.0,0,2,2,0,0,0,0,0,5,5,1,1,0,0,0,1,1,2,2,35,22,4,27,4,2,3,46,23,4,26,2,3,1,Sunday,993003927,24,10,18355
202310624,2023-10-15T16:25:00,1,2023,6,NYJ,PHI,HOME,20,14,34,MetLife Stadium,0,9,3,8,0,29,16,29:16,17,5,9,3,59,244,4.1,1,21,89,4.2,1,33,19,155,0,0,4.7,8.2,57.6,69.63,11,2,18.2,1,0,0.0,4,1,0,0,9,68,0,0,5,31,4,4,4,194,48.5,0,4,4,7,7,0,0,0,30,44,30:44,24,6,16,2,69,348,5.0,2,22,80,3.6,1,45,28,268,1,3,6.0,9.6,62.2,58.38,14,7,50.0,2,1,50.0,3,2,0,0,5,46,1,1,2,12,10,6,2,81,40.5,4,0,-4,25.0,0,66.7,0,0,0,0,2,1,0,0,4,4,2,2,0,0,0,0,0,1,0,43,15,2,12,12,1,1,33,22,5,31,5,0,0,Sunday,993003958,24,26,18369
202310823,2023-10-29T13:00:00,1,2023,8,NYJ,NYG,AWAY,13,10,23,MetLife Stadium,7,0,0,3,3,25,38,25:38,12,2,8,2,62,251,4.0,1,22,58,2.6,0,36,17,193,1,0,5.4,11.4,47.2,73.03,15,2,13.3,1,0,0.0,2,0,0,0,9,85,2,2,4,47,8,13,11,529,48.1,2,0,-2,3,0,7,0,0,38,13,38:13,12,7,0,5,70,194,2.8,1,52,203,3.9,1,14,6,-9,0,0,-0.6,-1.5,42.9,50.3,19,2,10.5,0,0,0.0,3,1,0,0,6,73,2,0,4,16,9,8,13,549,42.2,0,2,2,0.0,0,33.3,0,1,1,0,0,0,0,0,2,2,1,1,0,0,0,0,0,3,1,51,37,4,16,4,1,0,34,18,4,47,8,1,2,Sunday,993003993,24,23,18578
202310924,2023-11-06T20:15:00,1,2023,9,NYJ,LAC,HOME,6,27,33,MetLife Stadium,0,0,0,0,6,34,27,34:27,17,2,12,3,77,270,3.5,0,20,64,3.2,0,49,33,206,0,0,4.2,6.2,67.3,75.72,17,3,17.6,4,3,75.0,2,0,0,0,8,40,4,3,8,57,13,4,7,352,50.3,3,0,-3,0,0,0,0,27,25,33,25:33,14,5,7,2,56,191,3.4,3,21,84,4.0,2,30,16,107,0,0,3.6,6.7,53.3,61.39,16,7,43.8,0,0,0.0,2,2,0,0,4,39,3,0,5,29,8,4,8,364,45.5,0,3,3,0.0,0,100.0,0,0,0,0,0,0,0,0,2,2,3,3,0,0,0,0,0,2,2,31,19,5,29,6,2,0,48,23,8,57,7,3,3,Monday,993004048,24,29,18384
202311025,2023-11-12T20:20:00,1,2023,10,NYJ,LV,AWAY,12,16,28,Allegiant Stadium,6,3,0,3,0,29,42,29:42,14,3,11,0,63,365,5.8,0,21,108,5.1,0,40,23,257,0,1,6.4,11.2,57.5,66.35,16,7,43.8,0,0,0.0,1,0,0,0,8,83,1,0,2,6,7,5,5,276,55.2,1,2,1,3,3,3,7,0,30,18,30:18,15,7,7,1,62,274,4.4,1,32,148,4.6,0,27,16,126,1,1,4.7,7.9,59.3,67.82,15,5,33.3,2,2,100.0,1,1,0,0,3,25,3,1,3,27,5,2,5,253,50.6,2,1,-1,0.0,0,100.0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,3,3,36,35,3,27,4,2,1,42,19,2,6,5,1,0,Sunday,993004073,24,25,18396
202311104,2023-11-19T16:25:00,1,2023,11,NYJ,BUF,AWAY,6,32,38,Highmark Stadium,0,6,0,0,0,23,9,23:09,14,3,8,3,54,155,2.9,1,18,63,3.5,0,30,15,92,1,2,3.1,6.1,50.0,39.86,11,0,0.0,5,4,80.0,1,1,0,0,5,35,2,2,6,40,4,7,6,297,49.5,4,1,-3,6,10,13,3,0,36,51,36:51,22,9,10,3,71,393,5.5,3,38,130,3.4,0,32,20,263,3,1,8.2,13.2,62.5,106.64,13,5,38.5,1,1,100.0,4,1,0,0,8,77,1,0,1,12,8,5,3,104,34.7,1,4,3,100.0,0,25.0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,4,4,50,24,1,12,3,1,0,35,19,6,40,5,2,2,Sunday,993004099,24,4,18538
