GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202310130,2023-09-10T16:25:00,1,2023,1,SEA,LAR,HOME,13,30,43,Lumen Field,3,10,0,0,0,20,37,20:37,13,3,7,3,46,180,3.9,1,18,85,4.7,0,26,16,95,1,0,3.7,5.9,61.5,81.41,9,2,22.2,0,0,0.0,2,1,0,0,7,55,0,0,2,17,2,5,4,236,59.0,0,0,0,7,0,10,13,0,39,23,39:23,27,8,17,2,78,426,5.5,3,40,92,2.3,3,38,24,334,0,0,8.8,13.9,63.2,91.34,17,11,64.7,1,1,100.0,3,3,0,0,7,53,0,0,0,0,7,3,1,45,45.0,0,0,0,50.0,0,100.0,0,1,1,0,0,0,0,0,3,2,3,3,0,0,0,0,0,5,3,47,34,0,0,1,0,0,27,24,2,17,1,0,0,Sunday,993003802,30,32,18498
202310211,2023-09-17T13:00:00,1,2023,2,SEA,DET,AWAY,37,31,68,Ford Field,7,0,10,14,6,33,31,33:31,28,7,18,3,67,393,5.9,5,25,82,3.3,2,41,32,311,2,0,7.6,9.7,78.0,114.53,11,5,45.5,1,1,100.0,5,4,0,0,9,80,0,0,1,17,6,6,3,152,50.7,0,3,3,7,7,7,10,0,30,48,30:48,25,5,17,3,64,418,6.5,4,27,102,3.8,1,35,28,316,3,1,9.0,11.3,80.0,120.95,11,6,54.5,3,1,33.3,2,2,0,0,4,24,2,2,2,7,1,1,1,53,53.0,3,0,-3,80.0,0,100.0,0,4,4,0,0,0,0,0,3,1,4,4,0,0,0,0,0,1,1,47,21,2,7,3,2,2,50,15,1,17,2,0,0,Sunday,993003821,30,11,18560
202310330,2023-09-24T16:05:00,1,2023,3,SEA,CAR,HOME,37,27,64,Lumen Field,3,9,10,15,0,30,28,30:28,27,10,14,3,71,425,6.0,3,33,146,4.4,2,36,23,279,1,1,7.8,12.1,63.9,85.3,13,3,23.1,1,1,100.0,6,3,0,0,8,82,0,0,2,17,10,4,2,93,46.5,1,0,-1,3,10,0,14,0,29,32,29:32,23,3,17,3,75,378,5.0,3,14,44,3.1,1,58,34,334,2,0,5.8,9.8,58.6,86.42,19,10,52.6,1,0,0.0,2,2,0,0,13,82,0,0,3,27,8,6,5,246,49.2,0,1,1,50.0,0,100.0,0,2,2,0,2,1,0,0,5,5,3,3,0,0,0,0,0,3,2,44,19,3,27,8,0,0,46,20,2,17,3,0,0,Sunday,993003862,30,5,18464
202310423,2023-10-02T20:15:00,1,2023,4,SEA,NYG,AWAY,24,3,27,MetLife Stadium,7,7,7,3,0,24,0,24:00,13,6,6,1,51,281,5.5,3,23,121,5.3,1,26,15,160,1,0,6.2,10.7,57.7,88.62,12,3,25.0,2,0,0.0,4,2,0,0,8,74,0,0,2,13,14,10,4,214,53.5,0,3,3,0,3,0,0,0,36,0,36:00,17,7,9,1,74,248,3.4,0,29,112,3.9,0,34,27,136,0,2,4.0,5.0,79.4,58.82,16,6,37.5,4,2,50.0,1,0,0,0,6,45,3,1,11,67,3,6,5,268,53.6,3,0,-3,50.0,0,0.0,0,3,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,54,33,11,67,4,2,1,35,15,2,13,4,0,0,Monday,993003903,30,23,18514
202310607,2023-10-15T13:00:00,1,2023,6,SEA,CIN,AWAY,13,17,30,Paycor Stadium,7,3,3,0,0,34,1,34:01,24,6,13,5,70,384,5.5,1,25,87,3.5,1,41,27,297,0,2,7.2,11.0,65.9,66.82,12,5,41.7,2,0,0.0,5,1,0,0,7,64,0,0,4,29,5,4,3,115,38.3,2,1,-1,7,7,0,3,0,25,59,25:59,15,3,10,2,53,214,4.0,2,15,46,3.1,0,35,24,168,2,1,4.8,7.0,68.6,86.37,11,3,27.3,0,0,0.0,2,2,0,0,5,43,0,0,3,17,14,8,6,274,45.7,1,2,1,20.0,0,100.0,0,1,1,0,0,0,0,0,2,2,2,2,0,0,0,0,0,1,1,38,12,3,17,6,0,0,52,19,4,29,7,0,0,Sunday,993003943,30,7,18361
202310730,2023-10-22T16:05:00,1,2023,7,SEA,ARI,HOME,20,10,30,Lumen Field,7,7,3,3,0,30,32,30:32,18,6,11,1,58,318,5.5,2,32,115,3.6,0,24,18,203,2,1,8.5,11.3,75.0,110.24,13,7,53.8,0,0,0.0,3,1,0,0,5,32,2,2,2,16,8,7,3,143,47.7,3,0,-3,3,7,0,0,0,29,28,29:28,15,6,7,2,63,249,4.0,1,25,127,5.1,1,34,20,122,0,0,3.6,6.1,58.8,66.05,15,5,33.3,3,0,0.0,1,0,0,0,7,59,2,0,4,28,3,5,5,240,48.0,0,3,3,33.3,0,0.0,0,2,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,2,1,45,18,4,28,8,1,0,38,23,2,16,3,1,2,Sunday,993003980,30,1,18523
202310830,2023-10-29T16:05:00,1,2023,8,SEA,CLE,HOME,24,20,44,Lumen Field,17,0,0,7,0,23,20,23:20,17,5,12,0,55,362,6.6,3,17,114,6.7,1,37,23,248,2,2,6.7,10.8,62.2,77.31,12,4,33.3,1,1,100.0,5,3,0,0,7,43,1,0,1,6,10,7,5,274,54.8,2,3,1,7,7,6,0,0,36,40,36:40,23,9,10,4,75,385,5.1,2,40,155,3.9,1,32,16,230,1,2,7.2,14.4,50.0,58.07,15,6,40.0,1,0,0.0,4,2,0,0,4,25,1,1,3,27,3,4,3,142,47.3,3,2,-1,60.0,0,50.0,0,3,3,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,2,40,39,3,27,6,1,1,36,11,1,6,4,1,0,Sunday,993004010,30,8,18582
202310903,2023-11-05T13:00:00,1,2023,9,SEA,BAL,AWAY,3,37,40,M&T Bank Stadium,0,0,0,0,3,19,56,19:56,6,1,5,0,47,151,3.2,0,15,28,1.9,0,28,13,123,0,1,4.4,9.5,46.4,44.2,12,1,8.3,1,0,0.0,1,0,0,0,5,29,1,1,4,34,0,4,7,320,45.7,2,2,0,0,0,0,0,37,40,4,40:04,29,16,11,2,75,515,6.9,4,41,298,7.3,3,33,26,217,1,0,6.6,8.3,78.8,104.17,13,6,46.2,2,1,50.0,6,3,0,0,3,11,3,2,1,8,4,5,2,113,56.5,2,2,0,0.0,0,50.0,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,3,3,53,23,1,8,2,2,2,29,8,4,34,7,1,1,Sunday,993004031,30,3,18378
202311030,2023-11-12T16:25:00,1,2023,10,SEA,WAS,HOME,29,26,55,Lumen Field,3,6,7,13,0,30,27,30:27,27,7,16,4,74,489,6.6,2,26,120,4.6,0,47,31,369,2,0,7.9,11.9,66.0,103.95,14,4,28.6,1,1,100.0,2,1,0,0,8,50,0,0,1,0,6,3,4,181,45.2,0,1,1,6,3,3,14,0,29,33,29:33,16,3,13,0,61,356,5.8,3,14,68,4.9,0,44,29,288,3,0,6.5,9.9,65.9,107.01,15,7,46.7,1,1,100.0,1,1,0,0,6,39,1,1,3,24,5,4,5,227,45.4,1,0,-1,50.0,0,100.0,0,2,2,0,0,0,0,0,5,5,3,2,0,0,0,0,0,2,2,36,16,3,24,7,1,1,49,25,1,0,5,0,0,Sunday,993004070,30,35,18395
202311132,2023-11-19T16:25:00,1,2023,11,SEA,LAR,AWAY,16,17,33,SoFi Stadium,7,6,3,0,0,32,6,32:06,16,3,12,1,63,291,4.6,1,21,68,3.2,0,40,24,223,1,1,5.6,9.3,60.0,73.23,15,5,33.3,2,2,100.0,2,1,0,0,12,130,0,0,2,13,3,3,4,202,50.5,1,1,0,0,7,0,10,0,27,54,27:54,20,6,9,5,59,267,4.5,2,27,82,3.0,1,31,17,185,1,1,6.0,10.9,54.8,69.96,9,2,22.2,1,0,0.0,4,2,0,0,9,92,0,0,1,5,8,4,5,263,52.6,1,1,0,50.0,0,50.0,0,1,1,0,0,0,0,0,4,3,2,2,0,0,0,0,0,1,1,34,25,1,5,6,0,0,39,22,2,13,7,0,0,Sunday,993004097,30,32,18539
