GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202410104,2024-09-08T13:00:00,1,2024,1,BUF,ARI,HOME,34,28,62,Highmark Stadium,0,10,14,10,0,30,30,30:30,23,8,11,4,58,352,6.1,4,33,130,3.9,2,23,18,222,2,0,9.7,12.3,78.3,135.87,9,3,33.3,2,2,100.0,6,4,0,0,9,65,1,1,2,10,5,4,2,85,42.5,1,1,0,7,10,0,11,0,29,30,29:30,18,7,10,1,60,270,4.5,3,25,124,5.0,1,31,21,146,1,0,4.7,7.0,67.7,88.91,13,7,53.8,1,0,0.0,4,2,0,0,5,31,1,1,4,16,3,5,2,78,39.0,1,1,0,66.7,0,50.0,0,4,4,0,0,0,0,0,2,2,2,2,0,0,0,1,1,2,2,44,16,4,16,3,1,1,41,27,2,10,2,1,1,Sunday,993004466,4,1,18676
202410219,2024-09-12T20:15:00,1,2024,2,BUF,MIA,AWAY,31,10,41,Hard Rock Stadium,7,17,7,0,0,23,41,23:41,13,7,5,1,45,247,5.5,4,26,108,4.2,2,19,13,139,1,0,7.3,10.7,68.4,107.13,9,3,33.3,1,1,100.0,2,2,0,0,1,5,1,0,0,0,5,10,3,149,49.7,0,3,3,7,3,0,0,0,36,19,36:19,20,8,12,0,75,351,4.7,1,34,139,4.1,0,39,25,212,1,3,5.4,8.5,64.1,54.65,15,7,46.7,5,1,20.0,4,1,0,0,7,50,0,0,2,13,0,4,1,48,48.0,3,0,-3,100.0,0,25.0,0,4,4,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,1,52,20,2,13,4,0,0,30,18,0,0,3,0,0,Thursday,993004479,4,19,18700
202410304,2024-09-23T19:30:00,1,2024,3,BUF,JAX,HOME,47,10,57,Highmark Stadium,13,21,3,10,0,31,40,31:40,25,9,15,1,60,388,6.5,6,29,122,4.2,2,31,24,266,4,0,8.6,11.1,77.4,141.94,11,6,54.5,2,2,100.0,5,4,0,0,6,47,0,0,0,0,10,6,1,49,49.0,0,2,2,0,3,7,0,0,28,20,28:20,19,7,10,2,68,239,3.5,1,17,92,5.4,0,46,26,147,1,1,3.2,5.7,56.5,60.69,13,2,15.4,8,4,50.0,4,1,0,0,7,45,1,1,5,53,1,4,2,109,54.5,2,0,-2,80.0,0,25.0,0,6,5,1,0,0,0,0,2,2,1,1,0,0,0,0,0,1,1,39,20,5,53,8,1,1,33,33,0,0,3,0,0,Monday,993004540,4,15,18702
202410403,2024-09-29T20:20:00,1,2024,4,BUF,BAL,AWAY,10,35,45,M&T Bank Stadium,3,0,7,0,0,28,57,28:57,12,5,6,1,57,236,4.1,1,23,81,3.5,1,31,17,155,0,0,5.0,9.1,54.8,68.62,13,3,23.1,1,1,100.0,2,1,0,0,4,38,2,1,3,27,3,6,6,289,48.2,1,1,0,7,14,7,7,0,31,3,31:03,22,11,9,2,54,427,7.9,5,34,271,8.0,3,19,14,156,2,0,8.2,11.1,73.7,132.79,9,5,55.6,0,0,0.0,4,4,0,0,8,79,2,1,1,1,8,5,4,177,44.2,1,1,0,50.0,0,100.0,0,1,1,0,0,0,0,0,2,1,5,5,0,0,0,0,0,0,0,39,24,1,1,1,2,1,27,31,3,27,2,1,1,Sunday,993004569,4,3,18719
202410513,2024-10-06T13:00:00,1,2024,5,BUF,HOU,AWAY,20,23,43,NRG Stadium,3,0,14,3,0,26,50,26:50,16,9,5,2,59,276,4.7,2,28,150,5.4,1,30,9,126,1,0,4.2,14.0,30.0,55.69,14,3,21.4,1,1,100.0,3,1,0,0,4,25,0,0,1,5,6,7,8,401,50.1,0,2,2,14,3,3,3,0,33,10,33:10,18,5,13,0,67,425,6.3,2,28,94,3.4,1,38,28,331,1,1,8.7,11.8,73.7,97.59,16,8,50.0,1,0,0.0,2,1,0,0,7,65,1,1,1,0,9,7,5,221,44.2,2,0,-2,33.3,0,50.0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,3,52,16,1,0,1,1,1,32,16,1,5,6,0,0,Sunday,993004587,4,13,18741
202410624,2024-10-14T20:15:00,1,2024,6,BUF,NYJ,AWAY,23,20,43,MetLife Stadium,7,13,0,3,0,29,34,29:34,24,10,10,4,60,359,6.0,3,33,149,4.5,1,25,19,210,2,0,8.4,11.1,76.0,127.08,11,5,45.5,0,0,0.0,4,3,0,0,11,94,1,0,2,5,5,5,3,159,53.0,0,1,1,10,7,3,0,0,30,26,30:26,20,5,12,3,59,393,6.7,2,21,121,5.8,0,35,23,272,2,1,7.8,11.8,65.7,96.37,12,4,33.3,0,0,0.0,4,1,0,0,11,110,1,0,3,22,2,2,2,96,48.0,1,0,-1,75.0,0,25.0,0,3,2,0,0,0,0,0,2,1,2,2,0,0,0,0,0,4,2,40,20,3,22,8,1,0,40,26,2,5,2,1,0,Monday,993004629,4,24,18747
202410704,2024-10-20T13:00:00,1,2024,7,BUF,TEN,HOME,34,10,44,Highmark Stadium,0,7,10,17,0,27,14,27:14,18,3,14,1,54,389,7.2,4,20,74,3.7,2,33,21,315,2,0,9.5,15.0,63.6,115.09,10,3,30.0,0,0,0.0,6,4,0,0,5,40,1,0,1,8,11,7,5,197,39.4,0,2,2,3,7,0,0,0,32,46,32:46,18,2,13,3,67,289,4.3,1,24,89,3.7,0,40,25,200,1,1,5.0,8.0,62.5,72.92,16,6,37.5,2,1,50.0,3,1,0,0,8,52,4,1,3,15,4,6,5,266,53.2,2,0,-2,66.7,0,33.3,0,4,4,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,1,43,25,3,15,5,2,1,36,16,1,8,6,1,0,Sunday,993004638,4,34,18768
202410830,2024-10-27T16:05:00,1,2024,8,BUF,SEA,AWAY,31,10,41,Lumen Field,7,7,10,7,0,38,3,38:03,29,14,12,3,69,445,6.4,4,34,164,4.8,2,34,24,281,2,1,8.3,11.7,70.6,102.7,15,8,53.3,1,1,100.0,6,4,0,0,13,85,1,0,1,2,5,5,3,147,49.0,1,2,1,0,3,0,7,0,21,57,21:57,17,2,13,2,47,233,5.0,1,17,32,1.9,1,29,21,201,0,1,6.9,9.6,72.4,76.94,7,1,14.3,1,0,0.0,3,1,0,0,11,82,3,1,1,11,0,0,4,245,61.2,2,1,-1,66.7,0,33.3,0,4,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,29,25,1,11,6,0,1,45,21,1,2,4,0,0,Sunday,993004681,4,30,18782
202410904,2024-11-03T13:00:00,1,2024,9,BUF,MIA,HOME,30,27,57,Highmark Stadium,3,3,14,10,0,28,7,28:07,24,5,15,4,59,325,5.5,3,19,94,4.9,0,39,25,231,3,1,5.9,9.2,64.1,95.14,10,5,50.0,1,1,100.0,5,2,0,0,4,40,0,0,1,4,2,5,1,49,49.0,1,1,0,3,7,3,14,0,31,53,31:53,26,10,14,2,60,373,6.2,3,31,149,4.8,1,28,25,224,2,0,8.0,9.0,89.3,123.81,8,4,50.0,1,1,100.0,4,3,0,0,8,57,1,1,1,7,3,4,1,37,37.0,1,1,0,40.0,0,75.0,0,2,1,0,2,1,0,0,3,3,3,3,0,0,0,0,0,2,2,43,26,1,7,1,1,1,35,20,1,4,2,0,0,Sunday,993004708,4,19,18799
202411014,2024-11-10T13:00:00,1,2024,10,BUF,IND,AWAY,30,20,50,Lucas Oil Stadium,10,10,0,10,0,32,8,32:08,21,9,11,1,70,415,5.9,3,31,135,4.4,2,37,22,280,0,2,7.6,12.7,59.5,60.64,14,7,50.0,3,2,66.7,4,2,0,0,8,54,1,0,2,0,6,6,2,109,54.5,2,4,2,3,10,0,7,0,27,52,27:52,19,4,14,1,61,361,5.9,2,22,121,5.5,0,35,26,240,2,3,6.9,9.2,74.3,75.89,11,4,36.4,3,2,66.7,4,2,0,0,5,25,2,1,4,32,5,2,2,108,54.0,4,2,-2,50.0,0,50.0,0,3,3,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,2,43,22,4,32,5,2,1,41,33,2,0,5,1,0,Sunday,993004737,4,14,18813
