GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202410108,2024-09-08T16:25:00,1,2024,1,CLE,DAL,HOME,17,33,50,Huntington Bank Field,3,0,7,7,0,30,54,30:54,15,5,8,2,70,230,3.3,2,19,93,4.9,1,45,24,137,1,2,3.0,5.7,53.3,48.1,15,2,13.3,5,3,60.0,2,2,0,0,11,64,1,0,6,32,4,6,7,357,51.0,2,0,-2,7,13,10,3,0,29,6,29:06,15,7,8,0,60,265,4.4,3,25,102,4.1,1,32,19,163,1,0,5.1,8.6,59.4,83.2,14,4,28.6,0,0,0.0,1,1,0,0,11,85,1,0,3,16,17,6,6,294,49.0,0,2,2,100.0,0,100.0,0,2,2,0,0,0,0,0,1,1,3,3,0,0,0,0,0,4,4,44,19,3,16,6,1,0,40,24,6,32,8,1,0,Sunday,993004474,8,9,18671
202410215,2024-09-15T13:00:00,1,2024,2,CLE,JAX,AWAY,18,13,31,EverBank Stadium,7,6,3,2,0,34,23,34:23,17,7,7,3,65,297,4.6,1,29,125,4.3,1,34,22,172,0,0,5.1,7.8,64.7,77.08,14,2,14.3,3,3,100.0,1,1,0,0,13,100,1,0,2,14,7,9,5,218,43.6,0,0,0,0,3,7,3,0,25,37,25:37,18,7,9,2,55,323,5.9,1,21,127,6.0,1,30,14,196,0,0,6.5,14.0,46.7,68.19,9,3,33.3,0,0,0.0,4,1,0,0,6,52,1,0,4,24,8,6,3,156,52.0,0,0,0,100.0,0,25.0,0,1,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,3,2,37,6,4,24,5,1,0,44,21,2,14,4,1,0,Sunday,993004483,8,15,18695
202410308,2024-09-22T13:00:00,1,2024,3,CLE,NYG,HOME,15,21,36,Huntington Bank Field,7,0,0,8,0,26,4,26:04,16,7,7,2,63,217,3.4,2,18,69,3.8,0,37,21,148,2,0,4.0,7.0,56.8,84.07,14,4,28.6,3,1,33.3,1,1,0,0,5,48,2,2,8,48,9,4,6,306,51.0,2,2,0,7,14,0,0,0,33,56,33:56,21,7,13,1,69,340,4.9,3,32,112,3.5,1,35,24,228,2,0,6.5,9.5,68.6,105.42,14,4,28.6,1,1,100.0,4,3,0,0,9,68,3,2,2,8,17,5,7,361,51.6,2,2,0,100.0,0,75.0,0,1,1,0,2,1,0,0,1,0,3,3,0,0,0,0,0,1,0,42,27,2,8,4,2,2,36,31,8,48,3,1,2,Sunday,993004526,8,23,18709
202410425,2024-09-29T16:25:00,1,2024,4,CLE,LV,AWAY,16,20,36,Allegiant Stadium,10,0,0,6,0,30,42,30:42,16,6,9,1,57,241,4.2,2,22,92,4.2,0,32,24,149,1,1,4.7,6.2,75.0,81.38,10,3,30.0,1,0,0.0,2,1,0,0,5,38,1,0,3,27,4,4,5,316,63.2,1,1,0,0,10,10,0,0,29,18,29:18,17,8,7,2,55,268,4.9,2,29,152,5.2,2,24,14,116,0,0,4.8,8.3,58.3,70.83,12,4,33.3,0,0,0.0,3,2,0,0,6,49,1,1,2,14,11,4,4,232,58.0,1,1,0,50.0,0,66.7,0,2,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,2,36,16,2,14,1,1,1,43,23,3,27,5,0,0,Sunday,993004567,8,25,18721
202410535,2024-10-06T13:00:00,1,2024,5,CLE,WAS,AWAY,13,34,47,Northwest Stadium,0,3,3,7,0,28,42,28:42,12,4,7,1,59,212,3.6,1,23,104,4.5,0,29,16,108,1,0,3.7,6.8,55.2,75.07,13,1,7.7,3,2,66.7,2,1,0,0,9,52,1,1,7,33,4,9,7,361,51.6,1,2,1,7,17,10,0,0,31,18,31:18,19,10,8,1,65,434,6.7,4,34,215,6.3,3,28,15,219,1,1,7.8,14.6,53.6,76.34,17,8,47.1,2,2,100.0,6,3,0,0,5,31,2,1,3,17,11,7,4,192,48.0,2,1,-1,50.0,0,50.0,0,1,1,0,0,0,0,0,2,2,4,4,0,0,0,0,0,2,2,44,16,3,17,7,2,1,43,25,7,33,6,1,1,Sunday,993004585,8,35,18744
202410626,2024-10-13T13:00:00,1,2024,6,CLE,PHI,AWAY,16,20,36,Lincoln Financial Field,0,10,0,6,0,31,27,31:27,14,6,7,1,53,244,4.6,1,25,100,4.0,0,23,16,144,0,0,6.3,9.0,69.6,86.14,12,3,25.0,1,1,100.0,1,0,0,0,7,55,0,0,5,24,2,5,4,223,55.8,0,0,0,0,10,3,7,0,28,33,28:33,19,8,11,0,62,372,6.0,2,36,116,3.2,0,25,16,256,2,0,10.2,16.0,64.0,124.75,14,5,35.7,2,2,100.0,1,0,0,0,5,40,1,0,1,8,10,4,3,146,48.7,0,0,0,0.0,0,0.0,0,1,1,0,0,0,0,0,4,3,2,2,0,0,0,0,0,3,2,41,18,1,8,3,0,0,36,29,5,24,2,0,0,Sunday,993004617,8,26,18757
202410708,2024-10-20T13:00:00,1,2024,7,CLE,CIN,HOME,14,21,35,Huntington Bank Field,0,6,0,8,0,34,29,34:29,18,5,12,1,77,336,4.4,2,21,77,3.7,1,52,31,259,1,2,5.0,8.4,59.6,62.9,19,8,42.1,2,1,50.0,2,2,0,0,10,80,1,0,4,18,7,6,7,355,50.7,2,0,-2,7,0,14,0,0,25,31,25:31,12,3,8,1,53,223,4.2,3,25,59,2.4,0,25,15,164,2,0,6.6,10.9,60.0,106.08,13,2,15.4,1,0,0.0,1,1,0,0,3,37,0,0,3,17,11,5,8,354,44.2,0,2,2,100.0,0,100.0,0,1,0,0,2,1,0,0,1,0,3,3,0,0,0,0,0,1,0,37,20,3,17,4,0,0,46,26,4,18,8,1,0,Sunday,993004642,8,7,18769
202410808,2024-10-27T13:00:00,1,2024,8,CLE,BAL,HOME,29,24,53,Huntington Bank Field,3,3,14,9,0,31,6,31:06,22,5,16,1,66,401,6.1,3,23,80,3.5,0,41,27,321,3,0,7.8,11.9,65.9,113.97,15,8,53.3,0,0,0.0,2,0,0,0,7,74,1,1,2,13,7,7,3,146,48.7,1,0,-1,0,10,7,7,0,28,54,28:54,22,5,14,3,62,387,6.2,3,21,124,5.9,1,38,23,263,2,0,6.9,11.4,60.5,98.9,10,2,20.0,2,0,0.0,4,3,0,0,7,53,0,0,3,26,8,6,4,209,52.2,0,1,1,0.0,0,75.0,0,2,2,0,2,0,0,0,3,3,3,3,0,0,0,0,0,2,1,37,21,3,26,6,0,0,42,21,2,13,5,1,1,Sunday,993004668,8,3,18783
202410908,2024-11-03T13:00:00,1,2024,9,CLE,LAC,HOME,10,27,37,Huntington Bank Field,0,3,0,7,0,34,9,34:09,21,6,14,1,76,292,3.8,1,24,79,3.3,0,46,26,213,1,3,4.6,8.2,56.5,48.55,17,6,35.3,3,2,66.7,3,1,0,0,4,25,1,0,6,22,11,10,6,318,53.0,3,0,-3,7,13,0,7,0,25,51,25:51,13,3,10,0,56,342,6.1,4,23,96,4.2,2,27,18,246,2,0,9.1,13.7,66.7,120.29,14,5,35.7,1,1,100.0,3,3,0,0,5,35,0,0,6,36,9,8,7,330,47.1,0,3,3,33.3,0,100.0,0,1,1,0,0,0,0,0,2,1,4,3,0,0,0,0,0,1,0,36,20,6,36,4,0,0,44,25,6,22,12,1,0,Sunday,993004710,8,29,18802
202411122,2024-11-17T13:00:00,1,2024,11,CLE,NO,AWAY,14,35,49,Caesars Superdome,6,0,8,0,0,29,22,29:22,22,3,17,2,70,443,6.3,2,20,66,3.3,0,47,30,377,2,0,8.0,12.6,63.8,102.88,13,3,23.1,3,1,33.3,1,0,0,0,3,14,0,0,3,18,2,5,5,228,45.6,0,2,2,7,7,0,21,0,30,38,30:38,19,8,11,0,58,473,8.2,5,28,214,7.6,3,29,22,259,2,1,8.9,11.8,75.9,111.14,10,5,50.0,1,1,100.0,3,2,0,0,5,41,2,1,1,7,5,5,3,110,36.7,2,0,-2,0.0,0,66.7,0,0,0,0,3,1,0,0,2,0,5,5,0,0,0,0,0,0,0,29,32,1,7,3,2,1,32,39,3,18,5,0,0,Sunday,993004767,8,22,18831
