GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202410114,2024-09-08T13:00:00,1,2024,1,HOU,IND,AWAY,29,27,56,Lucas Oil Stadium,6,6,3,14,0,40,0,40:00,26,11,13,2,76,417,5.5,3,40,213,5.3,1,32,24,204,2,0,6.4,8.5,75.0,111.98,14,7,50.0,2,2,100.0,3,3,0,0,5,30,0,0,4,30,2,5,1,56,56.0,0,1,1,7,0,6,14,0,20,0,20:00,14,9,4,1,43,303,7.0,4,22,104,4.7,2,19,9,199,2,1,10.5,22.1,47.4,98.36,10,5,50.0,2,1,50.0,3,2,0,0,4,20,0,0,2,13,10,4,3,152,50.7,1,0,-1,100.0,0,66.7,0,2,2,0,1,0,0,0,3,3,3,3,0,1,0,0,0,0,0,25,15,2,13,7,0,0,55,29,4,30,1,0,0,Sunday,993004463,13,14,18679
202410213,2024-09-15T20:20:00,1,2024,2,HOU,CHI,HOME,19,13,32,NRG Stadium,3,13,0,3,0,28,47,28:47,15,4,11,0,61,310,5.1,1,22,75,3.4,0,36,23,235,1,0,6.5,10.2,63.9,91.78,14,4,28.6,1,1,100.0,2,1,0,0,12,115,1,1,3,25,11,9,6,267,44.5,1,2,1,3,7,0,3,0,31,13,31:13,15,3,7,5,66,205,3.1,1,22,71,3.2,1,37,23,134,0,2,3.6,5.8,62.2,46.45,17,6,35.3,2,1,50.0,1,1,0,0,9,60,0,0,7,40,4,6,6,284,47.3,2,1,-1,50.0,0,100.0,0,1,1,0,0,0,0,0,4,4,1,1,0,0,0,0,0,2,2,46,18,7,40,3,0,0,43,17,3,25,5,1,1,Sunday,993004508,13,6,18686
202410320,2024-09-22T13:00:00,1,2024,3,HOU,MIN,AWAY,7,34,41,U.S. Bank Stadium,0,0,7,0,0,30,42,30:42,17,0,16,1,63,296,4.7,1,14,38,2.7,0,44,28,258,1,2,5.9,9.2,63.6,68.18,14,4,28.6,4,2,50.0,2,1,0,0,11,88,0,0,5,49,6,6,4,177,44.2,2,0,-2,14,0,7,13,0,29,18,29:18,19,5,12,2,60,274,4.6,4,28,118,4.2,0,28,17,156,4,0,5.6,9.2,60.7,115.48,13,6,46.2,1,1,100.0,5,4,0,0,5,30,1,0,4,25,8,9,4,193,48.2,0,2,2,50.0,0,80.0,0,1,1,0,0,0,0,0,1,0,4,4,0,0,0,0,0,2,2,37,19,4,25,3,1,0,38,20,5,49,8,0,0,Sunday,993004523,13,20,18711
202410413,2024-09-29T13:00:00,1,2024,4,HOU,JAX,HOME,24,20,44,NRG Stadium,7,10,0,7,0,33,17,33:17,26,4,20,2,68,435,6.4,3,26,101,3.9,1,40,27,334,2,0,8.4,12.4,67.5,109.79,13,7,53.8,0,0,0.0,4,3,0,0,12,93,1,1,2,11,3,3,6,263,43.8,1,0,-1,10,3,7,0,0,26,43,26:43,17,5,11,1,58,313,5.4,2,24,158,6.6,0,33,18,155,2,0,4.7,8.6,54.5,87.31,12,4,33.3,1,0,0.0,3,2,0,0,6,44,1,0,1,14,6,4,5,253,50.6,0,1,1,75.0,0,66.7,0,3,3,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,2,33,17,1,14,5,0,0,46,19,2,11,5,0,1,Sunday,993004548,13,15,18728
202410513,2024-10-06T13:00:00,1,2024,5,HOU,BUF,HOME,23,20,43,NRG Stadium,14,3,3,3,0,33,10,33:10,18,5,13,0,67,425,6.3,2,28,94,3.4,1,38,28,331,1,1,8.7,11.8,73.7,97.59,16,8,50.0,1,0,0.0,2,1,0,0,7,65,1,1,1,0,9,7,5,221,44.2,2,0,-2,3,0,14,3,0,26,50,26:50,16,9,5,2,59,276,4.7,2,28,150,5.4,1,30,9,126,1,0,4.2,14.0,30.0,55.69,14,3,21.4,1,1,100.0,3,1,0,0,4,25,0,0,1,5,6,7,8,401,50.1,0,2,2,50.0,0,33.3,0,2,2,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,2,32,16,1,5,6,0,0,52,16,1,0,1,1,1,Sunday,993004588,13,4,18741
202410621,2024-10-13T13:00:00,1,2024,6,HOU,NE,AWAY,41,21,62,Gillette Stadium,14,0,13,14,0,30,47,30:47,20,5,13,2,62,368,5.9,5,28,192,6.9,2,32,20,176,3,1,5.5,8.8,62.5,95.31,11,4,36.4,0,0,0.0,3,3,0,0,4,38,1,0,2,16,8,8,4,185,46.2,1,4,3,0,7,7,7,0,29,13,29:13,17,3,12,2,63,291,4.6,3,26,82,3.2,0,33,20,209,3,2,6.3,10.4,60.6,84.03,13,3,23.1,2,2,100.0,1,1,0,0,9,50,3,2,4,34,5,4,6,299,49.8,4,1,-3,100.0,0,100.0,0,5,5,0,0,0,0,0,3,2,3,3,0,0,0,0,0,0,0,40,27,4,34,6,3,2,36,24,2,16,4,0,0,Sunday,993004611,13,21,18755
202410712,2024-10-20T13:00:00,1,2024,7,HOU,GB,AWAY,22,24,46,Lambeau Field,3,16,0,3,0,31,17,31:17,15,9,6,0,58,197,3.4,2,33,142,4.3,2,21,10,55,0,0,2.6,5.5,47.6,54.27,13,4,30.8,0,0,0.0,4,2,0,0,5,55,0,0,4,31,6,8,6,307,51.2,0,3,3,0,14,7,3,0,28,43,28:43,18,4,12,2,56,277,4.9,3,20,82,4.1,0,33,24,195,3,2,5.9,8.1,72.7,92.36,10,4,40.0,0,0,0.0,2,2,0,0,8,55,1,1,3,25,7,11,5,284,56.8,3,0,-3,50.0,0,100.0,0,1,1,0,1,0,0,0,3,3,3,3,0,0,0,0,0,1,1,41,7,3,25,5,0,1,38,23,4,31,1,0,0,Sunday,993004647,13,12,18770
202410813,2024-10-27T13:00:00,1,2024,8,HOU,IND,HOME,23,20,43,NRG Stadium,3,14,3,3,0,35,20,35:20,21,5,15,1,68,363,5.3,2,29,96,3.3,1,37,25,267,1,0,7.2,10.7,67.6,97.47,13,4,30.8,0,0,0.0,6,2,0,0,5,30,1,1,2,18,9,6,6,257,42.8,1,2,1,10,0,3,7,0,24,40,24:40,17,10,7,0,63,303,4.8,2,26,163,6.3,1,32,10,140,1,1,4.4,14.0,31.2,43.75,13,2,15.4,2,2,100.0,2,1,0,0,9,57,2,1,5,35,9,11,6,283,47.2,2,1,-1,33.3,0,50.0,0,2,2,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,2,36,14,5,35,10,1,1,46,23,2,18,2,1,1,Sunday,993004678,13,14,18785
202410924,2024-10-31T20:15:00,1,2024,9,HOU,NYJ,AWAY,13,21,34,MetLife Stadium,0,7,3,3,0,33,42,33:42,21,10,6,5,75,322,4.3,1,36,187,5.2,1,31,11,135,0,0,4.4,12.3,35.5,49.8,17,6,35.3,2,2,100.0,4,1,0,0,7,60,2,1,8,56,4,7,3,154,51.3,1,1,0,0,0,7,14,0,26,18,26:18,17,4,11,2,55,293,5.3,3,21,100,4.8,0,32,22,193,3,0,6.0,8.8,68.8,115.76,12,5,41.7,1,1,100.0,3,2,0,0,9,83,2,1,2,18,11,10,5,274,54.8,1,1,0,25.0,0,66.7,0,1,1,0,0,0,0,0,4,2,3,3,0,0,0,0,0,0,0,29,23,2,18,4,1,0,46,20,8,56,4,1,1,Thursday,993004693,13,24,18806
202411013,2024-11-10T20:20:00,1,2024,10,HOU,DET,HOME,23,26,49,NRG Stadium,10,13,0,0,0,32,28,32:28,16,3,12,1,65,248,3.8,2,28,56,2.0,1,33,19,192,1,2,5.8,10.1,57.6,59.15,15,6,40.0,0,0,0.0,4,2,0,0,4,30,1,0,4,40,5,3,5,275,55.0,2,5,3,0,7,6,13,0,27,32,27:32,19,7,11,1,62,345,5.6,3,32,105,3.3,1,30,15,240,2,5,8.0,16.0,50.0,59.72,12,7,58.3,0,0,0.0,3,2,0,0,4,61,1,0,0,0,7,9,4,188,47.0,5,2,-3,50.0,0,66.7,0,2,2,0,0,0,0,0,4,3,2,2,0,1,0,0,0,2,2,33,29,0,0,9,1,0,48,18,4,40,7,1,0,Sunday,993004748,13,11,18808
