GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202410116,2024-09-05T20:40:00,1,2024,1,KC,BAL,HOME,27,20,47,Arrowhead Stadium,7,6,7,7,0,26,17,26:17,21,4,15,2,50,353,7.1,3,20,72,3.6,2,28,20,281,1,1,10.0,14.0,71.4,100.45,9,4,44.4,0,0,0.0,3,1,0,0,6,45,0,0,2,10,1,3,3,144,48.0,1,1,0,7,3,0,10,0,33,43,33:43,25,13,11,1,74,452,6.1,2,32,185,5.8,1,41,26,267,1,0,6.5,10.3,63.4,90.19,14,7,50.0,2,1,50.0,4,1,0,0,7,64,1,1,1,6,7,2,2,75,37.5,1,1,0,33.3,0,25.0,0,3,3,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,2,48,23,1,6,4,1,1,31,18,2,10,4,0,0,Thursday,993004448,16,3,18684
202410216,2024-09-15T16:25:00,1,2024,2,KC,CIN,HOME,26,25,51,Arrowhead Stadium,3,7,7,9,0,28,31,28:31,19,9,7,3,59,286,4.8,3,32,149,4.7,0,25,18,137,2,2,5.5,7.6,72.0,78.25,8,1,12.5,2,2,100.0,2,1,0,0,4,44,1,1,2,14,6,4,2,112,56.0,3,1,-2,3,13,6,3,0,31,29,31:29,18,6,11,1,61,320,5.2,2,22,74,3.4,0,36,23,246,2,0,6.8,10.7,63.9,102.31,13,4,30.8,2,2,100.0,4,2,0,0,8,79,3,1,3,12,4,2,2,98,49.0,1,3,2,50.0,0,50.0,0,2,2,0,2,0,0,0,2,2,2,1,0,0,0,0,0,4,4,38,24,3,12,4,2,1,37,33,2,14,3,1,1,Sunday,993004506,16,7,18688
202410302,2024-09-22T20:20:00,1,2024,3,KC,ATL,AWAY,22,17,39,Mercedes-Benz Stadium,0,13,9,0,0,34,57,34:57,22,9,13,0,72,345,4.8,2,33,128,3.9,0,39,26,217,2,1,5.6,8.3,66.7,87.23,14,6,42.9,1,1,100.0,4,2,0,0,6,61,0,0,0,0,10,8,3,145,48.3,1,1,0,7,7,0,3,0,25,3,25:03,19,4,11,4,56,311,5.6,2,25,82,3.3,1,29,20,229,1,1,7.9,11.4,69.0,89.58,9,2,22.2,3,1,33.3,4,2,0,0,6,44,2,0,2,1,7,2,3,162,54.0,1,1,0,50.0,0,50.0,0,2,1,0,0,0,0,0,3,3,2,2,0,0,0,0,0,1,1,36,22,2,1,5,1,0,44,28,0,0,3,0,0,Sunday,993004537,16,2,18703
202410429,2024-09-29T16:25:00,1,2024,4,KC,LAC,AWAY,17,10,27,SoFi Stadium,0,7,3,7,0,29,8,29:08,16,6,8,2,58,329,5.7,2,26,101,3.9,1,29,19,228,1,1,7.9,12.0,65.5,86.57,16,9,56.2,0,0,0.0,2,1,0,0,5,40,1,1,3,17,10,5,4,200,50.0,2,0,-2,10,0,0,0,0,30,52,30:52,12,3,9,0,53,224,4.2,1,24,55,2.3,0,27,16,169,1,0,6.3,10.6,59.3,89.89,13,4,30.8,1,0,0.0,2,1,0,0,9,51,2,0,2,10,5,2,6,318,53.0,0,2,2,50.0,0,50.0,0,2,2,0,0,0,0,0,2,1,1,1,0,0,0,0,0,2,1,36,17,2,10,4,1,0,34,27,3,17,5,1,1,Sunday,993004565,16,29,18720
202410516,2024-10-07T20:15:00,1,2024,5,KC,NO,HOME,26,13,39,Arrowhead Stadium,7,9,0,10,0,39,56,39:56,28,11,15,2,80,460,5.8,2,39,139,3.6,2,39,28,321,0,1,8.2,11.5,71.8,85.52,14,6,42.9,1,1,100.0,7,2,0,0,6,55,1,0,2,10,9,3,1,56,56.0,1,1,0,0,7,0,6,0,20,4,20:04,14,1,11,2,51,220,4.3,2,15,46,3.1,0,35,20,174,2,1,5.0,8.7,57.1,77.56,10,4,40.0,2,0,0.0,1,1,0,0,5,70,0,0,1,8,6,4,4,199,49.8,1,1,0,28.6,0,100.0,0,2,2,0,0,0,0,0,5,4,2,1,0,0,0,0,0,0,0,27,20,1,8,4,0,0,50,37,2,10,2,1,0,Monday,993004602,16,22,18733
202410731,2024-10-20T16:25:00,1,2024,7,KC,SF,AWAY,28,18,46,Levi's Stadium,0,14,0,14,0,35,4,35:04,22,11,11,0,68,329,4.8,4,39,184,4.7,4,27,16,145,0,2,5.4,9.1,59.3,42.98,14,8,57.1,2,1,50.0,5,4,0,0,4,48,0,0,2,9,6,5,3,179,59.7,2,3,1,3,3,6,6,0,24,56,24:56,19,7,8,4,56,310,5.5,2,24,101,4.2,2,31,17,209,0,3,6.7,12.3,54.8,36.29,11,2,18.2,1,1,100.0,4,2,0,0,6,40,1,0,1,3,8,1,4,193,48.2,3,2,-1,80.0,0,50.0,0,4,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,2,37,14,1,3,6,1,0,42,28,2,9,3,0,0,Sunday,993004653,16,31,18764
202410825,2024-10-27T16:25:00,1,2024,8,KC,LV,AWAY,27,20,47,Allegiant Stadium,7,10,0,10,0,32,30,32:30,23,5,17,1,68,334,4.9,3,29,82,2.8,1,38,27,252,2,1,6.6,9.3,71.1,95.5,16,12,75.0,0,0,0.0,4,3,0,0,8,55,1,0,1,10,8,7,2,93,46.5,1,1,0,7,3,3,7,0,27,30,27:30,15,1,13,1,56,228,4.1,2,21,33,1.6,0,30,24,195,2,0,6.5,8.1,80.0,115.97,13,6,46.2,2,1,50.0,4,2,0,0,5,32,1,1,5,14,3,3,2,128,64.0,1,1,0,75.0,0,50.0,0,3,3,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,2,41,18,5,14,2,1,1,38,33,1,10,4,0,0,Sunday,993004685,16,25,18780
202410916,2024-11-04T20:15:00,1,2024,9,KC,TB,HOME,30,24,54,Arrowhead Stadium,3,7,0,14,6,40,42,40:42,28,9,19,0,83,384,4.6,4,35,124,3.5,1,44,34,260,3,0,5.9,7.6,77.3,113.83,18,12,66.7,1,1,100.0,4,4,0,0,3,30,1,1,4,31,4,3,4,171,42.8,1,0,-1,0,7,10,7,0,25,10,25:10,17,7,8,2,52,284,5.5,3,19,95,5.0,1,31,23,189,2,0,6.1,8.2,74.2,110.82,11,5,45.5,0,0,0.0,3,3,0,0,6,50,0,0,2,11,7,8,5,216,43.2,0,1,1,100.0,0,100.0,0,3,3,0,0,0,0,0,1,1,3,3,0,0,0,0,0,1,1,34,17,2,11,4,0,0,53,36,4,31,3,1,1,Monday,993004722,16,33,18792
202411016,2024-11-10T13:00:00,1,2024,10,KC,DEN,HOME,16,14,30,Arrowhead Stadium,0,10,3,3,0,33,21,33:21,19,4,13,2,65,300,4.6,1,19,57,3.0,0,42,28,243,1,0,5.8,8.7,66.7,89.68,16,7,43.8,2,2,100.0,4,1,0,0,3,10,0,0,4,23,5,6,4,213,53.2,0,0,0,0,14,0,0,0,26,39,26:39,16,4,12,0,55,260,4.7,2,23,78,3.4,0,30,22,182,2,0,6.1,8.3,73.3,110.69,13,7,53.8,0,0,0.0,2,1,0,0,6,35,1,0,2,33,9,5,5,236,47.2,0,0,0,25.0,0,50.0,0,1,1,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,0,32,25,2,33,0,0,0,37,28,4,23,2,0,0,Sunday,993004734,16,10,18815
202411104,2024-11-17T16:25:00,1,2024,11,KC,BUF,AWAY,21,30,51,Highmark Stadium,0,14,0,7,0,25,57,25:57,19,3,15,1,52,259,5.0,3,17,78,4.6,0,33,23,181,3,2,5.5,7.9,69.7,88.07,10,5,50.0,1,0,0.0,3,3,0,0,6,57,0,0,2,15,4,3,4,193,48.2,2,1,-1,6,10,0,14,0,34,3,34:03,24,9,13,2,71,366,5.2,4,31,104,3.4,3,40,27,262,1,1,6.6,9.7,67.5,83.54,15,9,60.0,2,1,50.0,4,3,0,0,3,24,0,0,0,0,7,3,3,126,42.0,1,2,1,100.0,0,75.0,0,3,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,1,44,20,0,0,2,0,0,28,24,2,15,5,0,0,Sunday,993004773,16,4,18823
