GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202410129,2024-09-08T16:05:00,1,2024,1,LV,LAC,AWAY,10,22,32,SoFi Stadium,7,0,0,3,0,31,44,31:44,14,1,12,1,59,296,5.0,1,22,71,3.2,0,33,25,225,1,1,6.8,9.0,75.8,91.1,14,5,35.7,1,0,0.0,1,0,0,0,2,15,2,2,4,32,5,2,5,265,53.0,3,0,-3,3,3,3,13,0,28,16,28:16,11,5,6,0,54,316,5.9,2,27,176,6.5,1,26,17,140,1,0,5.4,8.2,65.4,91.83,15,4,26.7,0,0,0.0,4,2,0,0,7,50,0,0,1,4,6,3,7,332,47.4,0,3,3,0.0,0,50.0,0,1,1,0,0,0,0,0,2,1,1,1,0,1,0,0,0,3,3,33,21,1,4,2,0,0,42,17,4,32,5,1,2,Sunday,993004467,25,29,18673
202410203,2024-09-15T13:00:00,1,2024,2,LV,BAL,AWAY,26,23,49,M&T Bank Stadium,0,6,7,13,0,30,43,30:43,18,1,14,3,60,260,4.3,2,17,27,1.6,1,38,30,233,1,1,6.1,7.8,78.9,90.02,12,4,33.3,1,0,0.0,3,2,0,0,3,15,1,0,5,43,2,5,3,128,42.7,1,1,0,3,6,7,7,0,29,17,29:17,21,5,14,2,63,383,6.1,2,27,151,5.6,1,34,21,232,1,1,6.8,11.0,61.8,79.53,11,3,27.3,1,1,100.0,3,2,0,0,11,109,0,0,2,15,10,9,4,173,43.2,1,1,0,66.7,0,66.7,0,2,2,0,0,0,0,0,4,4,2,2,0,0,0,0,0,4,3,42,14,2,15,7,0,0,43,22,5,43,3,1,0,Sunday,993004499,25,3,18690
202410325,2024-09-22T16:05:00,1,2024,3,LV,CAR,HOME,22,36,58,Allegiant Stadium,7,0,0,15,0,23,58,23:58,20,3,15,2,59,331,5.6,3,16,55,3.4,1,40,27,276,2,1,6.9,10.2,67.5,93.33,11,3,27.3,3,1,33.3,3,3,0,0,6,54,0,0,3,20,5,3,5,261,52.2,1,0,-1,7,14,6,9,0,36,2,36:02,24,8,15,1,70,437,6.2,4,31,131,4.2,1,37,26,306,3,0,8.3,11.8,70.3,122.13,12,5,41.7,0,0,0.0,5,3,0,0,7,51,0,0,2,13,6,3,4,177,44.2,0,1,1,100.0,0,60.0,0,2,2,0,2,1,0,0,1,0,3,3,0,2,0,0,0,3,3,44,28,2,13,5,0,0,36,18,3,20,7,0,0,Sunday,993004528,25,5,18707
202410425,2024-09-29T16:25:00,1,2024,4,LV,CLE,HOME,20,16,36,Allegiant Stadium,0,10,10,0,0,29,18,29:18,17,8,7,2,55,268,4.9,2,29,152,5.2,2,24,14,116,0,0,4.8,8.3,58.3,70.83,12,4,33.3,0,0,0.0,3,2,0,0,6,49,1,1,2,14,11,4,4,232,58.0,1,1,0,10,0,0,6,0,30,42,30:42,16,6,9,1,57,241,4.2,2,22,92,4.2,0,32,24,149,1,1,4.7,6.2,75.0,81.38,10,3,30.0,1,0,0.0,2,1,0,0,5,38,1,0,3,27,4,4,5,316,63.2,1,1,0,66.7,0,50.0,0,2,2,0,0,0,0,0,2,2,2,1,0,0,0,0,0,1,1,43,23,3,27,5,0,0,36,16,2,14,1,1,1,Sunday,993004568,25,8,18721
202410510,2024-10-06T16:05:00,1,2024,5,LV,DEN,AWAY,18,34,52,Empower Field at Mile High,10,0,0,8,0,31,23,31:23,20,5,13,2,65,330,5.1,2,25,115,4.6,1,37,22,215,1,3,5.8,9.8,59.5,51.07,15,7,46.7,1,0,0.0,2,1,0,0,11,79,0,0,3,16,4,8,5,267,53.4,3,0,-3,0,13,7,14,0,28,37,28:37,18,6,9,3,58,289,5.0,4,28,109,3.9,1,27,19,180,2,0,6.7,9.5,70.4,113.19,12,3,25.0,1,1,100.0,4,3,0,0,9,44,1,0,3,26,6,5,6,259,43.2,0,3,3,50.0,0,75.0,0,1,1,0,0,0,1,1,1,1,4,4,0,0,0,0,0,2,2,36,25,3,26,3,0,0,40,22,3,16,6,0,0,Sunday,993004591,25,10,18737
202410625,2024-10-13T16:05:00,1,2024,6,LV,PIT,HOME,13,32,45,Allegiant Stadium,7,0,0,6,0,28,9,28:09,16,5,11,0,60,275,4.6,2,19,57,3.0,1,40,27,218,1,1,5.4,8.1,67.5,78.96,11,2,18.2,3,1,33.3,3,2,0,0,4,42,3,2,1,9,6,8,3,170,56.7,3,0,-3,3,9,10,10,0,31,51,31:51,18,10,6,2,62,293,4.7,3,35,183,5.2,3,24,14,110,0,0,4.6,7.9,58.3,69.79,13,4,30.8,1,1,100.0,4,2,0,0,7,50,1,0,3,35,3,7,3,137,45.7,0,3,3,66.7,0,50.0,0,1,1,0,2,0,0,0,0,0,2,2,0,2,0,0,0,4,4,34,41,3,35,4,0,0,40,18,1,9,5,2,2,Sunday,993004620,25,28,18752
202410732,2024-10-20T16:05:00,1,2024,7,LV,LAR,AWAY,15,20,35,SoFi Stadium,0,6,3,6,0,33,48,33:48,20,7,12,1,75,317,4.2,0,29,122,4.2,0,44,21,195,0,3,4.4,9.3,47.7,31.91,15,3,20.0,1,1,100.0,2,0,0,0,10,80,1,1,2,11,2,2,4,190,47.5,4,1,-3,0,14,6,0,0,26,12,26:12,15,7,6,2,52,259,5.0,3,28,115,4.1,2,23,14,144,0,1,6.3,10.3,60.9,60.78,10,2,20.0,1,0,0.0,3,2,0,0,3,28,0,0,1,10,10,3,6,261,43.5,1,4,3,0.0,0,66.7,0,0,0,0,0,0,0,0,5,5,3,2,0,0,0,0,0,1,0,37,13,1,10,4,0,0,45,27,2,11,8,1,1,Sunday,993004651,25,32,18765
202410825,2024-10-27T16:25:00,1,2024,8,LV,KC,HOME,20,27,47,Allegiant Stadium,7,3,3,7,0,27,30,27:30,15,1,13,1,56,228,4.1,2,21,33,1.6,0,30,24,195,2,0,6.5,8.1,80.0,115.97,13,6,46.2,2,1,50.0,4,2,0,0,5,32,1,1,5,14,3,3,2,128,64.0,1,1,0,7,10,0,10,0,32,30,32:30,23,5,17,1,68,334,4.9,3,29,82,2.8,1,38,27,252,2,1,6.6,9.3,71.1,95.5,16,12,75.0,0,0,0.0,4,3,0,0,8,55,1,0,1,10,8,7,2,93,46.5,1,1,0,50.0,0,75.0,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,0,0,2,2,38,33,1,10,4,0,0,41,18,5,14,2,1,1,Sunday,993004686,25,16,18780
202410907,2024-11-03T13:00:00,1,2024,9,LV,CIN,AWAY,24,41,65,Paycor Stadium,7,3,0,14,0,24,46,24:46,16,4,10,2,59,217,3.7,3,21,60,2.9,1,33,21,157,1,0,4.8,7.5,63.6,85.04,13,5,38.5,1,0,0.0,1,1,0,0,6,51,2,2,5,41,7,2,5,280,56.0,2,1,-1,7,10,14,10,0,35,14,35:14,26,5,18,3,71,373,5.3,5,31,130,4.2,0,39,27,243,5,1,6.2,9.0,69.2,114.64,15,8,53.3,1,1,100.0,5,4,0,0,7,60,0,0,1,8,13,7,3,175,58.3,1,2,1,100.0,0,80.0,0,3,3,0,0,0,0,0,1,1,5,5,0,0,0,0,0,2,2,38,37,1,8,7,0,0,35,24,5,41,4,1,2,Sunday,993004697,25,7,18801
202411119,2024-11-17T13:00:00,1,2024,11,LV,MIA,AWAY,19,34,53,Hard Rock Stadium,3,3,6,7,0,26,48,26:48,22,3,17,2,62,328,5.3,2,16,60,3.8,0,43,30,268,2,1,6.2,8.9,69.8,92.01,14,8,57.1,2,2,100.0,3,1,0,0,7,49,0,0,3,14,2,10,1,54,54.0,1,0,-1,7,3,7,17,0,33,12,33:12,25,4,18,3,64,353,5.5,4,26,82,3.2,1,36,28,271,3,0,7.5,9.7,77.8,125.81,12,8,66.7,2,2,100.0,4,3,0,0,4,23,1,0,2,17,4,4,0,0,0.0,0,1,1,33.3,0,75.0,0,1,1,0,1,0,0,0,2,2,4,4,0,0,0,0,0,2,2,40,32,2,17,2,1,0,37,21,3,14,3,0,0,Sunday,993004761,25,19,18829
