GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202410126,2024-09-06T20:15:00,1,2024,1,PHI,GB,HOME,34,29,63,Arena Corinthians,0,17,14,3,0,32,47,32:47,25,8,14,3,74,410,5.5,4,38,144,3.8,2,34,20,266,2,2,7.8,13.3,58.8,78.8,14,4,28.6,1,1,100.0,6,3,0,0,7,57,2,1,2,12,5,4,2,101,50.5,3,1,-2,6,13,7,3,0,27,13,27:13,19,7,9,3,58,414,7.1,3,21,163,7.8,1,35,17,251,2,1,7.2,14.8,48.6,79.58,11,3,27.3,1,1,100.0,4,1,0,0,10,71,1,0,2,9,5,7,2,74,37.0,1,3,2,50.0,0,25.0,0,4,4,0,0,0,0,0,2,2,2,2,0,1,0,0,0,4,3,30,24,2,9,4,1,0,46,26,2,12,6,0,1,Friday,993004450,26,12,18683
202410226,2024-09-16T20:15:00,1,2024,2,PHI,ATL,HOME,21,22,43,Lincoln Financial Field,0,7,3,11,0,35,39,35:39,22,10,12,0,68,365,5.4,2,37,186,5.0,1,30,23,179,1,1,6.0,7.8,76.7,88.06,13,6,46.2,3,2,66.7,5,2,0,0,9,53,0,0,1,4,2,3,2,93,46.5,1,0,-1,0,6,9,7,0,24,21,24:21,22,9,11,2,58,385,6.6,2,28,152,5.4,0,29,20,233,2,0,8.0,11.6,69.0,116.02,9,2,22.2,2,1,50.0,3,1,0,0,3,40,1,0,1,8,5,4,2,89,44.5,0,1,1,40.0,0,33.3,0,1,1,0,0,0,1,1,2,2,1,1,0,2,0,0,0,3,3,40,17,1,8,4,0,0,47,29,1,4,5,0,0,Monday,993004510,26,2,18685
202410322,2024-09-22T13:00:00,1,2024,3,PHI,NO,AWAY,15,12,27,Caesars Superdome,0,0,0,15,0,32,15,32:15,20,8,11,1,67,460,6.9,2,25,172,6.9,2,38,29,288,0,1,7.6,9.9,76.3,86.29,14,6,42.9,3,1,33.3,3,1,0,0,7,45,2,1,4,23,4,6,1,43,43.0,2,1,-1,3,0,0,9,0,27,45,27:45,12,5,7,0,55,219,4.0,1,29,89,3.1,0,25,14,130,1,1,5.2,9.3,56.0,67.08,13,6,46.2,1,0,0.0,3,1,0,0,3,25,0,0,1,12,8,7,4,162,40.5,1,2,1,33.3,0,33.3,0,1,1,0,0,0,1,1,1,0,0,0,0,2,0,0,0,2,2,38,20,1,12,8,0,0,47,15,4,23,3,2,1,Sunday,993004519,26,22,18712
202410433,2024-09-29T13:00:00,1,2024,4,PHI,TB,AWAY,16,33,49,Raymond James Stadium,0,7,9,0,0,23,43,23:43,16,9,6,1,56,227,4.1,2,20,113,5.6,1,30,18,114,1,0,3.8,6.3,60.0,79.03,13,6,46.2,2,1,50.0,3,2,0,0,5,41,3,2,6,44,2,4,5,282,56.4,2,0,-2,14,10,6,3,0,36,17,36:17,29,9,18,2,74,445,6.0,4,25,111,4.4,2,47,30,334,2,0,7.1,11.1,63.8,99.07,13,6,46.2,1,1,100.0,6,4,0,0,3,20,1,0,2,13,6,7,4,150,37.5,0,2,2,66.7,0,66.7,0,2,2,0,0,0,0,0,0,0,4,3,1,0,0,0,0,2,2,42,22,2,13,8,0,0,34,17,6,44,4,2,2,Sunday,993004549,26,33,18731
202410626,2024-10-13T13:00:00,1,2024,6,PHI,CLE,HOME,20,16,36,Lincoln Financial Field,0,10,3,7,0,28,33,28:33,19,8,11,0,62,372,6.0,2,36,116,3.2,0,25,16,256,2,0,10.2,16.0,64.0,124.75,14,5,35.7,2,2,100.0,1,0,0,0,5,40,1,0,1,8,10,4,3,146,48.7,0,0,0,0,10,0,6,0,31,27,31:27,14,6,7,1,53,244,4.6,1,25,100,4.0,0,23,16,144,0,0,6.3,9.0,69.6,86.14,12,3,25.0,1,1,100.0,1,0,0,0,7,55,0,0,5,24,2,5,4,223,55.8,0,0,0,0.0,0,0.0,0,2,2,0,0,0,0,0,3,2,1,1,0,0,0,0,0,4,3,36,29,5,24,2,0,0,41,18,1,8,3,0,0,Sunday,993004618,26,8,18757
202410723,2024-10-20T13:00:00,1,2024,7,PHI,NYG,AWAY,28,3,31,MetLife Stadium,0,14,7,7,0,35,20,35:20,20,13,6,1,65,339,5.2,4,45,269,6.0,3,15,10,70,1,0,4.7,7.0,66.7,99.31,13,1,7.7,3,3,100.0,3,3,0,0,6,35,0,0,5,44,11,10,8,419,52.4,0,0,0,0,3,0,0,0,24,40,24:40,10,4,6,0,55,119,2.2,0,18,76,4.2,0,29,17,43,0,0,1.5,2.5,58.6,63.43,14,3,21.4,0,0,0.0,1,0,0,0,5,35,3,0,8,62,7,8,11,517,47.0,0,0,0,100.0,0,0.0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37,17,8,62,4,1,0,45,30,5,44,2,0,0,Sunday,993004643,26,23,18773
202410807,2024-10-27T13:00:00,1,2024,8,PHI,CIN,AWAY,37,17,54,Paycor Stadium,0,10,14,13,0,31,48,31:48,24,13,10,1,59,397,6.7,4,39,161,4.1,3,20,16,236,1,0,11.8,14.8,80.0,132.5,11,6,54.5,1,1,100.0,5,3,0,0,4,40,0,0,0,0,4,2,1,52,52.0,0,2,2,7,3,7,0,0,28,12,28:12,18,3,15,0,58,280,4.8,2,20,58,2.9,1,37,26,222,1,1,6.0,8.5,70.3,83.39,13,10,76.9,1,0,0.0,3,2,0,0,1,3,3,1,1,12,1,4,0,0,0.0,2,0,-2,60.0,0,66.7,0,4,4,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,1,38,17,1,12,6,3,1,37,29,0,0,2,0,0,Sunday,993004669,26,7,18778
202410926,2024-11-03T16:05:00,1,2024,9,PHI,JAX,HOME,28,23,51,Lincoln Financial Field,7,9,6,6,0,38,12,38:12,21,9,11,1,73,447,6.1,4,46,237,5.2,2,24,18,210,2,0,8.8,11.7,75.0,128.82,17,9,52.9,2,0,0.0,4,3,0,0,8,67,1,1,3,20,3,3,3,146,48.7,1,3,2,0,0,16,7,0,21,48,21:48,14,4,9,1,51,215,4.2,3,18,60,3.3,2,31,16,155,0,2,5.0,9.7,51.6,39.05,10,3,30.0,2,1,50.0,3,2,0,0,4,17,1,1,2,14,3,6,5,238,47.6,3,1,-2,75.0,0,66.7,0,1,1,0,4,0,0,0,2,1,1,1,0,4,2,0,0,0,0,26,17,2,14,9,1,1,51,19,3,20,2,0,1,Sunday,993004714,26,15,18793
202411009,2024-11-10T16:25:00,1,2024,10,PHI,DAL,AWAY,34,6,40,AT&T Stadium,7,7,14,6,0,34,1,34:01,24,11,9,4,65,348,5.4,4,38,187,4.9,2,22,15,161,2,1,7.3,10.7,68.2,100.76,11,4,36.4,1,1,100.0,5,4,0,0,7,49,1,1,5,46,6,5,4,208,52.0,2,5,3,3,3,0,0,0,25,59,25:59,11,5,4,2,56,146,2.6,0,24,97,4.0,0,29,17,49,0,1,1.7,2.9,58.6,49.07,14,3,21.4,2,2,100.0,2,0,0,0,5,40,4,4,3,17,8,4,6,304,50.7,5,2,-3,80.0,0,0.0,0,4,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,34,19,3,17,7,3,4,43,25,5,46,3,1,1,Sunday,993004743,26,9,18810
202411126,2024-11-14T20:15:00,1,2024,11,PHI,WAS,HOME,26,18,44,Lincoln Financial Field,0,3,3,20,0,33,4,33:04,23,13,9,1,70,434,6.2,3,40,228,5.7,3,28,18,206,0,0,7.4,11.4,64.3,86.31,16,9,56.2,0,0,0.0,3,1,0,0,4,49,1,0,2,15,3,8,3,133,44.3,0,1,1,7,0,3,8,0,26,56,26:56,18,6,10,2,63,264,4.2,2,28,93,3.3,1,32,22,171,1,1,5.3,7.8,68.8,79.04,12,3,25.0,2,1,50.0,2,2,0,0,4,25,1,0,3,20,4,3,5,221,44.2,1,0,-1,33.3,0,100.0,0,3,2,0,0,0,0,0,4,2,1,1,0,2,1,0,0,1,1,41,27,3,20,4,1,0,42,29,2,15,2,1,0,Thursday,993004752,26,35,18834
