GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202410133,2024-09-08T16:25:00,1,2024,1,TB,WAS,HOME,37,20,57,Raymond James Stadium,6,10,7,14,0,33,41,33:41,22,4,15,3,61,392,6.4,4,30,112,3.7,0,30,24,280,4,0,9.3,11.7,80.0,145.14,13,9,69.2,0,0,0.0,5,3,0,0,7,46,0,0,1,9,2,3,1,38,38.0,0,0,0,0,7,7,6,0,26,19,26:19,22,12,7,3,56,299,5.3,3,30,138,4.6,3,24,17,161,0,0,6.7,9.5,70.8,89.06,8,2,25.0,1,1,100.0,3,3,0,0,7,51,3,0,2,23,4,8,3,139,46.3,0,0,0,60.0,0,100.0,0,4,4,0,0,0,0,0,3,3,2,2,0,2,0,0,0,2,0,32,24,2,23,2,2,0,40,20,1,9,2,0,0,Sunday,993004472,33,35,18672
202410211,2024-09-15T13:00:00,1,2024,2,TB,DET,AWAY,20,16,36,Ford Field,6,7,7,0,0,26,7,26:07,14,3,9,2,47,216,4.6,2,23,70,3.0,1,19,12,146,1,1,7.7,12.2,63.2,82.35,10,2,20.0,0,0,0.0,2,1,0,0,4,35,2,0,5,39,10,4,5,230,46.0,1,2,1,3,3,10,0,0,33,53,33:53,26,7,16,3,83,463,5.6,1,27,139,5.1,1,56,35,324,0,2,5.8,9.3,62.5,63.39,17,7,41.2,5,3,60.0,7,1,0,0,4,71,0,0,0,0,5,7,2,67,33.5,2,1,-1,50.0,0,14.3,0,2,2,0,0,0,0,0,2,2,1,1,0,0,0,0,0,3,3,54,30,0,0,9,0,0,33,13,5,39,4,2,0,Sunday,993004497,33,11,18693
202410333,2024-09-22T13:00:00,1,2024,3,TB,DEN,HOME,7,26,33,Raymond James Stadium,0,7,0,0,0,27,52,27:52,17,4,11,2,56,223,4.0,1,16,91,5.7,0,33,25,132,1,1,4.0,5.3,75.8,79.36,11,3,27.3,2,0,0.0,2,1,0,0,5,19,1,1,7,31,2,2,4,189,47.2,2,1,-1,14,6,0,6,0,32,8,32:08,18,10,8,0,64,352,5.5,2,28,136,4.9,2,36,25,216,0,0,6.0,8.6,69.4,84.95,13,4,30.8,3,2,66.7,4,2,0,0,5,51,1,1,0,0,9,5,2,96,48.0,1,2,1,50.0,0,50.0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,4,4,38,32,0,0,5,1,1,36,25,7,31,3,1,1,Sunday,993004522,33,10,18714
202410433,2024-09-29T13:00:00,1,2024,4,TB,PHI,HOME,33,16,49,Raymond James Stadium,14,10,6,3,0,36,17,36:17,29,9,18,2,74,445,6.0,4,25,111,4.4,2,47,30,334,2,0,7.1,11.1,63.8,99.07,13,6,46.2,1,1,100.0,6,4,0,0,3,20,1,0,2,13,6,7,4,150,37.5,0,2,2,0,7,9,0,0,23,43,23:43,16,9,6,1,56,227,4.1,2,20,113,5.6,1,30,18,114,1,0,3.8,6.3,60.0,79.03,13,6,46.2,2,1,50.0,3,2,0,0,5,41,3,2,6,44,2,4,5,282,56.4,2,0,-2,66.7,0,66.7,0,4,3,1,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,34,17,6,44,4,2,2,42,22,2,13,8,0,0,Sunday,993004550,33,26,18731
202410502,2024-10-03T20:15:00,1,2024,5,TB,ATL,AWAY,30,36,66,Mercedes-Benz Stadium,10,14,3,3,0,27,38,27:38,21,8,12,1,51,333,6.5,3,26,160,6.2,0,24,19,173,3,0,7.2,9.1,79.2,136.28,11,6,54.5,0,0,0.0,3,2,0,0,5,47,2,1,1,7,11,6,2,87,43.5,1,1,0,7,10,3,10,6,33,37,33:37,28,2,24,2,81,550,6.8,4,18,73,4.1,0,59,42,477,4,1,8.1,11.4,71.2,110.63,14,6,42.9,3,2,66.7,4,2,0,0,8,74,1,0,4,32,1,6,1,35,35.0,1,1,0,66.7,0,50.0,0,3,3,0,0,0,0,0,3,3,3,3,0,0,0,0,0,5,3,55,17,4,32,8,1,0,36,21,1,7,1,2,1,Thursday,993004575,33,2,18746
202410622,2024-10-13T13:00:00,1,2024,6,TB,NO,AWAY,51,27,78,Caesars Superdome,17,7,7,20,0,34,2,34:02,31,13,15,3,72,594,8.2,7,35,277,7.9,2,36,24,317,4,3,8.8,13.2,66.7,96.64,10,6,60.0,0,0,0.0,5,4,0,0,12,86,1,0,1,8,10,5,3,132,44.0,3,3,0,0,27,0,0,0,25,58,25:58,19,3,13,3,66,303,4.6,3,21,81,3.9,1,40,22,222,1,2,5.6,10.1,55.0,58.54,13,4,30.8,1,1,100.0,4,2,0,0,7,70,3,1,5,21,2,4,6,266,44.3,3,3,0,80.0,0,50.0,0,6,6,0,2,0,0,0,1,1,3,3,0,0,0,0,0,2,2,37,24,5,21,6,2,1,47,30,1,8,11,1,0,Sunday,993004613,33,22,18756
202410733,2024-10-21T20:15:00,1,2024,7,TB,BAL,HOME,31,41,72,Raymond James Stadium,10,0,0,21,0,35,5,35:05,28,7,19,2,78,481,6.2,4,30,125,4.2,1,45,31,356,3,2,7.9,11.5,68.9,96.16,17,11,64.7,1,1,100.0,5,3,0,0,8,75,1,0,3,14,2,6,2,93,46.5,2,1,-1,0,17,17,7,0,24,55,24:55,22,7,12,3,54,508,9.4,5,30,244,8.1,0,22,17,264,5,0,12.0,15.5,77.3,156.06,8,3,37.5,1,1,100.0,5,4,0,0,9,85,2,1,2,17,4,5,2,87,43.5,1,2,1,60.0,0,80.0,0,2,2,0,3,1,0,0,2,1,5,5,0,0,0,0,0,2,2,37,18,2,17,1,0,1,49,30,3,14,5,1,0,Monday,993004658,33,3,18762
202410833,2024-10-27T13:00:00,1,2024,8,TB,ATL,HOME,26,31,57,Raymond James Stadium,7,10,0,9,0,32,34,32:34,24,8,16,0,72,432,6.0,3,22,102,4.6,0,50,37,330,3,2,6.6,8.9,74.0,94.58,14,9,64.3,2,1,50.0,3,3,0,0,6,45,2,1,0,0,4,6,1,42,42.0,3,0,-3,7,17,7,0,0,27,26,27:26,20,8,11,1,60,394,6.6,4,29,129,4.4,0,29,23,265,4,0,9.1,11.5,79.3,144.32,12,6,50.0,2,2,100.0,1,1,0,0,4,43,1,0,2,11,0,2,3,128,42.7,0,3,3,100.0,0,100.0,0,3,3,0,0,0,0,0,1,1,4,4,0,0,0,0,0,2,1,34,36,2,11,1,0,0,48,25,0,0,4,2,1,Sunday,993004664,33,2,18789
202410916,2024-11-04T20:15:00,1,2024,9,TB,KC,AWAY,24,30,54,Arrowhead Stadium,0,7,10,7,0,25,10,25:10,17,7,8,2,52,284,5.5,3,19,95,5.0,1,31,23,189,2,0,6.1,8.2,74.2,110.82,11,5,45.5,0,0,0.0,3,3,0,0,6,50,0,0,2,11,7,8,5,216,43.2,0,1,1,3,7,0,14,6,40,42,40:42,28,9,19,0,83,384,4.6,4,35,124,3.5,1,44,34,260,3,0,5.9,7.6,77.3,113.83,18,12,66.7,1,1,100.0,4,4,0,0,3,30,1,1,4,31,4,3,4,171,42.8,1,0,-1,100.0,0,100.0,0,3,3,0,0,0,0,0,1,1,3,3,0,0,0,0,0,1,1,53,36,4,31,3,1,1,34,17,2,11,4,0,0,Monday,993004721,33,16,18792
202411033,2024-11-10T13:00:00,1,2024,10,TB,SF,HOME,20,23,43,Raymond James Stadium,0,3,7,10,0,28,12,28:12,18,6,8,4,58,215,3.7,2,27,110,4.1,1,29,18,105,1,0,3.6,5.8,62.1,80.39,14,5,35.7,1,1,100.0,4,2,0,0,5,42,2,0,2,11,7,4,6,273,45.5,0,1,1,7,3,3,10,0,31,48,31:48,24,3,17,4,61,413,6.8,2,22,75,3.4,0,36,25,338,2,0,9.4,13.5,69.4,117.59,11,5,45.5,0,0,0.0,3,1,0,0,6,49,2,1,3,15,2,5,1,35,35.0,1,0,-1,50.0,0,33.3,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,6,3,38,26,3,15,3,1,1,34,21,2,11,5,0,0,Sunday,993004730,33,31,18817
