GameKey,Date,SeasonType,Season,Week,Team,Opponent,HomeOrAway,Score,OpponentScore,TotalScore,Stadium,ScoreQuarter1,ScoreQuarter2,ScoreQuarter3,ScoreQuarter4,ScoreOvertime,TimeOfPossessionMinutes,TimeOfPossessionSeconds,TimeOfPossession,FirstDowns,FirstDownsByRushing,FirstDownsByPassing,FirstDownsByPenalty,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,Touchdowns,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,PassingAttempts,PassingCompletions,PassingYards,PassingTouchdowns,PassingInterceptions,PassingYardsPerAttempt,PassingYardsPerCompletion,CompletionPercentage,PasserRating,ThirdDownAttempts,ThirdDownConversions,ThirdDownPercentage,FourthDownAttempts,FourthDownConversions,FourthDownPercentage,RedZoneAttempts,RedZoneConversions,GoalToGoAttempts,GoalToGoConversions,Penalties,PenaltyYards,Fumbles,FumblesLost,TimesSacked,TimesSackedYards,QuarterbackHits,TacklesForLoss,Punts,PuntYards,PuntAverage,Giveaways,Takeaways,TurnoverDifferential,OpponentScoreQuarter1,OpponentScoreQuarter2,OpponentScoreQuarter3,OpponentScoreQuarter4,OpponentScoreOvertime,OpponentTimeOfPossessionMinutes,OpponentTimeOfPossessionSeconds,OpponentTimeOfPossession,OpponentFirstDowns,OpponentFirstDownsByRushing,OpponentFirstDownsByPassing,OpponentFirstDownsByPenalty,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentTouchdowns,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentPassingAttempts,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentCompletionPercentage,OpponentPasserRating,OpponentThirdDownAttempts,OpponentThirdDownConversions,OpponentThirdDownPercentage,OpponentFourthDownAttempts,OpponentFourthDownConversions,OpponentFourthDownPercentage,OpponentRedZoneAttempts,OpponentRedZoneConversions,OpponentGoalToGoAttempts,OpponentGoalToGoConversions,OpponentPenalties,OpponentPenaltyYards,OpponentFumbles,OpponentFumblesLost,OpponentTimesSacked,OpponentTimesSackedYards,OpponentQuarterbackHits,OpponentTacklesForLoss,OpponentPunts,OpponentPuntYards,OpponentPuntAverage,OpponentGiveaways,OpponentTakeaways,OpponentTurnoverDifferential,RedZonePercentage,GoalToGoPercentage,OpponentRedZonePercentage,OpponentGoalToGoPercentage,ExtraPointKickingAttempts,ExtraPointKickingConversions,ExtraPointsHadBlocked,ExtraPointPassingAttempts,ExtraPointPassingConversions,ExtraPointRushingAttempts,ExtraPointRushingConversions,FieldGoalAttempts,FieldGoalsMade,OpponentExtraPointKickingAttempts,OpponentExtraPointKickingConversions,OpponentExtraPointsHadBlocked,OpponentExtraPointPassingAttempts,OpponentExtraPointPassingConversions,OpponentExtraPointRushingAttempts,OpponentExtraPointRushingConversions,OpponentFieldGoalAttempts,OpponentFieldGoalsMade,SoloTackles,AssistedTackles,Sacks,SackYards,PassesDefended,FumblesForced,FumblesRecovered,OpponentSoloTackles,OpponentAssistedTackles,OpponentSacks,OpponentSackYards,OpponentPassesDefended,OpponentFumblesForced,OpponentFumblesRecovered,DayOfWeek,TeamGameID,TeamID,OpponentID,ScoreID
202310908,2023-11-05T13:00:00,1,2023,9,ARI,CLE,AWAY,0,27,27,Cleveland Browns Stadium,0,0,0,0,0,23,35,23:35,7,3,3,1,48,58,1.2,0,21,41,2.0,0,20,11,17,0,2,0.8,1.5,55.0,20.83,12,1,8.3,1,0,0.0,0,0,0,0,4,40,1,1,7,41,5,7,9,460,51.1,3,0,-3,0,0,0,0,27,36,25,36:25,17,7,9,1,71,326,4.6,3,40,113,2.8,1,30,19,213,2,0,7.1,11.2,63.3,106.67,17,6,35.3,2,1,50.0,4,3,0,0,6,65,0,0,1,6,10,10,7,410,58.6,0,3,3,0.0,0,75.0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,2,47,35,1,6,1,0,0,38,12,7,41,8,1,1,Sunday,993004029,1,8,18374
202310902,2023-11-05T13:00:00,1,2023,9,ATL,MIN,HOME,28,31,59,Mercedes-Benz Stadium,0,0,0,0,28,28,28,28:28,18,6,12,0,67,370,5.5,2,28,110,3.9,1,38,21,260,1,1,6.8,12.4,55.3,74.45,18,10,55.6,0,0,0.0,2,1,0,0,8,62,1,1,1,8,4,9,4,175,43.8,2,2,0,0,0,0,0,31,31,32,31:32,23,8,13,2,73,363,5.0,3,33,146,4.4,1,36,25,217,2,0,6.0,8.7,69.4,103.59,16,7,43.8,1,1,100.0,6,3,0,0,1,4,3,2,4,19,3,6,3,133,44.3,2,2,0,50.0,0,50.0,0,2,2,0,0,0,0,0,4,4,2,2,0,2,1,0,0,3,3,50,31,4,19,6,2,2,43,24,1,8,4,1,1,Sunday,993004026,2,20,18373
202310903,2023-11-05T13:00:00,1,2023,9,BAL,SEA,HOME,37,3,40,M&T Bank Stadium,0,0,0,0,37,40,4,40:04,29,16,11,2,75,515,6.9,4,41,298,7.3,3,33,26,217,1,0,6.6,8.3,78.8,104.17,13,6,46.2,2,1,50.0,6,3,0,0,3,11,3,2,1,8,4,5,2,113,56.5,2,2,0,0,0,0,0,3,19,56,19:56,6,1,5,0,47,151,3.2,0,15,28,1.9,0,28,13,123,0,1,4.4,9.5,46.4,44.2,12,1,8.3,1,0,0.0,1,0,0,0,5,29,1,1,4,34,0,4,7,320,45.7,2,2,0,50.0,0,0.0,0,4,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,1,29,8,4,34,7,1,1,53,23,1,8,2,2,2,Sunday,993004032,3,30,18378
202310907,2023-11-05T20:20:00,1,2023,9,BUF,CIN,AWAY,18,24,42,Paycor Stadium,0,0,0,0,18,23,22,23:22,21,9,11,1,55,317,5.8,2,16,68,4.2,1,38,26,249,1,1,6.6,9.6,68.4,84.21,12,7,58.3,0,0,0.0,3,2,0,0,5,49,1,1,1,9,7,4,3,127,42.3,2,0,-2,0,0,0,0,24,36,38,36:38,23,5,17,1,67,397,5.9,3,22,54,2.5,1,44,31,343,2,0,7.8,11.1,70.5,108.43,15,8,53.3,2,1,50.0,3,2,0,0,6,49,0,0,1,5,5,2,3,118,39.3,0,2,2,66.7,0,66.7,0,1,1,0,2,1,0,0,1,1,3,3,0,0,0,0,0,1,1,42,17,1,5,7,0,0,34,17,1,9,2,1,1,Sunday,993004045,4,7,18383
202310905,2023-11-05T16:05:00,1,2023,9,CAR,IND,HOME,13,27,40,Bank of America Stadium,0,0,0,0,13,31,9,31:09,17,10,7,0,71,275,3.9,1,28,138,4.9,0,39,24,137,1,3,3.5,5.7,61.5,44.5,16,7,43.8,3,2,66.7,2,1,0,0,10,81,1,0,4,36,4,4,4,174,43.5,3,1,-2,0,0,0,0,27,28,51,28:51,17,5,7,5,57,198,3.5,3,30,78,2.6,0,26,17,120,1,0,4.6,7.1,65.4,88.62,13,4,30.8,0,0,0.0,2,1,0,0,5,25,1,1,1,7,7,4,5,241,48.2,1,3,2,50.0,0,50.0,0,1,1,0,0,0,0,0,2,2,3,3,0,0,0,0,0,2,2,33,33,1,7,3,0,1,51,14,4,36,8,1,0,Sunday,993004040,5,14,18380
202310922,2023-11-05T13:00:00,1,2023,9,CHI,NO,AWAY,17,24,41,Caesars Superdome,0,0,0,0,17,30,40,30:40,20,7,13,0,64,368,5.8,2,32,156,4.9,0,30,18,212,2,3,7.1,11.8,60.0,64.17,12,6,50.0,1,1,100.0,4,2,0,0,8,71,3,2,2,8,2,2,2,95,47.5,5,0,-5,0,0,0,0,24,29,20,29:20,18,6,11,1,62,301,4.9,3,27,87,3.2,0,35,26,214,3,0,6.1,8.2,74.3,118.04,14,7,50.0,1,0,0.0,5,3,0,0,1,5,0,0,0,0,4,3,4,164,41.0,0,5,5,50.0,0,60.0,0,2,2,0,0,0,0,0,2,1,3,3,0,0,0,0,0,2,1,41,34,0,0,2,0,0,44,20,2,8,7,2,2,Sunday,993004035,6,22,18377
202310907,2023-11-05T20:20:00,1,2023,9,CIN,BUF,HOME,24,18,42,Paycor Stadium,0,0,0,0,24,36,38,36:38,23,5,17,1,67,397,5.9,3,22,54,2.5,1,44,31,343,2,0,7.8,11.1,70.5,108.43,15,8,53.3,2,1,50.0,3,2,0,0,6,49,0,0,1,5,5,2,3,118,39.3,0,2,2,0,0,0,0,18,23,22,23:22,21,9,11,1,55,317,5.8,2,16,68,4.2,1,38,26,249,1,1,6.6,9.6,68.4,84.21,12,7,58.3,0,0,0.0,3,2,0,0,5,49,1,1,1,9,7,4,3,127,42.3,2,0,-2,66.7,0,66.7,0,3,3,0,0,0,0,0,1,1,1,1,0,2,1,0,0,1,1,34,17,1,9,2,1,1,42,17,1,5,7,0,0,Sunday,993004046,7,4,18383
202310908,2023-11-05T13:00:00,1,2023,9,CLE,ARI,HOME,27,0,27,Cleveland Browns Stadium,0,0,0,0,27,36,25,36:25,17,7,9,1,71,326,4.6,3,40,113,2.8,1,30,19,213,2,0,7.1,11.2,63.3,106.67,17,6,35.3,2,1,50.0,4,3,0,0,6,65,0,0,1,6,10,10,7,410,58.6,0,3,3,0,0,0,0,0,23,35,23:35,7,3,3,1,48,58,1.2,0,21,41,2.0,0,20,11,17,0,2,0.8,1.5,55.0,20.83,12,1,8.3,1,0,0.0,0,0,0,0,4,40,1,1,7,41,5,7,9,460,51.1,3,0,-3,75.0,0,0.0,0,3,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,38,12,7,41,8,1,1,47,35,1,6,1,0,0,Sunday,993004030,8,1,18374
202310926,2023-11-05T16:25:00,1,2023,9,DAL,PHI,AWAY,23,28,51,Lincoln Financial Field,0,0,0,0,23,29,42,29:42,27,3,19,5,70,406,5.8,3,21,73,3.5,0,44,29,333,3,0,7.6,11.5,65.9,111.27,15,6,40.0,5,3,60.0,5,3,0,0,10,83,2,1,5,41,4,2,2,82,41.0,1,0,-1,0,0,0,0,28,30,18,30:18,20,7,10,3,59,292,4.9,4,33,109,3.3,2,23,17,183,2,0,8.0,10.8,73.9,125.82,14,7,50.0,2,2,100.0,3,3,0,0,10,98,3,0,3,24,10,4,5,259,51.8,0,1,1,60.0,0,100.0,0,2,2,0,1,0,0,0,1,1,4,4,0,0,0,0,0,0,0,36,25,3,24,1,2,0,42,24,5,41,6,1,1,Sunday,993004041,9,26,18382
202310912,2023-11-05T13:00:00,1,2023,9,GB,LAR,HOME,20,3,23,Lambeau Field,0,0,0,0,20,35,16,35:16,21,10,10,1,68,391,5.8,2,38,184,4.8,1,26,20,207,1,0,8.0,10.4,76.9,112.18,14,7,50.0,1,1,100.0,4,1,0,0,8,57,3,2,4,21,4,5,4,174,43.5,2,2,0,0,0,0,0,3,24,44,24:44,10,3,6,1,55,187,3.4,0,26,68,2.6,0,28,13,119,0,1,4.2,9.2,46.4,43.6,14,5,35.7,2,0,0.0,0,0,0,0,5,36,1,1,1,11,5,3,5,224,44.8,2,2,0,25.0,0,0.0,0,2,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,2,1,39,13,1,11,10,1,1,46,38,4,21,1,2,2,Sunday,993004038,12,32,18375
