gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202210105,2022-09-11T13:00:00,1,2022,1,CLE,CAR,AWAY,26,24,50,Bank of America Stadium,0,17,3,6,0,38,26,38:26,23,11,7,5,74,355,4.8,2,39,217,5.6,1,34,18,138,1,0,4.1,7.7,52.9,72.92,18,8,44.4,2,1,50.0,4,1,0,0,9,71,1,0,1,9,6,5,4,187,46.8,0,1,1,0,7,0,17,0,21,34,21:34,15,5,7,3,50,261,5.2,3,19,54,2.8,2,27,16,207,1,1,7.7,12.9,59.3,80.32,11,4,36.4,0,0,0.0,3,2,0,0,8,96,5,0,4,28,5,4,5,250,50.0,1,0,-1,25.0,0,66.7,0,2,2,0,0,0,0,0,4,4,3,3,0,0,0,0,0,1,1,26,18,4,28,7,1,1,39,36,1,9,4,0,0,Sunday,993003123,8,5,18014,2,1,1,0.4444444444444444,0
202210208,2022-09-18T13:00:00,1,2022,2,CLE,NYJ,HOME,30,31,61,FirstEnergy Stadium,7,7,3,13,0,32,14,32:14,29,12,15,2,65,405,6.2,4,37,184,5.0,3,27,22,221,1,1,8.2,10.0,81.5,97.69,12,8,66.7,0,0,0.0,5,4,0,0,5,38,0,0,1,8,5,5,3,156,52.0,1,1,0,0,14,0,17,0,27,46,27:46,20,3,16,1,67,402,6.0,4,20,93,4.6,0,45,27,309,4,0,6.9,11.4,60.0,110.32,15,8,53.3,1,1,100.0,4,3,0,0,8,57,2,1,2,15,5,4,4,189,47.2,1,1,0,80.0,0,75.0,0,4,3,0,0,0,0,0,1,1,4,4,0,0,0,0,0,1,1,39,7,2,15,5,2,1,44,27,1,8,3,0,0,Sunday,993003150,8,24,18022,-1,0,0,0.6666666666666666,0
202210308,2022-09-22T20:15:00,1,2022,3,CLE,PIT,HOME,29,17,46,FirstEnergy Stadium,7,6,3,13,0,36,9,36:09,22,10,12,0,71,376,5.3,4,38,171,4.5,1,31,21,205,2,0,6.6,9.8,67.7,107.59,16,6,37.5,4,3,75.0,4,3,0,0,5,24,0,0,2,15,2,3,5,203,40.6,0,1,1,0,14,0,3,0,23,51,23:51,20,9,10,1,55,308,5.6,2,22,104,4.7,2,32,20,204,0,0,6.4,10.2,62.5,80.73,9,1,11.1,0,0,0.0,3,2,0,0,5,25,2,1,1,3,4,3,5,212,42.4,1,0,-1,75.0,0,66.7,0,3,2,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,1,35,16,1,3,4,1,1,48,27,2,15,4,0,0,Thursday,993003174,8,28,18049,12,1,1,0.375,0
202210402,2022-10-02T13:00:00,1,2022,4,CLE,ATL,AWAY,20,23,43,Mercedes-Benz Stadium,0,10,3,7,0,35,44,35:44,22,13,9,0,71,403,5.7,2,35,177,5.1,2,35,21,226,0,1,6.5,10.8,60.0,67.08,14,5,35.7,3,2,66.7,3,1,0,0,7,51,1,1,1,8,5,5,3,144,48.0,2,1,-1,10,0,0,13,0,24,16,24:16,19,11,6,2,55,333,6.1,2,35,202,5.8,2,19,7,131,0,1,6.9,18.7,36.8,39.58,9,3,33.3,0,0,0.0,4,2,0,0,1,15,1,0,1,8,7,3,3,153,51.0,1,2,1,33.3,0,50.0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,3,34,12,1,8,5,0,0,42,30,1,8,4,1,1,Sunday,993003225,8,2,18262,-3,0,-1,0.3571428571428571,0
202210508,2022-10-09T13:00:00,1,2022,5,CLE,LAC,HOME,28,30,58,FirstEnergy Stadium,14,7,7,0,0,30,2,30:02,27,11,15,1,65,443,6.8,4,31,213,6.9,3,34,21,230,1,1,6.8,11.0,61.8,79.29,10,4,40.0,1,0,0.0,4,3,0,0,6,65,0,0,0,0,2,2,2,119,59.5,1,0,-1,3,14,10,3,0,29,58,29:58,26,9,13,4,69,465,6.7,3,34,238,7.0,2,34,22,227,1,0,6.7,10.3,64.7,93.63,10,3,30.0,2,0,0.0,5,2,0,0,4,17,0,0,1,1,3,3,1,37,37.0,0,1,1,75.0,0,40.0,0,4,4,0,0,0,0,0,2,0,3,3,0,0,0,0,0,3,3,46,21,1,1,4,0,0,42,21,0,0,2,0,0,Sunday,993003242,8,29,18166,-2,0,-1,0.4,0
202210608,2022-10-16T13:00:00,1,2022,6,CLE,NE,HOME,15,38,53,FirstEnergy Stadium,3,3,0,9,0,24,55,24:55,16,2,12,2,67,328,4.9,1,18,70,3.9,0,45,21,258,1,2,5.7,12.3,46.7,53.75,15,4,26.7,5,3,60.0,2,1,0,0,7,63,3,2,4,8,2,5,3,133,44.3,4,1,-3,3,7,14,14,0,35,5,35:05,20,3,14,3,65,399,6.1,5,29,98,3.4,3,34,24,301,2,0,8.9,12.5,70.6,117.4,14,7,50.0,0,0,0.0,5,3,0,0,12,92,1,1,2,8,9,2,4,164,41.0,1,4,3,50.0,0,60.0,0,0,0,0,2,0,0,0,3,3,5,5,0,0,0,0,0,2,1,39,26,2,8,3,1,1,36,15,4,8,8,1,2,Sunday,993003282,8,21,18181,-23,0,-3,0.2666666666666666,0
202210703,2022-10-23T13:00:00,1,2022,7,CLE,BAL,AWAY,20,23,43,M&T Bank Stadium,10,0,3,7,0,25,56,25:56,18,8,8,2,56,336,6.0,2,24,113,4.7,2,27,22,223,0,0,8.3,10.1,81.5,101.08,11,2,18.2,1,1,100.0,4,2,0,0,6,45,3,2,5,35,5,8,3,173,57.7,2,1,-1,3,10,7,3,0,34,4,34:04,17,11,5,1,63,254,4.0,2,44,160,3.6,2,16,9,94,0,0,5.9,10.4,56.2,73.44,15,7,46.7,2,2,100.0,4,2,0,0,3,53,1,1,3,26,5,5,3,181,60.3,1,2,1,50.0,0,50.0,0,2,2,0,0,0,0,0,3,2,2,2,0,0,0,0,0,3,3,47,17,3,26,4,1,1,40,23,5,35,1,3,2,Sunday,993003305,8,3,18042,-3,0,-1,0.1818181818181818,0
202210808,2022-10-31T20:15:00,1,2022,8,CLE,CIN,HOME,32,13,45,FirstEnergy Stadium,0,11,14,7,0,36,45,36:45,24,12,12,0,69,440,6.4,4,44,172,3.9,3,23,17,268,1,1,11.7,15.8,73.9,108.61,13,8,61.5,0,0,0.0,5,4,0,0,6,56,1,1,2,10,7,4,2,67,33.5,2,2,0,0,0,0,13,0,23,15,23:15,15,3,9,3,50,229,4.6,2,10,36,3.6,0,35,25,193,2,1,5.5,7.7,71.4,91.73,10,4,40.0,1,0,0.0,1,1,0,0,2,6,1,1,5,39,7,3,4,147,36.8,2,2,0,80.0,0,100.0,0,3,3,0,0,0,1,1,2,1,2,1,0,0,0,0,0,1,0,29,23,5,39,6,1,1,45,35,2,10,1,1,1,Monday,993003354,8,7,18132,19,1,0,0.6153846153846154,0
202211019,2022-11-13T13:00:00,1,2022,10,CLE,MIA,AWAY,17,39,56,Hard Rock Stadium,7,0,3,7,0,26,46,26:46,20,7,10,3,62,297,4.8,2,24,112,4.7,1,35,22,185,1,0,5.3,8.4,62.9,86.01,12,5,41.7,5,2,40.0,2,1,0,0,6,52,2,1,3,27,2,2,1,41,41.0,1,0,-1,7,10,13,9,0,33,14,33:14,29,11,17,1,67,491,7.3,5,33,195,5.9,2,33,26,296,3,0,9.0,11.4,78.8,134.34,11,6,54.5,2,1,50.0,5,3,0,0,5,43,1,0,1,6,14,3,0,0,0.0,0,1,1,50.0,0,60.0,0,2,2,0,0,0,0,0,1,1,5,3,0,0,0,0,0,2,2,43,23,1,6,3,0,0,35,28,3,27,8,1,1,Sunday,993003391,8,19,18068,-22,0,-1,0.4166666666666667,0
202211104,2022-11-20T13:00:00,1,2022,11,CLE,BUF,AWAY,23,31,54,Ford Field,7,3,0,13,0,31,22,31:22,27,5,19,3,68,396,5.8,3,26,80,3.1,0,41,28,316,3,0,7.7,11.3,68.3,115.5,11,4,36.4,2,1,50.0,4,2,0,0,6,42,1,1,1,8,4,5,3,127,42.3,1,0,-1,3,10,9,9,0,28,38,28:38,22,12,9,1,62,357,5.8,2,33,171,5.2,1,27,18,186,1,0,6.9,10.3,66.7,98.69,11,3,27.3,0,0,0.0,5,2,0,0,8,89,0,0,2,11,5,8,2,99,49.5,0,1,1,50.0,0,40.0,0,2,2,0,2,0,0,0,2,1,1,1,0,1,0,0,0,6,6,42,27,2,11,0,0,0,42,27,1,8,5,0,1,Sunday,993003421,8,4,18077,-8,0,-1,0.3636363636363636,0
202211208,2022-11-27T13:00:00,1,2022,12,CLE,TB,HOME,23,17,40,FirstEnergy Stadium,10,0,0,7,6,39,4,39:04,22,10,10,2,75,367,4.9,3,34,189,5.6,2,37,23,178,1,1,4.8,7.7,62.2,71.68,17,5,29.4,4,2,50.0,3,2,0,0,5,42,0,0,4,32,6,5,6,329,54.8,1,0,-1,7,3,7,0,0,30,37,30:37,16,5,9,2,66,325,4.9,2,20,96,4.8,0,43,29,229,2,0,5.3,7.9,67.4,95.98,15,4,26.7,1,1,100.0,2,2,0,0,9,70,0,0,3,17,11,7,9,425,47.2,0,1,1,66.7,0,100.0,0,2,2,0,0,0,0,0,2,1,2,2,0,0,0,0,0,1,1,39,25,3,17,7,0,0,52,27,4,32,4,0,0,Sunday,993003452,8,33,18091,6,1,-1,0.2941176470588235,0
202211313,2022-12-04T13:00:00,1,2022,13,CLE,HOU,AWAY,27,14,41,NRG Stadium,0,7,7,13,0,32,16,32:16,14,7,6,1,61,304,5.0,3,38,174,4.6,0,22,12,130,0,1,5.9,10.8,54.5,53.22,13,4,30.8,0,0,0.0,1,0,0,0,6,56,2,1,1,1,2,2,6,311,51.8,2,4,2,3,2,3,6,0,27,44,27:44,16,4,10,2,61,283,4.6,1,22,82,3.7,0,39,20,201,1,2,5.2,10.0,51.3,53.47,12,1,8.3,2,1,50.0,4,1,0,0,5,31,3,2,0,0,2,5,7,354,50.6,4,2,-2,0.0,0,25.0,0,3,3,0,0,0,0,0,2,2,0,0,0,2,0,0,0,2,2,30,34,0,0,7,2,2,39,31,1,1,3,2,1,Sunday,993003477,8,13,18112,13,1,2,0.3076923076923077,0
202211407,2022-12-11T13:00:00,1,2022,14,CLE,CIN,AWAY,10,23,33,Paycor Stadium,0,3,7,0,0,31,52,31:52,18,6,12,0,70,344,4.9,1,25,71,2.8,0,43,26,273,1,1,6.3,10.5,60.5,76.99,15,4,26.7,6,3,50.0,3,1,0,0,9,98,0,0,2,3,4,3,4,220,55.0,1,1,0,0,13,7,3,0,28,8,28:08,23,8,11,4,61,363,6.0,3,26,136,5.2,1,33,18,227,2,1,6.9,12.6,54.5,83.78,15,6,40.0,0,0,0.0,3,2,0,0,4,36,0,0,2,12,9,3,5,205,41.0,1,1,0,33.3,0,66.7,0,1,1,0,0,0,0,0,1,1,3,2,0,0,0,0,0,1,1,32,20,2,12,8,0,0,51,14,2,3,7,0,0,Sunday,993003501,8,7,18195,-13,0,0,0.2666666666666666,0
202211508,2022-12-17T16:30:00,1,2022,15,CLE,BAL,HOME,13,3,16,FirstEnergy Stadium,0,6,7,0,0,33,8,33:08,19,8,10,1,64,283,4.4,1,33,143,4.3,0,28,18,140,1,0,5.0,7.8,64.3,88.39,15,5,33.3,2,2,100.0,4,1,0,0,3,32,0,0,3,21,6,5,3,155,51.7,0,2,2,0,3,0,0,0,26,52,26:52,17,10,6,1,61,324,5.3,0,28,198,7.1,0,30,17,126,0,1,4.2,7.4,56.7,52.92,12,5,41.7,3,0,0.0,2,0,0,0,3,25,4,1,3,12,5,5,1,41,41.0,2,0,-2,25.0,0,0.0,0,1,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,3,1,40,18,3,12,6,1,1,43,25,3,21,2,0,0,Saturday,993003530,8,3,18208,10,1,2,0.3333333333333333,0
202211608,2022-12-24T13:00:00,1,2022,16,CLE,NO,HOME,10,17,27,FirstEnergy Stadium,0,10,0,0,0,30,46,30:46,15,7,7,1,67,249,3.7,1,34,124,3.6,1,31,15,125,0,1,4.0,8.3,48.4,45.77,16,7,43.8,3,1,33.3,3,1,0,0,4,45,0,0,2,10,0,1,5,213,42.6,1,1,0,0,3,14,0,0,29,14,29:14,14,8,5,1,54,244,4.5,2,39,152,3.9,2,15,8,92,0,1,6.1,11.5,53.3,44.31,15,7,46.7,0,0,0.0,3,2,0,0,2,15,2,0,0,0,4,6,6,254,42.3,1,1,0,33.3,0,66.7,0,1,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,1,1,38,22,0,0,4,0,0,39,33,2,10,3,0,0,Saturday,993003570,8,22,18148,-7,0,0,0.4375,0
202211735,2023-01-01T13:00:00,1,2022,17,CLE,WAS,AWAY,24,10,34,FedEx Field,3,0,14,7,0,26,28,26:28,16,8,7,1,53,301,5.7,3,30,146,4.9,0,18,9,155,3,0,8.6,17.2,50.0,119.21,11,4,36.4,2,1,50.0,3,1,0,0,3,20,0,0,5,14,6,6,4,187,46.8,0,3,3,0,7,0,3,0,33,32,33:32,17,7,9,1,68,260,3.8,1,37,136,3.7,1,28,16,124,0,3,4.4,7.8,57.1,28.57,16,7,43.8,4,2,50.0,1,1,0,0,5,24,0,0,3,19,5,7,2,90,45.0,3,0,-3,33.3,0,100.0,0,3,3,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,44,34,3,19,5,0,0,30,26,5,14,2,0,0,Sunday,993003595,8,35,18230,14,1,3,0.3636363636363636,0
202211828,2023-01-08T13:00:00,1,2022,18,CLE,PIT,AWAY,14,28,42,Acrisure Stadium,0,7,0,7,0,29,4,29:04,18,5,11,2,58,307,5.3,2,22,134,6.1,0,29,19,173,2,2,6.0,9.1,65.5,75.79,12,5,41.7,2,1,50.0,2,2,0,0,9,65,1,0,7,57,2,3,4,194,48.5,2,1,-1,0,10,10,8,0,30,56,30:56,23,10,10,3,67,333,5.0,3,37,144,3.9,2,29,13,189,1,0,6.5,14.5,44.8,78.09,15,9,60.0,0,0,0.0,4,2,0,0,4,20,3,1,1,6,10,6,3,144,48.0,1,2,1,100.0,0,50.0,0,2,2,0,0,0,0,0,0,0,2,2,0,2,1,0,0,2,2,35,33,1,6,7,1,1,34,35,7,57,6,0,0,Sunday,993003627,8,28,18256,-14,0,-1,0.4166666666666667,0
