gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202210113,2022-09-11T13:00:00,1,2022,1,HOU,IND,HOME,20,20,40,NRG Stadium,0,10,10,0,0,30,23,30:23,20,4,12,4,68,299,4.4,2,28,77,2.8,0,37,23,222,2,0,6.0,9.7,62.2,96.9,15,5,33.3,0,0,0.0,1,1,0,0,6,40,1,1,3,18,7,6,7,318,45.4,1,2,1,3,0,0,17,0,39,37,39:37,33,11,20,2,90,517,5.7,2,38,177,4.7,1,50,32,340,1,1,6.8,10.6,64.0,82.08,15,6,40.0,1,0,0.0,5,2,0,0,7,89,5,1,2,12,5,5,4,179,44.8,2,1,-1,100.0,0,40.0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,2,53,37,2,12,11,2,1,48,11,3,18,2,1,2,Sunday,993003120,13,14,18015,0,0,1,0.3333333333333333,0
202210210,2022-09-18T16:25:00,1,2022,2,HOU,DEN,AWAY,9,16,25,Empower Field at Mile High,3,3,3,0,0,27,27,27:27,15,7,6,2,59,234,4.0,0,18,80,4.4,0,38,19,154,0,0,4.1,8.1,50.0,60.64,13,2,15.4,3,1,33.3,1,0,0,0,8,94,2,0,3,23,7,5,5,268,53.6,0,1,1,3,3,0,10,0,32,33,32:33,20,5,11,4,65,350,5.4,1,31,149,4.8,0,31,14,201,1,1,6.5,14.4,45.2,64.05,12,3,25.0,1,1,100.0,2,0,0,0,13,100,0,0,3,18,6,4,5,214,42.8,1,0,-1,0.0,0,0.0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,3,3,40,19,3,18,6,0,0,33,16,3,23,4,2,0,Sunday,993003165,13,10,18029,-7,0,1,0.1538461538461538,0
202210306,2022-09-25T13:00:00,1,2022,3,HOU,CHI,AWAY,20,23,43,Soldier Field,7,7,6,0,0,28,38,28:38,17,6,9,2,57,329,5.8,2,24,92,3.8,1,32,20,237,1,2,7.4,11.8,62.5,69.4,12,3,25.0,1,1,100.0,4,2,0,0,3,25,3,0,1,8,9,6,5,242,48.4,2,2,0,10,3,7,3,0,31,22,31:22,17,12,5,0,62,363,5.9,2,40,281,7.0,2,17,8,82,0,2,4.8,10.2,47.1,21.81,14,6,42.9,0,0,0.0,3,2,0,0,6,32,2,0,5,24,3,5,4,182,45.5,2,2,0,50.0,0,66.7,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,3,3,41,21,5,24,3,0,1,31,33,1,8,6,3,0,Sunday,993003179,13,6,18050,-3,0,0,0.25,0
202210413,2022-10-02T13:00:00,1,2022,4,HOU,LAC,HOME,24,34,58,NRG Stadium,0,7,7,10,0,28,21,28:21,16,2,11,3,53,346,6.5,3,14,131,9.4,1,35,26,215,2,2,6.1,8.3,74.3,84.82,12,4,33.3,2,0,0.0,3,2,0,0,9,67,1,0,4,31,2,6,3,156,52.0,2,1,-1,7,20,0,7,0,31,39,31:39,22,5,15,2,67,419,6.3,4,27,81,3.0,2,39,27,338,2,0,8.7,12.5,69.2,112.98,16,8,50.0,2,1,50.0,5,3,0,0,6,61,2,1,1,2,10,6,4,185,46.2,1,2,1,66.7,0,60.0,0,3,3,0,0,0,0,0,2,1,4,4,0,0,0,0,0,2,2,40,24,1,2,2,1,1,34,20,4,31,5,1,0,Sunday,993003222,13,29,18270,-10,0,-1,0.3333333333333333,0
202210515,2022-10-09T13:00:00,1,2022,5,HOU,JAX,AWAY,13,6,19,TIAA Bank Field,0,6,0,7,0,31,47,31:47,15,7,6,2,56,248,4.4,1,31,116,3.7,1,24,16,132,0,0,5.5,8.2,66.7,80.56,13,5,38.5,0,0,0.0,1,1,0,0,4,25,0,0,1,8,1,3,6,293,48.8,0,2,2,3,3,0,0,0,28,13,28:13,22,6,15,1,73,422,5.8,0,26,136,5.2,0,47,25,286,0,2,6.1,11.4,53.2,54.03,14,6,42.9,3,0,0.0,3,0,0,0,6,48,0,0,0,0,5,4,3,159,53.0,2,0,-2,100.0,0,0.0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,45,16,0,0,8,0,0,40,21,1,8,2,0,0,Sunday,993003243,13,15,18173,7,1,2,0.3846153846153846,0
202210725,2022-10-23T16:05:00,1,2022,7,HOU,LV,AWAY,20,38,58,Allegiant Stadium,0,10,10,0,0,29,17,29:17,21,9,12,0,65,404,6.2,2,23,108,4.7,0,41,28,296,2,1,7.2,10.6,68.3,95.17,15,9,60.0,2,1,50.0,3,1,0,0,3,14,0,0,1,6,3,4,1,55,55.0,1,0,-1,3,7,7,21,0,30,43,30:43,25,11,13,1,55,400,7.3,5,27,164,6.1,3,27,21,236,1,0,8.7,11.2,77.8,115.43,9,4,44.4,1,1,100.0,3,3,0,0,5,44,2,0,1,5,9,3,2,93,46.5,0,1,1,33.3,0,100.0,0,2,2,0,0,0,0,0,3,2,5,5,0,0,0,0,0,1,1,41,7,1,5,1,0,0,40,28,1,6,3,0,0,Sunday,993003315,13,25,18044,-18,0,-1,0.6,0
202210813,2022-10-30T16:05:00,1,2022,8,HOU,TEN,HOME,10,17,27,NRG Stadium,0,3,0,7,0,25,12,25:12,10,4,5,1,51,161,3.2,1,18,43,2.4,0,30,17,118,1,1,3.9,6.9,56.7,62.92,14,2,14.3,2,2,100.0,2,1,0,0,6,45,0,0,3,34,4,5,8,374,46.8,1,2,1,0,7,7,3,0,34,48,34:48,16,13,3,0,58,354,6.1,2,45,314,7.0,2,10,6,40,0,1,4.0,6.7,60.0,29.17,12,4,33.3,1,1,100.0,2,1,0,0,6,35,1,1,3,15,6,8,5,242,48.4,2,1,-1,50.0,0,50.0,0,1,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,1,45,22,3,15,1,1,1,36,13,3,34,2,0,0,Sunday,993003344,13,34,18127,-7,0,1,0.1428571428571428,0
202210913,2022-11-03T20:15:00,1,2022,9,HOU,PHI,HOME,17,29,46,NRG Stadium,7,7,3,0,0,31,47,31:47,20,10,8,2,57,303,5.3,2,32,168,5.2,0,22,13,135,2,2,6.1,10.4,59.1,69.32,9,2,22.2,0,0,0.0,4,2,0,0,4,28,0,0,3,19,5,7,4,208,52.0,2,1,-1,7,7,7,8,0,28,13,28:13,24,9,14,1,62,360,5.8,4,31,143,4.6,2,27,21,217,2,0,8.0,10.3,77.8,124.85,10,5,50.0,2,2,100.0,4,4,0,0,4,31,2,1,4,26,4,7,3,149,49.7,1,2,1,50.0,0,100.0,0,2,2,0,0,0,0,0,1,1,3,3,0,0,0,1,1,1,0,48,17,4,26,1,2,1,40,22,3,19,3,0,0,Thursday,993003356,13,26,18133,-12,0,-1,0.2222222222222222,0
202211023,2022-11-13T13:00:00,1,2022,10,HOU,NYG,AWAY,16,24,40,MetLife Stadium,0,3,7,6,0,26,40,26:40,22,6,15,1,60,387,6.4,1,19,101,5.3,0,37,22,286,1,1,7.7,13.0,59.5,81.59,10,3,30.0,0,0,0.0,6,1,0,0,7,40,2,1,4,33,6,7,5,229,45.8,2,0,-2,7,0,14,3,0,33,20,33:20,19,10,8,1,67,367,5.5,3,47,191,4.1,1,17,13,176,2,0,10.4,13.5,76.5,148.16,14,7,50.0,0,0,0.0,2,2,0,0,5,24,0,0,3,21,12,5,6,242,40.3,0,2,2,16.7,0,100.0,0,1,1,0,0,0,0,0,3,3,3,3,0,0,0,0,0,1,1,51,33,3,21,1,0,0,35,24,4,33,6,1,1,Sunday,993003393,13,23,18069,-8,0,-2,0.3,0
202211113,2022-11-20T13:00:00,1,2022,11,HOU,WAS,HOME,10,23,33,NRG Stadium,0,0,3,7,0,25,4,25:04,11,4,6,1,54,148,2.7,1,16,21,1.3,1,33,19,127,0,2,3.8,6.7,57.6,40.85,13,2,15.4,4,4,100.0,2,1,0,0,2,15,0,0,5,42,6,4,6,286,47.7,2,0,-2,7,13,0,3,0,34,56,34:56,20,9,10,1,67,344,5.1,2,40,153,3.8,1,27,15,191,0,0,7.1,12.7,55.6,77.85,13,3,23.1,2,2,100.0,4,1,0,0,5,36,1,0,0,0,9,9,5,221,44.2,0,2,2,50.0,0,25.0,0,1,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0,3,3,40,33,0,0,0,0,0,32,15,5,42,4,0,0,Sunday,993003416,13,35,18083,-13,0,-2,0.1538461538461538,0
