gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202310106,2023-09-10T16:25:00,1,2023,1,CHI,GB,HOME,20,38,58,Soldier Field,3,3,8,6,0,30,43,30:43,22,8,12,2,70,311,4.4,2,29,122,4.2,1,37,24,189,1,1,5.1,7.9,64.9,75.17,13,3,23.1,2,1,50.0,2,1,0,0,7,61,1,1,4,27,3,6,4,212,53.0,2,0,-2,7,3,14,14,0,29,17,29:17,15,5,10,0,60,329,5.5,5,32,92,2.9,1,27,15,237,3,0,8.8,15.8,55.6,121.99,16,9,56.2,2,1,50.0,3,3,0,0,9,90,2,0,1,8,6,7,5,249,49.8,0,2,2,50.0,0,100.0,0,0,0,0,2,0,1,1,2,2,5,5,0,0,0,0,0,1,1,36,23,1,8,4,0,0,46,26,4,27,6,1,1,Sunday,993003800,6,12,18494,-18,0,-2,0.2307692307692307,0
202310233,2023-09-17T13:00:00,1,2023,2,CHI,TB,AWAY,17,27,44,Raymond James Stadium,7,3,0,7,0,24,4,24:04,14,5,9,0,51,236,4.6,2,16,67,4.2,1,29,16,169,1,2,5.8,10.6,55.2,55.1,13,6,46.2,0,0,0.0,1,1,0,0,5,28,2,0,6,42,1,4,5,232,46.4,2,0,-2,3,10,7,7,0,35,56,35:56,19,8,10,1,68,437,6.4,3,34,120,3.5,1,34,26,317,1,0,9.3,12.2,76.5,114.46,15,8,53.3,1,1,100.0,4,1,0,0,7,54,2,0,0,0,10,5,4,211,52.8,0,2,2,100.0,0,25.0,0,2,2,0,0,0,0,0,1,1,3,3,0,0,0,0,0,3,2,45,34,0,0,2,2,0,29,16,6,42,7,1,0,Sunday,993003823,6,33,18562,-10,0,-2,0.4615384615384615,0
202310316,2023-09-24T16:25:00,1,2023,3,CHI,KC,AWAY,10,41,51,Arrowhead Stadium,0,0,0,10,0,23,47,23:47,11,6,5,0,51,203,4.0,1,26,116,4.5,0,22,11,87,1,1,4.0,7.9,50.0,56.44,12,4,33.3,2,1,50.0,2,1,0,0,6,32,1,1,3,12,5,6,5,229,45.8,2,2,0,7,27,7,0,0,36,13,36:13,31,12,16,3,75,456,6.1,5,37,153,4.1,2,38,27,303,3,2,8.0,11.2,71.1,98.9,14,10,71.4,0,0,0.0,5,5,0,0,3,15,0,0,0,0,5,3,1,55,55.0,2,2,0,50.0,0,100.0,0,1,1,0,0,0,0,0,1,1,5,5,0,0,0,0,0,2,2,47,36,0,0,4,0,0,32,20,3,12,3,1,1,Sunday,993003865,6,16,18465,-31,0,0,0.3333333333333333,0
202310406,2023-10-01T13:00:00,1,2023,4,CHI,DEN,HOME,28,31,59,Soldier Field,0,21,7,0,0,33,49,33:49,26,7,17,2,70,471,6.7,4,31,171,5.5,0,35,28,300,4,1,8.6,10.7,80.0,128.57,12,6,50.0,3,1,33.3,3,2,0,0,10,91,1,1,4,35,5,4,2,90,45.0,2,0,-2,7,0,7,17,0,26,11,26:11,17,6,9,2,48,311,6.5,4,19,97,5.1,0,28,21,214,3,0,7.6,10.2,75.0,132.14,11,6,54.5,0,0,0.0,3,3,0,0,7,39,1,0,1,9,10,3,4,163,40.8,0,2,2,66.7,0,100.0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,1,37,12,1,9,1,0,0,49,28,4,35,4,1,1,Sunday,993003882,6,10,18502,-3,0,-2,0.5,0
202310535,2023-10-05T20:15:00,1,2023,5,CHI,WAS,AWAY,40,20,60,FedEx Field,10,17,0,13,0,30,4,30:04,18,9,9,0,64,451,7.0,4,32,178,5.6,0,29,15,273,4,0,9.4,18.2,51.7,123.99,15,7,46.7,1,1,100.0,6,3,0,0,3,35,1,0,3,9,11,6,3,131,43.7,0,2,2,0,3,11,6,0,29,56,29:56,23,1,21,1,66,388,5.9,2,10,29,2.9,0,51,37,359,2,1,7.0,9.7,72.5,96.77,12,6,50.0,1,0,0.0,3,2,0,0,1,5,1,1,5,29,9,2,2,103,51.5,2,0,-2,50.0,0,66.7,0,4,4,0,0,0,0,0,4,4,0,0,0,1,0,1,1,3,2,35,38,5,29,5,1,1,34,27,3,9,4,1,0,Thursday,993003905,6,35,18346,20,1,2,0.4666666666666667,0
202310606,2023-10-15T13:00:00,1,2023,6,CHI,MIN,HOME,13,19,32,Soldier Field,0,6,0,7,0,35,11,35:11,18,9,8,1,65,275,4.2,1,36,162,4.5,1,24,16,113,0,2,4.7,7.1,66.7,42.53,14,6,42.9,1,0,0.0,2,1,0,0,5,29,2,1,5,28,4,5,4,176,44.0,3,1,-2,3,9,7,0,0,24,49,24:49,12,3,8,1,55,220,4.0,2,22,46,2.1,0,31,21,174,1,0,5.6,8.3,67.7,92.67,13,2,15.4,2,1,50.0,1,1,0,0,5,63,3,1,2,7,8,6,5,249,49.8,1,3,2,50.0,0,100.0,0,1,1,0,0,0,0,0,2,2,2,1,1,0,0,0,0,3,2,38,23,2,7,2,3,1,51,23,5,28,7,2,1,Sunday,993003942,6,20,18360,-6,0,-2,0.4285714285714285,0
202310706,2023-10-22T13:00:00,1,2023,7,CHI,LV,HOME,30,12,42,Soldier Field,7,7,7,9,0,34,6,34:06,23,13,10,0,69,323,4.7,4,38,173,4.6,2,29,21,150,1,0,5.2,7.1,72.4,95.47,13,8,61.5,1,0,0.0,3,3,0,0,9,110,1,0,2,12,3,2,3,120,40.0,0,3,3,0,3,0,9,0,25,54,25:54,20,1,16,3,60,235,3.9,1,14,39,2.8,0,45,27,196,1,3,4.4,7.3,60.0,49.86,9,2,22.2,2,2,100.0,2,1,0,0,2,15,0,0,1,8,3,3,2,82,41.0,3,0,-3,100.0,0,50.0,0,4,3,1,0,0,0,0,1,1,0,0,0,2,0,0,0,3,2,35,14,1,8,10,0,0,40,35,2,12,3,1,0,Sunday,993003970,6,25,18516,18,1,3,0.6153846153846154,0
202310829,2023-10-29T20:20:00,1,2023,8,CHI,LAC,AWAY,13,30,43,SoFi Stadium,0,7,0,6,0,28,32,28:32,17,7,10,0,63,295,4.7,2,25,73,2.9,2,37,25,222,0,2,6.0,8.9,67.6,60.87,14,6,42.9,4,1,25.0,2,2,0,0,7,53,1,0,1,10,2,6,3,126,42.0,2,1,-1,14,10,6,0,0,31,28,31:28,20,1,18,1,65,352,5.4,3,25,54,2.2,0,40,31,298,3,0,7.4,9.6,77.5,122.71,13,7,53.8,1,0,0.0,2,2,0,0,2,15,1,1,0,0,2,2,2,88,44.0,1,2,1,100.0,0,100.0,0,1,1,0,2,0,0,0,0,0,3,3,0,0,0,0,0,3,3,50,15,0,0,3,1,1,40,19,1,10,7,0,0,Sunday,993004017,6,29,18586,-17,0,-1,0.4285714285714285,0
202310922,2023-11-05T13:00:00,1,2023,9,CHI,NO,AWAY,17,24,41,Caesars Superdome,0,0,0,0,17,30,40,30:40,20,7,13,0,64,368,5.8,2,32,156,4.9,0,30,18,212,2,3,7.1,11.8,60.0,64.17,12,6,50.0,1,1,100.0,4,2,0,0,8,71,3,2,2,8,2,2,2,95,47.5,5,0,-5,0,0,0,0,24,29,20,29:20,18,6,11,1,62,301,4.9,3,27,87,3.2,0,35,26,214,3,0,6.1,8.2,74.3,118.04,14,7,50.0,1,0,0.0,5,3,0,0,1,5,0,0,0,0,4,3,4,164,41.0,0,5,5,50.0,0,60.0,0,2,2,0,0,0,0,0,2,1,3,3,0,0,0,0,0,2,1,41,34,0,0,2,0,0,44,20,2,8,7,2,2,Sunday,993004035,6,22,18377,-7,0,-5,0.5,0
202311006,2023-11-09T20:15:00,1,2023,10,CHI,CAR,HOME,16,13,29,Soldier Field,3,6,7,0,0,33,31,33:31,21,10,10,1,70,295,4.2,1,37,133,3.6,1,33,20,162,0,0,4.9,8.1,60.6,73.04,15,6,40.0,1,1,100.0,2,1,0,0,7,44,0,0,0,0,9,6,6,280,46.7,0,0,0,7,3,0,3,0,26,29,26:29,12,4,6,2,57,213,3.7,1,16,43,2.7,0,38,21,170,0,0,4.5,8.1,55.3,66.78,15,3,20.0,3,3,100.0,1,0,0,0,5,45,1,0,3,15,4,3,6,272,45.3,0,0,0,50.0,0,0.0,0,1,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,3,2,33,21,3,15,4,0,0,50,18,0,0,4,0,0,Thursday,993004050,6,5,18385,3,1,0,0.4,0
