gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202310116,2023-09-07T20:20:00,1,2023,1,KC,DET,HOME,20,21,41,Arrowhead Stadium,0,14,3,3,0,27,22,27:22,17,6,10,1,62,316,5.1,2,23,90,3.9,0,39,21,226,2,1,5.8,10.8,53.8,77.51,14,5,35.7,1,0,0.0,3,2,0,0,3,25,0,0,0,0,4,4,5,247,49.4,1,1,0,7,0,7,7,0,32,38,32:38,19,8,11,0,70,368,5.3,3,34,118,3.5,1,35,22,250,1,0,7.1,11.4,62.9,93.75,15,5,33.3,3,1,33.3,3,2,0,0,4,63,2,1,1,3,7,2,5,222,44.4,1,1,0,66.7,0,66.7,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,0,0,0,0,42,29,1,3,4,1,1,38,10,0,0,5,0,0,Thursday,993003778,16,11,18343,-1,0,0,0.3571428571428571,0
202310215,2023-09-17T13:00:00,1,2023,2,KC,JAX,AWAY,17,9,26,EverBank Stadium,0,7,7,3,0,31,49,31:49,19,7,12,0,64,399,6.2,2,22,101,4.6,0,41,29,298,2,1,7.3,10.3,70.7,97.41,13,4,30.8,2,2,100.0,4,2,0,0,12,94,4,2,1,7,7,4,4,193,48.2,3,1,-2,0,6,0,3,0,28,11,28:11,18,1,14,3,64,271,4.2,0,18,74,4.1,0,42,23,197,0,0,4.7,8.6,54.8,67.26,12,3,25.0,2,0,0.0,3,0,0,0,2,10,3,1,4,18,4,3,5,243,48.6,1,3,2,50.0,0,0.0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,33,24,4,18,6,1,1,38,28,1,7,8,2,2,Sunday,993003811,16,15,18563,8,1,-2,0.3076923076923077,0
202310316,2023-09-24T16:25:00,1,2023,3,KC,CHI,HOME,41,10,51,Arrowhead Stadium,7,27,7,0,0,36,13,36:13,31,12,16,3,75,456,6.1,5,37,153,4.1,2,38,27,303,3,2,8.0,11.2,71.1,98.9,14,10,71.4,0,0,0.0,5,5,0,0,3,15,0,0,0,0,5,3,1,55,55.0,2,2,0,0,0,0,10,0,23,47,23:47,11,6,5,0,51,203,4.0,1,26,116,4.5,0,22,11,87,1,1,4.0,7.9,50.0,56.44,12,4,33.3,2,1,50.0,2,1,0,0,6,32,1,1,3,12,5,6,5,229,45.8,2,2,0,100.0,0,50.0,0,5,5,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,1,32,20,3,12,3,1,1,47,36,0,0,4,0,0,Sunday,993003866,16,6,18465,31,1,0,0.7142857142857143,0
202310424,2023-10-01T20:20:00,1,2023,4,KC,NYJ,AWAY,23,20,43,MetLife Stadium,17,3,0,3,0,32,9,32:09,24,11,9,4,66,401,6.1,2,35,204,5.8,1,30,18,197,1,2,6.6,10.9,60.0,62.78,12,7,58.3,0,0,0.0,4,0,0,0,5,46,1,0,1,6,10,4,2,98,49.0,2,1,-1,0,12,8,0,0,27,51,27:51,18,5,12,1,57,336,5.9,2,16,108,6.8,0,39,28,228,2,0,5.8,8.1,71.8,103.37,12,5,41.7,0,0,0.0,3,2,0,0,7,42,2,1,2,17,9,4,5,214,42.8,1,2,1,0.0,0,66.7,0,2,2,0,0,0,0,0,3,3,1,1,0,0,0,1,1,2,1,41,10,2,17,3,1,1,39,22,1,6,4,0,0,Sunday,993003901,16,24,18513,3,1,-1,0.5833333333333334,0
202310520,2023-10-08T16:25:00,1,2023,5,KC,MIN,AWAY,27,20,47,U.S. Bank Stadium,7,6,14,0,0,31,59,31:59,21,5,15,1,64,333,5.2,3,21,67,3.2,1,41,31,266,2,0,6.5,8.6,75.6,108.38,15,9,60.0,0,0,0.0,3,3,0,0,10,86,0,0,2,15,12,5,3,140,46.7,0,1,1,3,10,0,7,0,28,1,28:01,24,4,15,5,68,329,4.8,2,18,70,3.9,0,47,29,259,2,0,5.5,8.9,61.7,90.65,14,6,42.9,5,4,80.0,4,2,0,0,4,51,2,1,3,25,9,2,1,54,54.0,1,0,-1,100.0,0,50.0,0,3,3,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,2,43,14,3,25,8,1,1,41,29,2,15,4,0,0,Sunday,993003925,16,20,18356,7,1,1,0.6,0
202310616,2023-10-12T20:15:00,1,2023,6,KC,DEN,HOME,19,8,27,Arrowhead Stadium,3,10,3,3,0,35,49,35:49,22,6,14,2,70,389,5.6,1,27,96,3.6,0,41,30,293,1,1,7.1,9.8,73.2,90.8,13,4,30.8,1,0,0.0,5,1,0,0,7,84,2,0,2,13,7,5,3,144,48.0,1,3,2,0,0,0,8,0,24,11,24:11,14,8,4,2,49,197,4.0,1,23,115,5.0,0,22,13,82,1,2,3.7,6.3,59.1,44.13,10,4,40.0,1,0,0.0,1,1,0,0,3,34,1,1,4,13,5,7,5,224,44.8,3,1,-2,20.0,0,100.0,0,1,1,0,0,0,0,0,4,4,0,0,0,0,0,1,1,0,0,36,11,4,13,9,1,1,52,15,2,13,5,1,0,Thursday,993003934,16,10,18358,11,1,2,0.3076923076923077,0
202310716,2023-10-22T16:25:00,1,2023,7,KC,LAC,HOME,31,17,48,Arrowhead Stadium,3,21,0,7,0,31,40,31:40,25,3,21,1,64,483,7.5,4,21,68,3.2,0,42,32,415,4,1,9.9,13.0,76.2,128.57,11,6,54.5,0,0,0.0,4,3,0,0,6,43,1,1,1,9,8,5,3,137,45.7,2,2,0,3,14,0,0,0,28,20,28:20,16,4,11,1,61,358,5.9,2,26,139,5.3,1,30,17,219,1,2,7.3,12.9,56.7,63.06,14,6,42.9,1,1,100.0,2,1,0,0,4,43,0,0,5,40,4,5,5,261,52.2,2,2,0,75.0,0,50.0,0,4,4,0,0,0,0,0,1,1,2,2,0,0,0,0,0,1,1,35,24,5,40,7,0,0,44,12,1,9,2,1,1,Sunday,993003982,16,29,18525,14,1,0,0.5454545454545454,0
202310810,2023-10-29T16:25:00,1,2023,8,KC,DEN,AWAY,9,24,33,Empower Field at Mile High,3,6,0,0,0,26,13,26:13,18,3,12,3,57,274,4.8,0,16,62,3.9,0,38,24,212,0,2,5.6,8.8,63.2,56.03,10,3,30.0,3,1,33.3,3,0,0,0,5,38,3,3,3,28,10,7,2,82,41.0,5,1,-4,7,7,0,10,0,33,47,33:47,19,10,7,2,65,240,3.7,3,40,153,3.8,0,19,12,87,3,0,4.6,7.2,63.2,113.38,14,6,42.9,1,0,0.0,5,3,0,0,6,35,2,1,6,27,11,6,4,166,41.5,1,5,4,0.0,0,60.0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,2,1,49,25,6,27,2,2,1,37,10,3,28,6,2,3,Sunday,993004015,16,10,18583,-15,0,-4,0.3,0
202310916,2023-11-05T09:30:00,1,2023,9,KC,MIA,HOME,21,14,35,Deutsche Bank Park,0,0,0,0,21,29,36,29:36,16,4,11,1,56,267,4.8,3,24,93,3.9,0,30,20,174,2,0,5.8,8.7,66.7,104.03,10,3,30.0,0,0,0.0,2,2,0,0,9,69,1,1,2,11,6,3,6,302,50.3,1,1,0,0,0,0,0,14,30,24,30:24,20,6,11,3,58,292,5.0,2,21,117,5.6,1,34,21,175,1,0,5.1,8.3,61.8,84.8,12,3,25.0,1,0,0.0,1,1,0,0,6,45,3,1,3,18,4,1,7,316,45.1,1,1,0,100.0,0,100.0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,36,20,3,18,0,2,1,34,23,2,11,3,1,1,Sunday,993004024,16,19,18335,7,1,0,0.3,0
202311116,2023-11-20T20:15:00,1,2023,11,KC,PHI,HOME,17,21,38,Arrowhead Stadium,7,10,0,0,0,32,1,32:01,23,10,10,3,74,336,4.5,2,30,168,5.6,0,43,24,168,2,1,3.9,7.0,55.8,70.69,17,8,47.1,3,2,66.7,4,2,0,0,7,55,1,1,1,9,4,9,6,256,42.7,2,1,-1,7,0,7,7,0,27,59,27:59,16,10,5,1,54,238,4.4,3,27,114,4.2,3,22,14,124,0,1,5.6,8.9,63.6,59.66,11,3,27.3,0,0,0.0,3,3,0,0,7,61,1,0,5,26,9,2,7,334,47.7,1,2,1,50.0,0,100.0,0,2,2,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,38,7,5,26,3,1,0,51,12,1,9,5,1,1,Monday,993004104,16,26,18345,-4,0,-1,0.4705882352941176,0
