gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202310129,2023-09-10T16:25:00,1,2023,1,LAC,MIA,HOME,34,36,70,SoFi Stadium,7,10,7,10,0,32,41,32:41,30,17,10,3,76,433,5.7,4,40,233,5.8,3,33,23,200,1,0,6.1,8.7,69.7,95.52,15,9,60.0,1,0,0.0,5,4,0,0,6,70,0,0,3,29,2,3,3,145,48.3,0,2,2,7,13,7,9,0,27,19,27:19,30,5,23,2,65,536,8.2,4,20,70,3.5,1,45,28,466,3,1,10.4,16.6,62.2,110.05,9,4,44.4,1,1,100.0,5,3,0,0,6,38,2,1,0,0,5,4,1,38,38.0,2,0,-2,80.0,0,60.0,0,4,4,0,0,0,0,0,2,2,4,3,0,0,0,0,0,3,3,37,8,0,0,10,0,1,55,32,3,29,1,0,0,Sunday,993003796,29,19,18497,-2,0,2,0.6,0
202310234,2023-09-17T13:00:00,1,2023,2,LAC,TEN,AWAY,24,27,51,Nissan Stadium,3,11,0,10,0,28,9,28:09,19,4,14,1,65,342,5.3,2,21,61,2.9,0,41,27,281,2,0,6.9,10.4,65.9,101.78,14,2,14.3,3,3,100.0,5,2,0,0,4,43,0,0,3,24,6,8,6,234,39.0,0,0,0,0,10,7,7,3,36,49,36:49,22,10,9,3,63,341,5.4,3,34,141,4.1,2,24,20,200,1,0,8.3,10.0,83.3,115.28,13,6,46.2,1,0,0.0,4,3,0,0,7,45,0,0,5,46,5,6,5,306,61.2,0,0,0,40.0,0,75.0,0,1,1,0,2,1,0,0,3,3,3,3,0,0,0,0,0,2,2,43,36,5,46,1,0,0,40,27,3,24,5,0,0,Sunday,993003825,29,34,18561,-3,0,0,0.1428571428571428,0
202310320,2023-09-24T13:00:00,1,2023,3,LAC,MIN,AWAY,28,24,52,U.S. Bank Stadium,7,7,7,7,0,26,47,26:47,24,2,22,0,64,475,7.4,4,15,30,2.0,0,48,41,445,4,0,9.3,10.9,85.4,133.07,11,5,45.5,2,1,50.0,2,2,0,0,12,94,4,1,1,9,14,7,3,112,37.3,1,2,1,0,10,7,7,0,33,13,33:13,29,7,15,7,78,475,6.1,3,24,130,5.4,0,50,32,345,3,1,6.9,10.8,64.0,95.83,14,4,28.6,3,2,66.7,4,1,0,0,6,45,1,1,4,22,5,3,3,145,48.3,2,1,-1,100.0,0,25.0,0,4,4,0,0,0,0,0,1,0,3,3,0,0,0,0,0,1,1,52,13,4,22,8,1,1,44,20,1,9,3,4,1,Sunday,993003851,29,20,18459,4,1,1,0.4545454545454545,0
202310429,2023-10-01T16:05:00,1,2023,4,LAC,LV,HOME,24,17,41,SoFi Stadium,7,17,0,0,0,27,9,27:09,16,7,6,3,63,305,4.8,3,37,155,4.2,2,24,13,150,1,1,6.2,11.5,54.2,69.79,14,5,35.7,2,1,50.0,4,3,0,0,4,34,1,0,2,17,5,7,4,160,40.0,1,3,2,7,0,3,7,0,32,51,32:51,22,7,12,3,69,264,3.8,2,23,76,3.3,2,39,24,188,0,1,4.8,7.8,61.5,62.77,11,1,9.1,3,3,100.0,5,2,0,0,9,80,3,2,7,50,4,5,5,269,53.8,3,1,-2,75.0,0,40.0,0,3,3,0,0,0,0,0,1,1,2,2,0,0,0,0,0,1,1,50,14,7,50,3,2,2,43,13,2,17,7,0,0,Sunday,993003896,29,25,18510,7,1,2,0.3571428571428571,0
202310629,2023-10-16T20:15:00,1,2023,6,LAC,DAL,HOME,17,20,37,SoFi Stadium,7,0,3,7,0,30,8,30:08,18,2,12,4,61,272,4.5,2,23,53,2.3,0,37,22,219,2,1,5.9,10.0,59.5,83.05,14,5,35.7,2,1,50.0,4,2,0,0,9,79,0,0,1,8,6,7,5,203,40.6,1,1,0,7,3,0,10,0,29,52,29:52,20,5,12,3,61,342,5.6,2,26,96,3.7,1,30,21,246,1,0,8.2,11.7,70.0,105.69,13,5,38.5,2,1,50.0,4,2,0,0,11,85,1,1,5,26,8,2,4,209,52.2,1,1,0,50.0,0,50.0,0,2,2,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,2,48,11,5,26,2,0,1,40,12,1,8,6,0,0,Monday,993003962,29,9,18371,-3,0,0,0.3571428571428571,0
202310716,2023-10-22T16:25:00,1,2023,7,LAC,KC,AWAY,17,31,48,Arrowhead Stadium,3,14,0,0,0,28,20,28:20,16,4,11,1,61,358,5.9,2,26,139,5.3,1,30,17,219,1,2,7.3,12.9,56.7,63.06,14,6,42.9,1,1,100.0,2,1,0,0,4,43,0,0,5,40,4,5,5,261,52.2,2,2,0,3,21,0,7,0,31,40,31:40,25,3,21,1,64,483,7.5,4,21,68,3.2,0,42,32,415,4,1,9.9,13.0,76.2,128.57,11,6,54.5,0,0,0.0,4,3,0,0,6,43,1,1,1,9,8,5,3,137,45.7,2,2,0,50.0,0,75.0,0,2,2,0,0,0,0,0,1,1,4,4,0,0,0,0,0,1,1,44,12,1,9,2,1,1,35,24,5,40,7,0,0,Sunday,993003981,29,16,18525,-14,0,0,0.4285714285714285,0
202310829,2023-10-29T20:20:00,1,2023,8,LAC,CHI,HOME,30,13,43,SoFi Stadium,14,10,6,0,0,31,28,31:28,20,1,18,1,65,352,5.4,3,25,54,2.2,0,40,31,298,3,0,7.4,9.6,77.5,122.71,13,7,53.8,1,0,0.0,2,2,0,0,2,15,1,1,0,0,2,2,2,88,44.0,1,2,1,0,7,0,6,0,28,32,28:32,17,7,10,0,63,295,4.7,2,25,73,2.9,2,37,25,222,0,2,6.0,8.9,67.6,60.87,14,6,42.9,4,1,25.0,2,2,0,0,7,53,1,0,1,10,2,6,3,126,42.0,2,1,-1,100.0,0,100.0,0,3,3,0,0,0,0,0,3,3,1,1,0,2,0,0,0,0,0,40,19,1,10,7,0,0,50,15,0,0,3,1,1,Sunday,993004018,29,6,18586,17,1,1,0.5384615384615384,0
202310924,2023-11-06T20:15:00,1,2023,9,LAC,NYJ,AWAY,27,6,33,MetLife Stadium,0,0,0,0,27,25,33,25:33,14,5,7,2,56,191,3.4,3,21,84,4.0,2,30,16,107,0,0,3.6,6.7,53.3,61.39,16,7,43.8,0,0,0.0,2,2,0,0,4,39,3,0,5,29,8,4,8,364,45.5,0,3,3,0,0,0,0,6,34,27,34:27,17,2,12,3,77,270,3.5,0,20,64,3.2,0,49,33,206,0,0,4.2,6.2,67.3,75.72,17,3,17.6,4,3,75.0,2,0,0,0,8,40,4,3,8,57,13,4,7,352,50.3,3,0,-3,100.0,0,0.0,0,3,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,48,23,8,57,7,3,3,31,19,5,29,6,2,0,Monday,993004047,29,24,18384,21,1,3,0.4375,0
202311029,2023-11-12T16:05:00,1,2023,10,LAC,DET,HOME,38,41,79,SoFi Stadium,3,14,7,14,0,29,26,29:26,24,5,16,3,68,421,6.2,5,28,98,3.5,1,40,27,323,4,1,8.1,12.0,67.5,114.9,14,7,50.0,3,3,100.0,3,3,0,0,3,36,0,0,0,0,2,5,2,107,53.5,1,0,-1,10,14,7,10,0,30,34,30:34,23,8,13,2,64,533,8.3,5,31,200,6.5,3,33,23,333,2,0,10.1,14.5,69.7,122.41,13,4,30.8,5,4,80.0,4,2,0,0,4,44,0,0,0,0,5,1,1,29,29.0,0,1,1,100.0,0,50.0,0,5,5,0,0,0,0,0,1,1,5,5,0,0,0,0,0,2,2,41,19,0,0,2,0,0,41,26,0,0,5,0,0,Sunday,993004068,29,11,18393,-3,0,-1,0.5,0
202311112,2023-11-19T13:00:00,1,2023,11,LAC,GB,AWAY,20,23,43,Lambeau Field,3,7,3,7,0,28,2,28:02,17,5,11,1,62,394,6.4,2,24,150,6.2,0,36,21,244,2,0,6.8,11.6,58.3,97.45,14,7,50.0,2,0,0.0,4,1,0,0,4,54,2,1,2,16,7,7,3,143,47.7,1,0,-1,0,10,6,7,0,31,58,31:58,23,5,16,2,71,397,5.6,3,28,102,3.6,1,40,27,295,2,0,7.4,10.9,67.5,105.73,14,7,50.0,1,0,0.0,2,1,0,0,7,46,3,0,3,27,5,5,4,193,48.2,0,1,1,25.0,0,50.0,0,2,2,0,0,0,0,0,2,2,3,2,0,0,0,0,0,2,1,48,17,3,27,5,1,0,39,16,2,16,5,1,1,Sunday,993004093,29,12,18531,-3,0,-1,0.5,0
