gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202310130,2023-09-10T16:25:00,1,2023,1,LAR,SEA,AWAY,30,13,43,Lumen Field,7,0,10,13,0,39,23,39:23,27,8,17,2,78,426,5.5,3,40,92,2.3,3,38,24,334,0,0,8.8,13.9,63.2,91.34,17,11,64.7,1,1,100.0,3,3,0,0,7,53,0,0,0,0,7,3,1,45,45.0,0,0,0,3,10,0,0,0,20,37,20:37,13,3,7,3,46,180,3.9,1,18,85,4.7,0,26,16,95,1,0,3.7,5.9,61.5,81.41,9,2,22.2,0,0,0.0,2,1,0,0,7,55,0,0,2,17,2,5,4,236,59.0,0,0,0,100.0,0,50.0,0,3,3,0,0,0,0,0,5,3,1,1,0,0,0,0,0,3,2,27,24,2,17,1,0,0,47,34,0,0,1,0,0,Sunday,993003801,32,30,18498,17,1,0,0.6470588235294118,0
202310232,2023-09-17T16:05:00,1,2023,2,LAR,SF,HOME,23,30,53,SoFi Stadium,3,14,0,6,0,33,11,33:11,28,9,17,2,78,386,4.9,2,22,89,4.0,1,55,34,297,1,2,5.4,8.7,61.8,67.01,14,7,50.0,2,1,50.0,3,2,0,0,6,55,0,0,1,10,3,0,2,108,54.0,2,0,-2,7,10,3,10,0,26,49,26:49,21,8,11,2,54,365,6.8,3,28,159,5.7,3,25,17,206,0,0,8.2,12.1,68.0,93.08,9,2,22.2,0,0,0.0,5,3,0,0,6,57,2,0,1,0,7,2,4,197,49.2,0,2,2,66.7,0,60.0,0,2,2,0,0,0,0,0,3,3,3,3,0,0,0,0,0,3,3,32,31,1,0,1,1,0,46,25,1,10,7,0,0,Sunday,993003830,32,31,18565,-7,0,-2,0.5,0
202310307,2023-09-25T20:15:00,1,2023,3,LAR,CIN,AWAY,16,19,35,Paycor Stadium,3,3,3,7,0,24,0,24:00,15,2,12,1,52,292,5.6,1,13,71,5.5,0,33,18,221,1,2,6.7,12.3,54.5,60.29,11,1,9.1,1,1,100.0,4,1,0,0,4,28,0,0,6,48,6,4,6,306,51.0,2,1,-1,0,6,10,3,0,36,0,36:00,19,5,12,2,74,309,4.2,1,23,67,2.9,1,49,26,242,0,1,4.9,9.3,53.1,58.38,17,5,29.4,1,1,100.0,1,1,0,0,7,49,0,0,2,17,10,7,5,211,42.2,1,2,1,25.0,0,100.0,0,1,1,0,0,0,0,0,3,3,1,1,0,0,0,0,0,5,4,40,19,2,17,6,0,0,35,9,6,48,5,0,0,Monday,993003871,32,7,18469,-3,0,-1,0.0909090909090909,0
202310414,2023-10-01T13:00:00,1,2023,4,LAR,IND,AWAY,29,23,52,Lucas Oil Stadium,14,6,3,0,6,39,46,39:46,27,8,16,3,78,467,6.0,3,36,164,4.6,2,40,27,303,1,1,7.6,11.2,67.5,87.81,15,6,40.0,1,1,100.0,3,2,0,0,8,85,1,0,2,16,3,7,3,123,41.0,1,1,0,0,0,8,15,0,24,25,24:25,19,6,10,3,58,329,5.7,3,31,133,4.3,1,25,11,196,2,0,7.8,17.8,44.0,98.08,10,3,30.0,2,1,50.0,2,2,0,0,8,80,2,1,2,4,9,4,4,193,48.2,1,1,0,66.7,0,100.0,0,2,2,0,0,0,0,0,5,3,1,1,0,4,2,0,0,1,0,33,29,2,4,4,2,1,52,23,2,16,7,1,0,Sunday,993003893,32,14,18505,6,1,0,0.4,0
202310532,2023-10-08T16:05:00,1,2023,5,LAR,PHI,HOME,14,23,37,SoFi Stadium,7,7,0,0,0,22,5,22:05,17,2,13,2,55,249,4.5,2,14,54,3.9,0,37,21,195,2,0,5.3,9.3,56.8,89.36,14,6,42.9,3,2,66.7,1,1,0,0,5,48,1,0,4,27,2,6,4,215,53.8,0,1,1,7,10,0,6,0,37,55,37:55,28,12,13,3,78,454,5.8,2,39,159,4.1,1,38,25,295,1,1,7.8,11.8,65.8,87.06,18,13,72.2,1,0,0.0,6,2,0,0,3,35,0,0,1,8,8,6,1,41,41.0,1,0,-1,100.0,0,33.3,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,3,54,32,1,8,3,0,0,31,14,4,27,2,1,0,Sunday,993003924,32,26,18353,-9,0,1,0.4285714285714285,0
202310632,2023-10-15T16:25:00,1,2023,6,LAR,ARI,HOME,26,9,35,SoFi Stadium,3,3,10,10,0,29,30,29:30,17,9,7,1,55,382,6.9,2,28,179,6.4,1,24,15,203,1,0,8.5,13.5,62.5,103.3,12,4,33.3,0,0,0.0,5,2,0,0,6,59,1,1,3,23,9,6,4,186,46.5,1,2,1,3,6,0,0,0,30,30,30:30,20,6,12,2,73,345,4.7,0,30,130,4.3,0,41,21,215,0,1,5.2,10.2,51.2,56.45,16,6,37.5,4,2,50.0,3,0,0,0,5,36,1,1,2,20,3,5,3,134,44.7,2,1,-1,40.0,0,0.0,0,2,2,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,44,21,2,20,6,1,1,36,22,3,23,0,1,1,Sunday,993003956,32,1,18368,17,1,1,0.3333333333333333,0
202310732,2023-10-22T16:05:00,1,2023,7,LAR,PIT,HOME,17,24,41,SoFi Stadium,0,9,8,0,0,31,46,31:46,19,8,8,3,62,354,5.7,2,31,135,4.4,1,29,14,219,1,1,7.6,15.6,48.3,70.91,16,9,56.2,0,0,0.0,1,1,0,0,5,40,0,0,2,12,7,4,4,208,52.0,1,0,-1,0,3,7,14,0,28,14,28:14,17,8,9,0,56,300,5.4,3,29,86,3.0,3,25,17,214,0,0,8.6,12.6,68.0,94.42,12,4,33.3,1,1,100.0,3,3,0,0,8,76,1,0,2,16,4,4,5,218,43.6,0,1,1,100.0,0,100.0,0,1,0,0,2,1,0,0,3,1,3,3,0,0,0,0,0,1,1,32,26,2,16,2,1,0,36,25,2,12,2,0,0,Sunday,993003978,32,28,18522,-7,0,-1,0.5625,0
202310809,2023-10-29T13:00:00,1,2023,8,LAR,DAL,AWAY,20,43,63,AT&T Stadium,3,6,8,3,0,24,32,24:32,15,5,8,2,58,280,4.8,2,24,92,3.8,1,32,18,188,1,1,5.9,10.4,56.2,70.83,13,4,30.8,2,1,50.0,2,1,0,0,4,25,0,0,2,16,3,5,4,183,45.8,1,1,0,17,16,3,7,0,35,28,35:28,24,6,16,2,63,387,6.1,5,26,102,3.9,0,34,27,285,4,1,8.4,10.6,79.4,128.55,12,6,50.0,1,1,100.0,4,2,0,0,4,21,0,0,3,22,5,6,2,93,46.5,1,1,0,50.0,0,50.0,0,0,0,0,3,1,0,0,2,2,5,5,0,0,0,0,0,2,2,42,19,3,22,6,0,0,40,13,2,16,5,0,0,Sunday,993004005,32,9,18573,-23,0,0,0.3076923076923077,0
202310912,2023-11-05T13:00:00,1,2023,9,LAR,GB,AWAY,3,20,23,Lambeau Field,0,0,0,0,3,24,44,24:44,10,3,6,1,55,187,3.4,0,26,68,2.6,0,28,13,119,0,1,4.2,9.2,46.4,43.6,14,5,35.7,2,0,0.0,0,0,0,0,5,36,1,1,1,11,5,3,5,224,44.8,2,2,0,0,0,0,0,20,35,16,35:16,21,10,10,1,68,391,5.8,2,38,184,4.8,1,26,20,207,1,0,8.0,10.4,76.9,112.18,14,7,50.0,1,1,100.0,4,1,0,0,8,57,3,2,4,21,4,5,4,174,43.5,2,2,0,0.0,0,25.0,0,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,3,2,46,38,4,21,1,2,2,39,13,1,11,10,1,1,Sunday,993004037,32,12,18375,-17,0,0,0.3571428571428571,0
202311132,2023-11-19T16:25:00,1,2023,11,LAR,SEA,HOME,17,16,33,SoFi Stadium,0,7,0,10,0,27,54,27:54,20,6,9,5,59,267,4.5,2,27,82,3.0,1,31,17,185,1,1,6.0,10.9,54.8,69.96,9,2,22.2,1,0,0.0,4,2,0,0,9,92,0,0,1,5,8,4,5,263,52.6,1,1,0,7,6,3,0,0,32,6,32:06,16,3,12,1,63,291,4.6,1,21,68,3.2,0,40,24,223,1,1,5.6,9.3,60.0,73.23,15,5,33.3,2,2,100.0,2,1,0,0,12,130,0,0,2,13,3,3,4,202,50.5,1,1,0,50.0,0,50.0,0,2,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,3,39,22,2,13,7,0,0,34,25,1,5,6,0,0,Sunday,993004098,32,30,18539,1,1,0,0.2222222222222222,0
202311201,2023-11-26T16:05:00,1,2023,12,LAR,ARI,AWAY,37,14,51,State Farm Stadium,7,14,3,13,0,34,52,34:52,25,9,16,0,66,457,6.9,5,33,228,6.9,1,33,25,229,4,1,6.9,9.2,75.8,121.09,12,6,50.0,2,2,100.0,5,4,0,0,5,23,0,0,0,0,6,6,2,73,36.5,1,0,-1,8,0,0,6,0,25,8,25:08,19,5,11,3,64,292,4.6,2,15,73,4.9,1,45,27,219,1,0,4.9,8.1,60.0,79.77,17,6,35.3,3,2,66.7,2,2,0,0,5,34,0,0,4,37,3,2,5,228,45.6,0,1,1,80.0,0,100.0,0,5,4,0,0,0,0,0,2,1,0,0,0,2,0,1,1,1,0,41,14,4,37,10,0,0,45,26,0,0,1,0,0,Sunday,993004127,32,1,18408,23,1,-1,0.5,0
202311332,2023-12-03T16:25:00,1,2023,13,LAR,CLE,HOME,36,19,55,SoFi Stadium,10,3,7,16,0,25,57,25:57,20,6,10,4,62,399,6.4,4,25,120,4.8,1,37,22,279,3,0,7.5,12.7,59.5,110.08,12,4,33.3,0,0,0.0,4,3,0,0,7,45,0,0,0,0,5,5,5,293,58.6,0,1,1,7,3,3,6,0,34,3,34:03,20,9,10,1,69,327,4.7,2,23,87,3.8,0,44,23,240,2,1,5.5,10.4,52.3,74.05,16,7,43.8,2,0,0.0,2,1,0,0,7,86,0,0,2,14,2,1,5,236,47.2,1,0,-1,75.0,0,50.0,0,4,4,0,0,0,0,0,3,2,2,1,0,0,0,0,0,2,2,36,30,2,14,5,0,0,35,22,0,0,2,0,0,Sunday,993004158,32,8,18422,17,1,1,0.3333333333333333,0
202311403,2023-12-10T13:00:00,1,2023,14,LAR,BAL,AWAY,31,37,68,M&T Bank Stadium,3,17,2,9,0,34,35,34:35,24,5,14,5,73,410,5.6,3,30,128,4.3,0,41,23,282,3,0,6.9,12.3,56.1,101.88,16,6,37.5,0,0,0.0,5,3,0,0,5,34,2,0,2,12,5,2,6,311,51.8,0,1,1,7,10,3,11,6,27,43,27:43,23,6,17,0,71,449,6.3,4,26,139,5.3,0,43,24,310,3,1,7.2,12.9,55.8,92.2,12,4,33.3,0,0,0.0,3,1,0,0,7,79,1,0,2,6,10,8,4,191,47.8,1,0,-1,60.0,0,33.3,0,2,2,0,2,0,0,0,3,3,2,2,0,2,1,0,0,3,3,43,14,2,6,3,0,0,43,24,2,12,3,0,0,Sunday,993004173,32,3,18548,-6,0,1,0.375,0
202311532,2023-12-17T16:05:00,1,2023,15,LAR,WAS,HOME,28,20,48,SoFi Stadium,3,10,7,8,0,35,53,35:53,23,12,10,1,73,445,6.1,3,37,196,5.3,1,33,25,249,2,0,7.5,10.0,75.8,116.86,16,9,56.2,0,0,0.0,3,1,0,0,5,36,2,2,3,9,4,3,3,134,44.7,2,1,-1,0,0,7,13,0,24,7,24:07,14,3,9,2,58,297,5.1,3,21,79,3.8,0,36,19,218,3,1,6.1,11.5,52.8,87.5,14,3,21.4,5,3,60.0,3,2,0,0,3,28,1,0,1,8,6,6,5,203,40.6,1,2,1,33.3,0,66.7,0,2,2,0,0,0,1,1,3,2,3,2,1,0,0,0,0,0,0,31,19,1,8,9,0,0,41,49,3,9,2,2,2,Sunday,993004216,32,35,18598,8,1,-1,0.5625,0
202311632,2023-12-21T20:15:00,1,2023,16,LAR,NO,HOME,30,22,52,SoFi Stadium,7,10,10,3,0,34,18,34:18,23,4,18,1,67,458,6.8,3,32,133,4.2,1,34,24,325,2,0,9.6,13.5,70.6,120.34,12,4,33.3,1,1,100.0,6,3,0,0,3,25,0,0,1,3,3,5,2,46,23.0,0,1,1,0,7,0,15,0,25,42,25:42,18,2,16,0,58,339,5.8,3,16,35,2.2,0,40,27,304,3,1,7.6,11.3,67.5,104.58,11,5,45.5,3,0,0.0,1,1,0,0,3,20,0,0,2,15,3,3,2,71,35.5,1,0,-1,50.0,0,100.0,0,3,3,0,0,0,0,0,4,3,2,2,0,2,1,0,0,0,0,32,20,2,15,5,0,0,42,37,1,3,3,0,0,Thursday,993004226,32,22,18425,8,1,1,0.3333333333333333,0
