gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202310123,2023-09-10T20:20:00,1,2023,1,NYG,DAL,HOME,0,40,40,MetLife Stadium,0,0,0,0,0,33,28,33:28,14,6,5,3,65,171,2.6,0,28,108,3.9,0,30,17,63,0,2,2.1,3.7,56.7,34.03,16,5,31.2,5,3,60.0,2,0,0,0,6,72,5,1,7,47,3,2,3,160,53.3,3,0,-3,16,10,7,7,0,26,32,26:32,18,7,8,3,55,265,4.8,5,30,122,4.1,3,25,13,143,0,0,5.7,11.0,52.0,69.25,13,6,46.2,2,1,50.0,4,3,0,0,5,35,1,0,0,0,12,10,3,146,48.7,0,3,3,0.0,0,75.0,0,0,0,0,0,0,0,0,2,0,5,4,0,0,0,0,0,2,2,30,30,0,0,4,1,0,44,21,7,47,8,3,1,Sunday,993003806,23,9,18499,-40,0,-3,0.3125,0
202310201,2023-09-17T16:05:00,1,2023,2,NYG,ARI,AWAY,31,28,59,State Farm Stadium,0,0,14,17,0,29,23,29:23,26,10,15,1,67,439,6.6,4,27,127,4.7,2,37,26,312,2,1,8.4,12.0,70.3,102.53,12,7,58.3,1,1,100.0,5,4,0,0,9,75,0,0,3,9,6,7,3,111,37.0,1,0,-1,7,13,8,0,0,30,37,30:37,24,10,11,3,60,379,6.3,3,29,151,5.2,2,31,21,228,1,0,7.4,10.9,67.7,99.93,10,4,40.0,0,0,0.0,3,2,0,0,8,57,0,0,0,0,5,5,3,146,48.7,0,1,1,80.0,0,66.7,0,4,4,0,0,0,0,0,1,1,2,2,0,0,0,1,1,3,2,44,14,0,0,2,0,0,46,15,3,9,7,0,0,Sunday,993003827,23,1,18566,3,1,-1,0.5833333333333334,0
202310331,2023-09-21T20:15:00,1,2023,3,NYG,SF,AWAY,12,30,42,Levi's Stadium,3,3,6,0,0,20,50,20:50,10,2,6,2,46,150,3.3,1,11,29,2.6,1,33,22,121,0,1,3.7,5.5,66.7,60.29,12,3,25.0,0,0,0.0,1,1,0,0,6,37,0,0,2,16,6,6,6,316,52.7,1,0,-1,3,14,3,10,0,39,10,39:10,26,9,13,4,78,441,5.7,3,39,141,3.6,1,37,25,300,2,0,8.1,12.0,67.6,110.19,16,9,56.2,0,0,0.0,5,2,0,0,6,71,1,0,2,10,6,4,3,128,42.7,0,1,1,100.0,0,40.0,0,0,0,0,1,0,0,0,2,2,3,3,0,0,0,0,0,3,3,49,26,2,10,4,0,0,31,11,2,16,3,0,0,Thursday,993003841,23,31,18454,-18,0,-1,0.25,0
202310423,2023-10-02T20:15:00,1,2023,4,NYG,SEA,HOME,3,24,27,MetLife Stadium,0,3,0,0,0,36,0,36:00,17,7,9,1,74,248,3.4,0,29,112,3.9,0,34,27,136,0,2,4.0,5.0,79.4,58.82,16,6,37.5,4,2,50.0,1,0,0,0,6,45,3,1,11,67,3,6,5,268,53.6,3,0,-3,7,7,7,3,0,24,0,24:00,13,6,6,1,51,281,5.5,3,23,121,5.3,1,26,15,160,1,0,6.2,10.7,57.7,88.62,12,3,25.0,2,0,0.0,4,2,0,0,8,74,0,0,2,13,14,10,4,214,53.5,0,3,3,0.0,0,50.0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,2,1,35,15,2,13,4,0,0,54,33,11,67,4,2,1,Monday,993003904,23,30,18514,-21,0,-3,0.375,0
202310519,2023-10-08T13:00:00,1,2023,5,NYG,MIA,AWAY,16,31,47,Hard Rock Stadium,0,10,3,3,0,35,59,35:59,15,3,10,2,68,268,3.9,1,29,85,2.9,0,32,23,183,0,0,5.7,8.0,71.9,85.81,17,5,29.4,2,1,50.0,2,0,0,0,6,43,1,0,7,22,2,1,4,161,40.2,0,3,3,7,10,14,0,0,24,1,24:01,22,8,14,0,54,524,9.7,4,23,222,9.7,2,30,22,302,2,2,10.1,13.7,73.3,99.58,8,3,37.5,0,0,0.0,3,2,0,0,6,43,2,1,1,6,14,8,2,69,34.5,3,0,-3,0.0,0,66.7,0,1,1,0,0,0,0,0,4,3,4,4,0,0,0,0,0,1,1,36,14,1,6,6,2,1,52,23,7,22,4,1,0,Sunday,993003913,23,19,18350,-15,0,3,0.2941176470588235,0
202310604,2023-10-15T20:20:00,1,2023,6,NYG,BUF,AWAY,9,14,23,Highmark Stadium,3,3,0,3,0,31,24,31:24,20,5,11,4,73,317,4.3,0,34,132,3.9,0,36,24,185,0,0,5.1,7.7,66.7,79.05,19,10,52.6,2,1,50.0,5,0,0,0,9,65,1,0,3,15,1,2,4,202,50.5,0,2,2,0,0,0,14,0,28,36,28:36,22,7,12,3,59,297,5.0,2,29,128,4.4,0,30,19,169,2,1,5.6,8.9,63.3,86.67,12,6,50.0,0,0,0.0,2,2,0,0,7,51,1,1,0,0,5,8,3,127,42.3,2,0,-2,0.0,0,100.0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,0,40,16,0,0,3,1,1,50,23,3,15,2,0,0,Sunday,993003959,23,4,18370,-5,0,2,0.5263157894736842,0
202310723,2023-10-22T13:00:00,1,2023,7,NYG,WAS,HOME,14,7,21,MetLife Stadium,0,14,0,0,0,28,46,28:46,16,5,10,1,65,356,5.5,2,32,106,3.3,0,29,18,250,2,0,8.6,13.9,62.1,112.72,16,5,31.2,0,0,0.0,2,1,0,0,4,40,3,2,4,29,12,4,8,395,49.4,2,1,-1,0,0,7,0,0,31,14,31:14,14,3,9,2,67,273,4.1,1,19,76,4.0,1,42,22,197,0,1,4.7,9.0,52.4,55.36,15,1,6.7,3,2,66.7,3,1,0,0,10,75,1,0,6,52,4,8,10,513,51.3,1,2,1,50.0,0,33.3,0,2,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,34,28,6,52,6,0,0,38,27,4,29,5,1,2,Sunday,993003968,23,35,18519,7,1,-1,0.3125,0
202310823,2023-10-29T13:00:00,1,2023,8,NYG,NYJ,HOME,10,13,23,MetLife Stadium,3,0,7,0,0,38,13,38:13,12,7,0,5,70,194,2.8,1,52,203,3.9,1,14,6,-9,0,0,-0.6,-1.5,42.9,50.3,19,2,10.5,0,0,0.0,3,1,0,0,6,73,2,0,4,16,9,8,13,549,42.2,0,2,2,7,0,0,3,3,25,38,25:38,12,2,8,2,62,251,4.0,1,22,58,2.6,0,36,17,193,1,0,5.4,11.4,47.2,73.03,15,2,13.3,1,0,0.0,2,0,0,0,9,85,2,2,4,47,8,13,11,529,48.1,2,0,-2,33.3,0,0.0,0,1,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,2,2,34,18,4,47,8,1,2,51,37,4,16,4,1,0,Sunday,993003994,23,24,18578,-3,0,2,0.1052631578947368,0
202310925,2023-11-05T16:25:00,1,2023,9,NYG,LV,AWAY,6,30,36,Allegiant Stadium,0,0,0,0,6,31,4,31:04,15,5,10,0,62,277,4.5,1,25,123,4.9,0,29,19,154,1,2,5.3,8.1,65.5,61.57,12,3,25.0,5,1,20.0,1,1,0,0,3,8,1,0,8,46,1,5,4,169,42.2,2,0,-2,0,0,0,0,30,28,56,28:56,15,6,9,0,59,334,5.7,3,34,125,3.7,3,25,16,209,0,0,8.4,13.1,64.0,90.25,14,5,35.7,1,0,0.0,4,3,0,0,4,30,0,0,0,0,9,8,5,318,63.6,0,2,2,100.0,0,75.0,0,0,0,0,2,0,0,0,0,0,3,3,0,0,0,0,0,3,3,37,27,0,0,2,0,0,46,24,8,46,5,1,0,Sunday,993004043,23,25,18381,-24,0,-2,0.25,0
202311009,2023-11-12T16:25:00,1,2023,10,NYG,DAL,AWAY,17,49,66,AT&T Stadium,0,0,7,10,0,22,39,22:39,16,7,5,4,55,172,3.1,2,23,111,4.8,0,27,14,61,2,1,2.3,4.4,51.9,67.05,12,0,0.0,3,2,66.7,4,2,0,0,2,5,0,0,5,25,4,3,7,350,50.0,1,2,1,7,21,14,7,0,37,21,37:21,32,12,19,1,77,640,8.3,7,33,168,5.1,3,44,33,472,4,2,10.7,14.3,75.0,120.64,12,6,50.0,2,1,50.0,7,6,0,0,9,83,0,0,0,0,7,7,2,93,46.5,2,1,-1,50.0,0,85.7,0,2,2,0,0,0,0,0,1,1,7,7,0,0,0,0,0,0,0,53,18,0,0,5,0,0,37,15,5,25,6,0,0,Sunday,993004071,23,9,18394,-32,0,1,0.0,0
