gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202410102,2024-09-08T13:00:00,1,2024,1,ATL,PIT,HOME,10,18,28,Mercedes-Benz Stadium,3,7,0,0,0,24,24,24:24,15,6,8,1,50,226,4.5,1,22,89,4.0,0,26,16,137,1,2,5.3,8.6,61.5,56.09,9,2,22.2,1,1,100.0,2,1,0,0,5,34,1,1,2,18,5,7,4,210,52.5,3,0,-3,3,6,6,3,0,35,36,35:36,16,9,6,1,66,270,4.1,0,41,137,3.3,0,23,17,133,0,0,5.8,7.8,73.9,87.77,17,8,47.1,1,0,0.0,2,0,0,0,9,60,1,0,2,23,7,3,3,146,48.7,0,3,3,50.0,0,0.0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,6,51,29,2,23,1,0,0,32,19,2,18,5,0,1,Sunday,993004458,2,28,18675,-8,0,-3,0.2222222222222222,0
202410226,2024-09-16T20:15:00,1,2024,2,ATL,PHI,AWAY,22,21,43,Lincoln Financial Field,0,6,9,7,0,24,21,24:21,22,9,11,2,58,385,6.6,2,28,152,5.4,0,29,20,233,2,0,8.0,11.6,69.0,116.02,9,2,22.2,2,1,50.0,3,1,0,0,3,40,1,0,1,8,5,4,2,89,44.5,0,1,1,0,7,3,11,0,35,39,35:39,22,10,12,0,68,365,5.4,2,37,186,5.0,1,30,23,179,1,1,6.0,7.8,76.7,88.06,13,6,46.2,3,2,66.7,5,2,0,0,9,53,0,0,1,4,2,3,2,93,46.5,1,0,-1,33.3,0,40.0,0,1,1,0,2,0,0,0,3,3,1,1,0,0,0,1,1,2,2,47,29,1,4,5,0,0,40,17,1,8,4,0,0,Monday,993004509,2,26,18685,1,1,1,0.2222222222222222,0
202410302,2024-09-22T20:20:00,1,2024,3,ATL,KC,HOME,17,22,39,Mercedes-Benz Stadium,7,7,0,3,0,25,3,25:03,19,4,11,4,56,311,5.6,2,25,82,3.3,1,29,20,229,1,1,7.9,11.4,69.0,89.58,9,2,22.2,3,1,33.3,4,2,0,0,6,44,2,0,2,1,7,2,3,162,54.0,1,1,0,0,13,9,0,0,34,57,34:57,22,9,13,0,72,345,4.8,2,33,128,3.9,0,39,26,217,2,1,5.6,8.3,66.7,87.23,14,6,42.9,1,1,100.0,4,2,0,0,6,61,0,0,0,0,10,8,3,145,48.3,1,1,0,50.0,0,50.0,0,2,2,0,0,0,0,0,1,1,2,1,0,0,0,0,0,3,3,44,28,0,0,3,0,0,36,22,2,1,5,1,0,Sunday,993004538,2,16,18703,-5,0,0,0.2222222222222222,0
202410402,2024-09-29T13:00:00,1,2024,4,ATL,NO,HOME,26,24,50,Mercedes-Benz Stadium,7,10,3,6,0,24,18,24:18,14,4,9,1,51,315,6.2,2,15,88,5.9,0,35,21,227,0,1,6.5,10.8,60.0,67.2,11,4,36.4,0,0,0.0,1,0,0,0,9,76,1,0,1,11,3,4,3,132,44.0,1,2,1,7,7,3,7,0,35,42,35:42,25,12,11,2,70,366,5.2,3,33,131,4.0,3,36,28,235,0,1,6.5,8.4,77.8,82.29,13,7,53.8,2,1,50.0,4,3,0,0,6,60,1,1,1,4,4,2,3,120,40.0,2,1,-1,0.0,0,75.0,0,2,2,0,0,0,0,0,4,4,3,3,0,0,0,0,0,1,1,50,27,1,4,3,0,1,33,16,1,11,7,1,0,Sunday,993004558,2,22,18724,2,1,1,0.3636363636363636,0
202410502,2024-10-03T20:15:00,1,2024,5,ATL,TB,HOME,36,30,66,Mercedes-Benz Stadium,7,10,3,10,6,33,37,33:37,28,2,24,2,81,550,6.8,4,18,73,4.1,0,59,42,477,4,1,8.1,11.4,71.2,110.63,14,6,42.9,3,2,66.7,4,2,0,0,8,74,1,0,4,32,1,6,1,35,35.0,1,1,0,10,14,3,3,0,27,38,27:38,21,8,12,1,51,333,6.5,3,26,160,6.2,0,24,19,173,3,0,7.2,9.1,79.2,136.28,11,6,54.5,0,0,0.0,3,2,0,0,5,47,2,1,1,7,11,6,2,87,43.5,1,1,0,50.0,0,66.7,0,3,3,0,0,0,0,0,5,3,3,3,0,0,0,0,0,3,3,36,21,1,7,1,2,1,55,17,4,32,8,1,0,Thursday,993004576,2,33,18746,6,1,0,0.4285714285714285,0
202410605,2024-10-13T16:25:00,1,2024,6,ATL,CAR,AWAY,38,20,58,Bank of America Stadium,7,15,6,10,0,30,40,30:40,25,13,11,1,68,423,6.2,4,38,198,5.2,3,30,19,225,1,0,7.5,11.8,63.3,97.22,12,6,50.0,0,0,0.0,8,4,0,0,5,45,1,1,0,0,3,4,1,52,52.0,1,2,1,7,10,3,0,0,29,20,29:20,21,8,12,1,62,335,5.4,2,24,114,4.8,0,38,26,221,2,2,5.8,8.5,68.4,78.95,11,5,45.5,1,0,0.0,3,2,0,0,10,74,2,0,0,0,3,0,3,120,40.0,2,1,-1,50.0,0,66.7,0,3,3,0,0,0,1,1,3,3,2,2,0,0,0,0,0,2,2,36,24,0,0,5,2,0,40,25,0,0,6,1,1,Sunday,993004625,2,5,18749,18,1,1,0.5,0
202410702,2024-10-20T13:00:00,1,2024,7,ATL,SEA,HOME,14,34,48,Mercedes-Benz Stadium,0,7,7,0,0,31,8,31:08,22,8,13,1,71,369,5.2,2,32,155,4.8,1,36,25,214,1,2,5.9,8.6,69.4,70.83,15,8,53.3,2,2,100.0,2,2,0,0,9,72,1,1,3,32,6,3,3,133,44.3,3,0,-3,3,14,7,10,0,28,52,28:52,20,5,12,3,56,339,6.1,4,26,103,4.0,1,29,19,236,2,0,8.1,12.4,65.5,113.58,11,4,36.4,1,1,100.0,2,1,0,0,5,42,1,0,1,6,9,6,4,156,39.0,0,3,3,100.0,0,50.0,0,2,2,0,0,0,0,0,1,0,4,4,0,0,0,0,0,2,2,38,20,1,6,5,0,0,46,36,3,32,5,1,1,Sunday,993004640,2,30,18767,-20,0,-3,0.5333333333333333,0
202410833,2024-10-27T13:00:00,1,2024,8,ATL,TB,AWAY,31,26,57,Raymond James Stadium,7,17,7,0,0,27,26,27:26,20,8,11,1,60,394,6.6,4,29,129,4.4,0,29,23,265,4,0,9.1,11.5,79.3,144.32,12,6,50.0,2,2,100.0,1,1,0,0,4,43,1,0,2,11,0,2,3,128,42.7,0,3,3,7,10,0,9,0,32,34,32:34,24,8,16,0,72,432,6.0,3,22,102,4.6,0,50,37,330,3,2,6.6,8.9,74.0,94.58,14,9,64.3,2,1,50.0,3,3,0,0,6,45,2,1,0,0,4,6,1,42,42.0,3,0,-3,100.0,0,100.0,0,4,4,0,0,0,0,0,2,1,3,3,0,0,0,0,0,1,1,48,25,0,0,4,2,1,34,36,2,11,1,0,0,Sunday,993004663,2,33,18789,5,1,3,0.5,0
202410902,2024-11-03T13:00:00,1,2024,9,ATL,DAL,HOME,27,21,48,Mercedes-Benz Stadium,7,7,7,6,0,29,20,29:20,17,5,12,0,56,310,5.5,4,30,100,3.3,1,24,19,210,3,0,8.8,11.1,79.2,142.71,13,4,30.8,2,2,100.0,3,3,0,0,4,26,3,1,2,12,8,5,5,245,49.0,1,0,-1,3,7,3,8,0,30,40,30:40,23,9,13,1,74,378,5.1,2,21,137,6.5,0,50,31,241,2,0,4.8,7.8,62.0,87.17,13,3,23.1,5,1,20.0,3,2,0,0,9,55,1,0,3,7,4,7,3,139,46.3,0,1,1,100.0,0,66.7,0,3,3,0,1,0,0,0,0,0,1,1,0,2,1,0,0,2,2,42,26,3,7,4,0,0,32,26,2,12,3,2,1,Sunday,993004704,2,9,18797,6,1,-1,0.3076923076923077,0
202411022,2024-11-10T13:00:00,1,2024,10,ATL,NO,AWAY,17,20,37,Caesars Superdome,0,7,10,0,0,35,7,35:07,25,9,12,4,73,468,6.4,2,32,181,5.7,2,38,23,287,0,1,7.6,12.5,60.5,73.03,14,5,35.7,2,1,50.0,3,1,0,0,6,45,2,0,3,19,1,2,3,144,48.0,1,0,-1,0,17,3,0,0,24,53,24:53,14,5,8,1,52,365,7.0,2,27,96,3.6,0,25,16,269,2,0,10.8,16.8,64.0,126.92,13,5,38.5,1,0,0.0,3,1,0,0,8,76,1,0,0,0,9,6,5,224,44.8,0,1,1,33.3,0,33.3,0,2,2,0,0,0,0,0,4,1,2,2,0,0,0,0,0,2,2,26,28,0,0,1,0,0,42,31,3,19,9,2,0,Sunday,993004739,2,22,18816,-3,0,-1,0.3571428571428571,0
