gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202410111,2024-09-08T20:20:00,1,2024,1,DET,LAR,HOME,26,20,46,Ford Field,0,10,7,3,6,29,45,29:45,21,12,7,2,61,363,6.0,3,31,163,5.3,2,28,18,200,1,1,7.1,11.1,64.3,82.44,13,6,46.2,1,1,100.0,4,2,0,0,6,56,0,0,2,17,12,7,4,230,57.5,1,1,0,3,0,7,10,0,34,56,34:56,26,8,15,3,74,387,5.2,2,23,83,3.6,1,49,34,304,1,1,6.2,8.9,69.4,84.06,12,5,41.7,2,1,50.0,5,2,0,0,6,50,0,0,2,13,5,3,3,141,47.0,1,1,0,50.0,0,40.0,0,2,2,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,2,46,28,2,13,5,0,0,35,36,2,17,3,0,0,Sunday,993004476,11,32,18670,6,1,0,0.4615384615384615,0
202410211,2024-09-15T13:00:00,1,2024,2,DET,TB,HOME,16,20,36,Ford Field,3,3,10,0,0,33,53,33:53,26,7,16,3,83,463,5.6,1,27,139,5.1,1,56,35,324,0,2,5.8,9.3,62.5,63.39,17,7,41.2,5,3,60.0,7,1,0,0,4,71,0,0,0,0,5,7,2,67,33.5,2,1,-1,6,7,7,0,0,26,7,26:07,14,3,9,2,47,216,4.6,2,23,70,3.0,1,19,12,146,1,1,7.7,12.2,63.2,82.35,10,2,20.0,0,0,0.0,2,1,0,0,4,35,2,0,5,39,10,4,5,230,46.0,1,2,1,14.3,0,50.0,0,1,1,0,0,0,0,0,3,3,2,2,0,0,0,0,0,2,2,33,13,5,39,4,2,0,54,30,0,0,9,0,0,Sunday,993004498,11,33,18693,-4,0,-1,0.4117647058823529,0
202410301,2024-09-22T16:25:00,1,2024,3,DET,ARI,AWAY,20,13,33,State Farm Stadium,7,13,0,0,0,36,49,36:49,23,12,11,0,68,373,5.5,3,43,187,4.3,1,23,18,186,2,1,8.1,10.3,78.3,111.23,12,6,50.0,1,0,0.0,2,2,0,0,9,79,0,0,2,13,4,3,5,247,49.4,1,1,0,7,3,0,3,0,23,11,23:11,17,2,10,5,53,277,5.2,1,18,77,4.3,0,34,21,200,1,1,5.9,9.5,61.8,75.61,9,1,11.1,2,0,0.0,1,1,0,0,4,30,0,0,1,7,2,6,5,260,52.0,1,1,0,100.0,0,100.0,0,3,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,31,18,1,7,6,0,0,41,42,2,13,1,0,0,Sunday,993004535,11,1,18704,7,1,0,0.5,0
202410411,2024-09-30T20:15:00,1,2024,4,DET,SEA,HOME,42,29,71,Ford Field,7,14,14,7,0,25,56,25:56,21,8,12,1,50,389,7.8,6,28,116,4.1,3,19,19,273,3,0,14.4,14.4,100.0,158.33,6,3,50.0,0,0,0.0,5,5,0,0,12,101,0,0,3,26,9,5,3,140,46.7,0,2,2,0,7,13,9,0,34,4,34:04,38,10,22,6,78,516,6.6,4,19,133,7.0,3,56,38,383,1,1,6.8,10.1,67.9,85.64,10,5,50.0,2,1,50.0,4,3,0,0,8,70,1,1,3,12,4,4,3,133,44.3,2,0,-2,100.0,0,75.0,0,6,6,0,0,0,0,0,0,0,3,3,0,2,0,0,0,1,0,47,16,3,12,9,1,1,35,24,3,26,0,0,0,Monday,993004574,11,30,18717,13,1,2,0.5,0
202410609,2024-10-13T16:25:00,1,2024,6,DET,DAL,AWAY,47,9,56,AT&T Stadium,7,20,10,10,0,34,43,34:43,27,12,14,1,66,492,7.5,5,36,184,5.1,2,27,19,308,3,0,11.4,16.2,70.4,145.29,10,4,40.0,2,1,50.0,5,3,0,0,8,63,1,0,3,26,11,5,0,0,0.0,0,5,5,3,3,3,0,0,25,17,25:17,16,2,10,4,65,251,3.9,0,17,53,3.1,0,44,25,198,0,3,4.5,7.9,56.8,39.77,13,3,23.1,4,1,25.0,3,0,0,0,4,30,2,2,4,26,7,4,2,93,46.5,5,0,-5,60.0,0,0.0,0,5,5,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,37,21,4,26,10,2,2,41,27,3,26,2,1,0,Sunday,993004623,11,9,18750,38,1,5,0.4,0
202410720,2024-10-20T13:00:00,1,2024,7,DET,MIN,AWAY,31,29,60,U.S. Bank Stadium,0,21,7,3,0,29,3,29:03,19,3,15,1,56,391,7.0,4,27,144,5.3,2,25,22,247,2,0,9.9,11.2,88.0,134.5,10,4,40.0,1,0,0.0,1,1,0,0,8,49,3,1,4,33,5,4,4,219,54.8,1,1,0,10,0,7,12,0,30,57,30:57,16,4,10,2,52,383,7.4,3,21,139,6.6,1,27,22,244,1,1,9.0,11.1,81.5,101.23,10,4,40.0,0,0,0.0,0,0,0,0,8,59,0,0,4,15,7,5,3,145,48.3,1,1,0,100.0,0,0.0,0,4,4,0,0,0,0,0,1,1,2,2,0,2,0,0,0,3,3,43,11,4,15,2,0,0,34,33,4,33,2,3,1,Sunday,993004635,11,20,18772,2,1,0,0.4,0
202410811,2024-10-27T13:00:00,1,2024,8,DET,TEN,HOME,52,14,66,Ford Field,14,21,17,0,0,24,23,24:23,17,5,9,3,47,225,4.8,7,24,164,6.8,2,19,15,61,4,0,3.2,4.1,78.9,119.63,9,3,33.3,0,0,0.0,5,5,0,0,3,29,2,0,4,33,5,3,5,305,61.0,0,4,4,7,7,0,0,0,35,37,35:37,23,9,12,2,71,416,5.9,2,32,158,4.9,1,38,22,258,1,2,6.8,11.7,57.9,65.46,11,3,27.3,2,1,50.0,4,2,0,0,8,60,3,2,1,8,5,7,6,296,49.3,4,0,-4,100.0,0,50.0,0,7,7,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,44,22,1,8,5,3,2,30,25,4,33,1,2,0,Sunday,993004676,11,34,18784,38,1,4,0.3333333333333333,0
202410912,2024-11-03T16:25:00,1,2024,9,DET,GB,AWAY,24,14,38,Lambeau Field,0,17,7,0,0,31,11,31:11,17,8,8,1,55,261,4.7,3,32,124,3.9,1,22,18,137,1,0,6.2,7.6,81.8,107.77,12,4,33.3,2,2,100.0,4,2,0,0,5,51,0,0,1,8,2,1,4,199,49.8,0,1,1,3,0,3,8,0,28,49,28:49,20,7,10,3,62,411,6.6,1,23,138,6.0,1,39,23,273,0,1,7.0,11.9,59.0,69.71,12,3,25.0,3,2,66.7,4,1,0,0,10,67,3,0,0,0,4,3,2,84,42.0,1,0,-1,50.0,0,25.0,0,3,3,0,0,0,0,0,1,1,0,0,0,2,1,0,0,3,2,35,19,0,0,3,0,0,30,38,1,8,0,0,0,Sunday,993004715,11,12,18794,10,1,1,0.3333333333333333,0
202411013,2024-11-10T20:20:00,1,2024,10,DET,HOU,AWAY,26,23,49,NRG Stadium,0,7,6,13,0,27,32,27:32,19,7,11,1,62,345,5.6,3,32,105,3.3,1,30,15,240,2,5,8.0,16.0,50.0,59.72,12,7,58.3,0,0,0.0,3,2,0,0,4,61,1,0,0,0,7,9,4,188,47.0,5,2,-3,10,13,0,0,0,32,28,32:28,16,3,12,1,65,248,3.8,2,28,56,2.0,1,33,19,192,1,2,5.8,10.1,57.6,59.15,15,6,40.0,0,0,0.0,4,2,0,0,4,30,1,0,4,40,5,3,5,275,55.0,2,5,3,66.7,0,50.0,0,2,2,0,1,0,0,0,2,2,2,2,0,0,0,0,0,4,3,48,18,4,40,7,1,0,33,29,0,0,9,1,0,Sunday,993004747,11,13,18808,3,1,-3,0.5833333333333334,0
202411111,2024-11-17T13:00:00,1,2024,11,DET,JAX,HOME,52,6,58,Ford Field,7,21,14,10,0,39,6,39:06,38,14,22,2,76,645,8.5,7,43,196,4.6,3,33,27,449,4,0,13.6,16.6,81.8,158.33,10,6,60.0,3,3,100.0,5,5,0,0,4,46,0,0,0,0,3,3,0,0,0.0,0,1,1,3,3,0,0,0,20,54,20:54,10,2,7,1,47,170,3.6,0,17,41,2.4,0,29,17,129,0,1,4.4,7.6,58.6,55.1,10,2,20.0,2,1,50.0,1,0,0,0,6,40,0,0,1,9,2,3,5,267,53.4,1,0,-1,100.0,0,0.0,0,7,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,25,22,1,9,2,0,0,52,31,0,0,1,0,0,Sunday,993004755,11,15,18828,46,1,1,0.6,0
