gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202410119,2024-09-08T13:00:00,1,2024,1,JAX,MIA,AWAY,17,20,37,Hard Rock Stadium,7,10,0,0,0,26,50,26:50,17,7,8,2,50,267,5.3,2,26,128,4.9,1,21,12,139,1,0,6.6,11.6,57.1,93.15,10,2,20.0,1,0,0.0,3,2,0,0,8,71,2,1,3,23,4,9,6,311,51.8,1,0,-1,0,7,7,6,0,33,10,33:10,18,5,11,2,65,400,6.2,2,25,81,3.2,1,37,23,319,1,0,8.6,13.9,62.2,98.82,16,8,50.0,2,0,0.0,2,1,0,0,9,103,0,0,3,19,4,6,4,198,49.5,0,1,1,66.7,0,50.0,0,2,2,0,0,0,0,0,1,1,2,2,0,0,0,0,0,3,2,40,22,3,19,5,0,0,32,20,3,23,1,2,1,Sunday,993004455,15,19,18680,-3,0,-1,0.2,0
202410215,2024-09-15T13:00:00,1,2024,2,JAX,CLE,HOME,13,18,31,EverBank Stadium,0,3,7,3,0,25,37,25:37,18,7,9,2,55,323,5.9,1,21,127,6.0,1,30,14,196,0,0,6.5,14.0,46.7,68.19,9,3,33.3,0,0,0.0,4,1,0,0,6,52,1,0,4,24,8,6,3,156,52.0,0,0,0,7,6,3,2,0,34,23,34:23,17,7,7,3,65,297,4.6,1,29,125,4.3,1,34,22,172,0,0,5.1,7.8,64.7,77.08,14,2,14.3,3,3,100.0,1,1,0,0,13,100,1,0,2,14,7,9,5,218,43.6,0,0,0,25.0,0,100.0,0,1,1,0,0,0,0,0,3,2,1,1,0,0,0,0,0,3,3,44,21,2,14,4,1,0,37,6,4,24,5,1,0,Sunday,993004484,15,8,18695,-5,0,0,0.3333333333333333,0
202410304,2024-09-23T19:30:00,1,2024,3,JAX,BUF,AWAY,10,47,57,Highmark Stadium,0,3,7,0,0,28,20,28:20,19,7,10,2,68,239,3.5,1,17,92,5.4,0,46,26,147,1,1,3.2,5.7,56.5,60.69,13,2,15.4,8,4,50.0,4,1,0,0,7,45,1,1,5,53,1,4,2,109,54.5,2,0,-2,13,21,3,10,0,31,40,31:40,25,9,15,1,60,388,6.5,6,29,122,4.2,2,31,24,266,4,0,8.6,11.1,77.4,141.94,11,6,54.5,2,2,100.0,5,4,0,0,6,47,0,0,0,0,10,6,1,49,49.0,0,2,2,25.0,0,80.0,0,1,1,0,0,0,0,0,1,1,6,5,1,0,0,0,0,2,2,33,33,0,0,3,0,0,39,20,5,53,8,1,1,Monday,993004539,15,4,18702,-37,0,-2,0.1538461538461538,0
202410413,2024-09-29T13:00:00,1,2024,4,JAX,HOU,AWAY,20,24,44,NRG Stadium,10,3,7,0,0,26,43,26:43,17,5,11,1,58,313,5.4,2,24,158,6.6,0,33,18,155,2,0,4.7,8.6,54.5,87.31,12,4,33.3,1,0,0.0,3,2,0,0,6,44,1,0,1,14,6,4,5,253,50.6,0,1,1,7,10,0,7,0,33,17,33:17,26,4,20,2,68,435,6.4,3,26,101,3.9,1,40,27,334,2,0,8.4,12.4,67.5,109.79,13,7,53.8,0,0,0.0,4,3,0,0,12,93,1,1,2,11,3,3,6,263,43.8,1,0,-1,66.7,0,75.0,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,0,0,1,1,46,19,2,11,5,0,1,33,17,1,14,5,0,0,Sunday,993004547,15,13,18728,-4,0,1,0.3333333333333333,0
202410515,2024-10-06T13:00:00,1,2024,5,JAX,IND,HOME,37,34,71,EverBank Stadium,0,13,7,17,0,28,28,28:28,20,6,13,1,57,497,8.7,4,23,126,5.5,2,34,28,371,2,1,10.9,13.2,82.4,119.49,10,3,30.0,2,1,50.0,4,2,0,0,3,25,2,1,0,0,5,5,2,102,51.0,2,1,-1,7,3,0,24,0,31,32,31:32,25,7,17,1,69,447,6.5,4,20,99,5.0,1,45,34,348,3,0,7.7,10.2,75.6,119.49,14,7,50.0,1,1,100.0,5,3,0,0,5,34,1,1,4,35,0,4,4,210,52.5,1,2,1,50.0,0,60.0,0,4,4,0,0,0,0,0,3,3,4,4,0,0,0,0,0,2,2,48,23,4,35,4,1,1,41,25,0,0,5,2,1,Sunday,993004580,15,14,18742,3,1,-1,0.3,0
202410606,2024-10-13T09:30:00,1,2024,6,JAX,CHI,AWAY,16,35,51,Tottenham Hotspur Stadium,3,0,7,6,0,29,20,29:20,17,3,14,0,60,278,4.6,2,20,68,3.4,0,36,24,210,2,1,5.8,8.8,66.7,88.89,15,7,46.7,2,2,100.0,3,2,0,0,8,43,2,1,4,30,5,3,4,193,48.2,2,1,-1,0,14,7,14,0,30,40,30:40,25,8,14,3,61,373,6.1,5,29,152,5.2,1,29,23,221,4,1,7.6,9.6,79.3,123.64,11,5,45.5,1,1,100.0,4,4,0,0,2,10,1,0,3,5,8,4,2,123,61.5,1,2,1,66.7,0,100.0,0,1,1,0,2,0,0,0,1,1,5,5,0,0,0,0,0,1,0,38,25,3,5,2,1,0,42,23,4,30,6,2,1,Sunday,993004605,15,6,18759,-19,0,-1,0.4666666666666667,0
202410715,2024-10-20T09:30:00,1,2024,7,JAX,NE,HOME,32,16,48,Wembley Stadium,0,22,3,7,0,33,15,33:15,23,13,9,1,59,364,6.2,4,39,171,4.4,2,20,15,193,1,0,9.6,12.9,75.0,121.46,10,6,60.0,1,0,0.0,5,3,0,0,4,24,0,0,0,0,3,5,2,70,35.0,0,0,0,7,3,0,6,0,26,45,26:45,17,2,13,2,54,295,5.5,2,15,38,2.5,0,37,26,257,2,0,6.9,9.9,70.3,107.6,12,6,50.0,1,0,0.0,2,2,0,0,7,35,0,0,2,19,0,2,4,209,52.2,0,0,0,60.0,0,100.0,0,3,3,0,2,1,0,0,1,1,1,1,0,2,0,0,0,1,1,29,27,2,19,4,0,0,38,30,0,0,2,0,0,Sunday,993004634,15,21,18774,16,1,0,0.6,0
202410815,2024-10-27T13:00:00,1,2024,8,JAX,GB,HOME,27,30,57,EverBank Stadium,0,10,7,10,0,25,51,25:51,19,5,14,0,56,390,7.0,3,23,91,4.0,1,32,21,299,2,1,9.3,14.2,65.6,103.52,9,1,11.1,1,1,100.0,3,3,0,0,8,59,2,1,1,9,4,5,5,298,59.6,2,1,-1,0,13,7,10,0,34,9,34:09,22,8,11,3,67,422,6.3,3,39,170,4.4,2,27,18,252,1,1,9.3,14.0,66.7,93.44,11,3,27.3,0,0,0.0,6,2,0,0,3,20,0,0,1,0,4,3,5,241,48.2,1,2,1,100.0,0,33.3,0,3,3,0,0,0,0,0,2,2,3,3,0,0,0,0,0,3,3,40,29,1,0,1,0,0,33,28,1,9,5,1,1,Sunday,993004666,15,12,18786,-3,0,-1,0.1111111111111111,0
202410926,2024-11-03T16:05:00,1,2024,9,JAX,PHI,AWAY,23,28,51,Lincoln Financial Field,0,0,16,7,0,21,48,21:48,14,4,9,1,51,215,4.2,3,18,60,3.3,2,31,16,155,0,2,5.0,9.7,51.6,39.05,10,3,30.0,2,1,50.0,3,2,0,0,4,17,1,1,2,14,3,6,5,238,47.6,3,1,-2,7,9,6,6,0,38,12,38:12,21,9,11,1,73,447,6.1,4,46,237,5.2,2,24,18,210,2,0,8.8,11.7,75.0,128.82,17,9,52.9,2,0,0.0,4,3,0,0,8,67,1,1,3,20,3,3,3,146,48.7,1,3,2,66.7,0,75.0,0,1,1,0,4,2,0,0,0,0,1,1,0,4,0,0,0,2,1,51,19,3,20,2,0,1,26,17,2,14,9,1,1,Sunday,993004712,15,26,18793,-5,0,-2,0.3,0
202411015,2024-11-10T13:00:00,1,2024,10,JAX,MIN,HOME,7,12,19,EverBank Stadium,7,0,0,0,0,17,41,17:41,10,4,5,1,43,143,3.3,1,18,56,3.1,1,22,14,87,0,2,4.0,6.2,63.6,33.71,11,5,45.5,0,0,0.0,1,1,0,0,3,25,1,1,3,24,3,4,5,274,54.8,3,3,0,3,0,3,6,0,42,19,42:19,28,10,15,3,82,402,4.9,0,43,169,3.9,0,38,24,233,0,3,6.1,9.7,63.2,47.37,14,5,35.7,1,1,100.0,5,0,0,0,6,40,0,0,1,8,4,8,2,72,36.0,3,3,0,100.0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,53,33,1,8,6,0,0,24,17,3,24,2,0,1,Sunday,993004732,15,20,18814,-5,0,0,0.4545454545454545,0
