gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202410119,2024-09-08T13:00:00,1,2024,1,MIA,JAX,HOME,20,17,37,Hard Rock Stadium,0,7,7,6,0,33,10,33:10,18,5,11,2,65,400,6.2,2,25,81,3.2,1,37,23,319,1,0,8.6,13.9,62.2,98.82,16,8,50.0,2,0,0.0,2,1,0,0,9,103,0,0,3,19,4,6,4,198,49.5,0,1,1,7,10,0,0,0,26,50,26:50,17,7,8,2,50,267,5.3,2,26,128,4.9,1,21,12,139,1,0,6.6,11.6,57.1,93.15,10,2,20.0,1,0,0.0,3,2,0,0,8,71,2,1,3,23,4,9,6,311,51.8,1,0,-1,50.0,0,66.7,0,2,2,0,0,0,0,0,3,2,2,2,0,0,0,0,0,1,1,32,20,3,23,1,2,1,40,22,3,19,5,0,0,Sunday,993004456,19,15,18680,3,1,1,0.5,0
202410219,2024-09-12T20:15:00,1,2024,2,MIA,BUF,HOME,10,31,41,Hard Rock Stadium,7,3,0,0,0,36,19,36:19,20,8,12,0,75,351,4.7,1,34,139,4.1,0,39,25,212,1,3,5.4,8.5,64.1,54.65,15,7,46.7,5,1,20.0,4,1,0,0,7,50,0,0,2,13,0,4,1,48,48.0,3,0,-3,7,17,7,0,0,23,41,23:41,13,7,5,1,45,247,5.5,4,26,108,4.2,2,19,13,139,1,0,7.3,10.7,68.4,107.13,9,3,33.3,1,1,100.0,2,2,0,0,1,5,1,0,0,0,5,10,3,149,49.7,0,3,3,25.0,0,100.0,0,1,1,0,0,0,0,0,1,1,4,4,0,0,0,0,0,2,1,30,18,0,0,3,0,0,52,20,2,13,4,0,0,Thursday,993004480,19,4,18700,-21,0,-3,0.4666666666666667,0
202410330,2024-09-22T16:05:00,1,2024,3,MIA,SEA,AWAY,3,24,27,Lumen Field,3,0,0,0,0,28,32,28:32,13,2,8,3,56,205,3.7,0,18,65,3.6,0,32,20,140,0,0,4.4,7.0,62.5,72.4,12,1,8.3,3,0,0.0,2,0,0,0,11,85,3,0,6,46,7,6,6,277,46.2,0,2,2,17,0,0,7,0,31,28,31:28,21,7,13,1,60,370,6.2,3,23,100,4.3,2,34,26,270,1,2,7.9,10.4,76.5,84.19,11,3,27.3,0,0,0.0,2,2,0,0,11,92,1,0,3,19,12,8,4,195,48.8,2,0,-2,0.0,0,100.0,0,0,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,2,1,37,29,3,19,5,0,0,37,21,6,46,3,2,0,Sunday,993004529,19,30,18708,-21,0,2,0.0833333333333333,0
202410419,2024-09-30T19:30:00,1,2024,4,MIA,TEN,HOME,12,31,43,Hard Rock Stadium,0,3,3,6,0,25,8,25:08,13,6,4,3,54,184,3.4,1,30,106,3.5,1,22,14,78,0,0,3.5,5.6,63.6,69.89,12,2,16.7,3,1,33.3,1,1,0,0,10,98,1,1,2,18,3,8,5,238,47.6,1,1,0,0,9,10,12,0,34,52,34:52,16,8,5,3,62,244,3.9,2,40,142,3.6,2,21,12,102,0,1,4.9,8.5,57.1,50.1,12,2,16.7,1,1,100.0,3,2,0,0,8,69,0,0,1,8,5,7,5,209,41.8,1,1,0,100.0,0,66.7,0,0,0,0,2,0,0,0,2,2,2,2,0,0,0,0,0,5,5,37,32,1,8,4,0,0,34,24,2,18,1,0,1,Monday,993004572,19,34,18718,-19,0,0,0.1666666666666666,0
202410521,2024-10-06T13:00:00,1,2024,5,MIA,NE,AWAY,15,10,25,Gillette Stadium,3,0,6,6,0,34,20,34:20,24,10,10,4,75,372,5.0,1,41,193,4.7,1,31,18,179,0,1,5.8,9.9,58.1,61.09,11,2,18.2,1,0,0.0,2,1,0,0,6,54,3,1,3,15,9,5,2,88,44.0,2,0,-2,7,0,3,0,0,25,40,25:40,15,5,8,2,55,299,5.4,1,19,151,7.9,1,34,18,148,0,0,4.4,8.2,52.9,64.34,13,4,30.8,1,0,0.0,2,0,0,0,12,105,0,0,2,12,5,5,6,310,51.7,0,2,2,50.0,0,0.0,0,0,0,0,2,0,0,0,4,3,1,1,0,0,0,0,0,2,1,33,21,2,12,6,0,0,47,35,3,15,5,1,1,Sunday,993004581,19,21,18743,5,1,-2,0.1818181818181818,0
202410714,2024-10-20T13:00:00,1,2024,7,MIA,IND,AWAY,10,16,26,Lucas Oil Stadium,7,3,0,0,0,31,11,31:11,18,9,8,1,68,337,5.0,1,40,188,4.7,0,26,15,149,1,0,5.7,9.9,57.7,86.86,15,6,40.0,1,0,0.0,3,1,0,0,6,50,2,2,2,12,4,5,6,286,47.7,2,1,-1,0,3,7,6,0,28,49,28:49,16,10,6,0,61,284,4.7,1,37,155,4.2,1,24,10,129,0,0,5.4,12.9,41.7,59.2,13,4,30.8,0,0,0.0,3,1,0,0,4,25,1,1,0,0,5,5,7,337,48.1,1,2,1,33.3,0,33.3,0,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,0,3,3,37,23,0,0,4,0,1,43,43,2,12,2,2,2,Sunday,993004644,19,14,18771,-6,0,-1,0.4,0
202410819,2024-10-27T13:00:00,1,2024,8,MIA,ARI,HOME,27,28,55,Hard Rock Stadium,10,3,7,7,0,30,31,30:31,22,7,15,0,64,377,5.9,3,25,150,6.0,2,38,28,227,1,0,6.0,8.1,73.7,97.15,15,11,73.3,0,0,0.0,4,3,0,0,2,15,4,0,1,7,1,2,2,92,46.0,0,0,0,0,7,11,10,0,29,29,29:29,22,6,15,1,62,389,6.3,3,26,82,3.2,1,36,26,307,2,0,8.5,11.8,72.2,116.32,13,7,53.8,0,0,0.0,3,2,0,0,4,29,1,0,0,0,3,5,3,160,53.3,0,0,0,75.0,0,66.7,0,3,3,0,0,0,0,0,2,2,2,2,0,1,0,0,0,2,2,39,21,0,0,5,1,0,35,30,1,7,4,2,0,Sunday,993004672,19,1,18787,-1,0,0,0.7333333333333333,0
202410904,2024-11-03T13:00:00,1,2024,9,MIA,BUF,AWAY,27,30,57,Highmark Stadium,3,7,3,14,0,31,53,31:53,26,10,14,2,60,373,6.2,3,31,149,4.8,1,28,25,224,2,0,8.0,9.0,89.3,123.81,8,4,50.0,1,1,100.0,4,3,0,0,8,57,1,1,1,7,3,4,1,37,37.0,1,1,0,3,3,14,10,0,28,7,28:07,24,5,15,4,59,325,5.5,3,19,94,4.9,0,39,25,231,3,1,5.9,9.2,64.1,95.14,10,5,50.0,1,1,100.0,5,2,0,0,4,40,0,0,1,4,2,5,1,49,49.0,1,1,0,75.0,0,40.0,0,3,3,0,0,0,0,0,2,2,2,1,0,2,1,0,0,3,3,35,20,1,4,2,0,0,43,26,1,7,1,1,1,Sunday,993004707,19,4,18799,-3,0,0,0.5,0
202411032,2024-11-11T20:15:00,1,2024,10,MIA,LAR,AWAY,23,15,38,SoFi Stadium,7,3,7,6,0,29,48,29:48,15,3,11,1,53,238,4.5,2,22,67,3.0,1,28,20,171,1,1,6.1,8.6,71.4,84.08,13,6,46.2,0,0,0.0,3,2,0,0,1,15,1,1,3,36,6,7,3,134,44.7,2,2,0,0,6,0,9,0,30,12,30:12,20,4,16,0,68,327,4.8,0,18,70,3.9,0,46,32,257,0,1,5.6,8.0,69.6,74.28,12,3,25.0,0,0,0.0,3,0,0,0,6,64,3,1,4,36,4,10,3,148,49.3,2,2,0,66.7,0,0.0,0,2,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,5,39,30,4,36,6,2,1,39,15,3,36,4,1,1,Monday,993004749,19,32,18807,8,1,0,0.4615384615384615,0
202411119,2024-11-17T13:00:00,1,2024,11,MIA,LV,HOME,34,19,53,Hard Rock Stadium,7,3,7,17,0,33,12,33:12,25,4,18,3,64,353,5.5,4,26,82,3.2,1,36,28,271,3,0,7.5,9.7,77.8,125.81,12,8,66.7,2,2,100.0,4,3,0,0,4,23,1,0,2,17,4,4,0,0,0.0,0,1,1,3,3,6,7,0,26,48,26:48,22,3,17,2,62,328,5.3,2,16,60,3.8,0,43,30,268,2,1,6.2,8.9,69.8,92.01,14,8,57.1,2,2,100.0,3,1,0,0,7,49,0,0,3,14,2,10,1,54,54.0,1,0,-1,75.0,0,33.3,0,4,4,0,0,0,0,0,2,2,1,1,0,1,0,0,0,2,2,37,21,3,14,3,0,0,40,32,2,17,2,1,0,Sunday,993004762,19,25,18829,15,1,1,0.6666666666666666,0
202411219,2024-11-24T13:00:00,1,2024,12,MIA,NE,HOME,34,15,49,Hard Rock Stadium,0,24,7,3,0,32,4,32:04,23,2,19,2,66,373,5.7,4,24,65,2.7,0,40,29,308,4,0,7.7,10.6,72.5,127.92,12,4,33.3,0,0,0.0,4,3,0,0,3,17,1,1,2,9,8,6,5,240,48.0,1,2,1,0,0,0,15,0,27,56,27:56,14,4,8,2,63,268,4.3,2,21,86,4.1,0,38,22,182,1,1,4.8,8.3,57.9,68.09,14,3,21.4,3,1,33.3,0,0,0,0,10,75,1,1,4,39,2,5,5,259,51.8,2,1,-1,75.0,0,0.0,0,4,4,0,0,0,0,0,2,2,1,1,0,2,1,0,0,1,0,39,19,4,39,6,1,1,39,28,2,9,9,1,1,Sunday,993004794,19,21,18844,19,1,1,0.3333333333333333,0
202411312,2024-11-28T20:20:00,1,2024,13,MIA,GB,AWAY,17,30,47,Lambeau Field,0,3,8,6,0,33,4,33:04,21,1,20,0,65,375,5.8,2,14,39,2.8,0,46,37,336,2,0,7.3,9.1,80.4,111.59,14,4,28.6,5,3,60.0,4,2,0,0,10,75,2,1,5,29,3,3,3,146,48.7,1,0,-1,14,10,3,3,0,26,56,26:56,19,7,11,1,53,388,7.3,3,25,114,4.6,1,28,21,274,2,0,9.8,13.0,75.0,129.17,11,5,45.5,0,0,0.0,5,3,0,0,7,44,0,0,0,0,6,9,4,172,43.0,0,1,1,50.0,0,60.0,0,0,0,0,4,1,0,0,1,1,3,3,0,0,0,0,0,3,3,29,30,0,0,4,0,0,46,20,5,29,3,1,1,Thursday,993004809,19,12,18861,-13,0,-1,0.2857142857142857,0
202411419,2024-12-08T13:00:00,1,2024,14,MIA,NYJ,HOME,32,26,58,Hard Rock Stadium,6,9,0,11,6,32,53,32:53,28,3,21,4,66,375,5.7,3,19,44,2.3,1,47,33,331,2,0,7.0,10.0,70.2,104.12,9,1,11.1,2,2,100.0,4,3,0,0,8,49,0,0,0,0,6,5,3,148,49.3,0,0,0,3,10,10,3,0,31,2,31:02,23,3,18,2,63,402,6.4,2,21,83,4.0,1,39,27,319,1,0,8.2,11.8,69.2,102.4,12,4,33.3,2,2,100.0,5,2,0,0,10,83,0,0,3,20,0,4,2,96,48.0,0,0,0,75.0,0,40.0,0,1,0,0,2,1,0,0,4,4,2,2,0,0,0,0,0,4,4,34,27,3,20,4,0,0,42,21,0,0,4,0,0,Sunday,993004852,19,24,18869,6,1,0,0.1111111111111111,0
202411513,2024-12-15T13:00:00,1,2024,15,MIA,HOU,AWAY,12,20,32,NRG Stadium,0,6,6,0,0,33,24,33:24,18,3,11,4,62,224,3.6,1,19,52,2.7,0,40,29,172,1,3,4.3,5.9,72.5,57.5,13,4,30.8,2,2,100.0,2,1,0,0,8,64,2,1,3,24,6,6,3,181,60.3,4,1,-3,3,10,7,0,0,26,36,26:36,12,3,8,1,50,181,3.6,2,20,77,3.8,0,26,18,104,2,0,4.0,5.8,69.2,102.08,13,5,38.5,1,1,100.0,3,2,0,0,7,70,2,1,4,27,3,6,5,250,50.0,1,4,3,50.0,0,66.7,0,1,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,2,34,15,4,27,1,1,1,37,31,3,24,5,2,1,Sunday,993004869,19,13,18887,-8,0,-3,0.3076923076923077,0
202411619,2024-12-22T16:25:00,1,2024,16,MIA,SF,HOME,29,17,46,Hard Rock Stadium,3,10,6,10,0,33,6,33:06,22,6,13,3,64,381,6.0,2,30,166,5.5,1,34,22,215,1,0,6.3,9.8,64.7,92.16,12,4,33.3,0,0,0.0,3,1,0,0,6,45,1,0,0,0,6,3,2,98,49.0,0,1,1,0,10,0,7,0,26,54,26:54,20,3,16,1,61,374,6.1,2,18,81,4.5,0,40,26,293,2,1,7.3,11.3,65.0,93.02,13,5,38.5,1,0,0.0,5,2,0,0,11,90,0,0,3,20,1,3,4,180,45.0,1,0,-1,33.3,0,40.0,0,2,2,0,0,0,0,0,5,5,2,2,0,0,0,0,0,2,1,34,26,3,20,4,0,0,38,27,0,0,5,0,0,Sunday,993004918,19,31,18896,12,1,1,0.3333333333333333,0
202411708,2024-12-29T16:05:00,1,2024,17,MIA,CLE,AWAY,20,3,23,Huntington Bank Field,3,3,7,7,0,30,41,30:41,18,4,12,2,57,280,4.9,2,27,74,2.7,1,26,22,206,1,0,7.9,9.4,84.6,112.5,11,2,18.2,1,0,0.0,2,2,0,0,11,94,1,0,4,19,6,4,7,307,43.9,0,2,2,0,3,0,0,0,29,19,29:19,18,8,7,3,76,276,3.6,0,28,114,4.1,0,47,24,162,0,1,3.4,6.8,51.1,50.13,17,7,41.2,4,0,0.0,3,0,0,0,9,84,1,1,1,8,8,12,5,250,50.0,2,0,-2,100.0,0,0.0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,38,28,1,8,5,1,1,39,28,4,19,0,0,0,Sunday,993004951,19,8,18910,17,1,2,0.1818181818181818,0
202411824,2025-01-05T16:25:00,1,2024,18,MIA,NYJ,AWAY,20,32,52,MetLife Stadium,6,0,0,14,0,32,4,32:04,21,7,14,0,68,334,4.9,2,23,135,5.9,1,41,25,199,1,2,4.9,8.0,61.0,60.92,12,3,25.0,3,3,100.0,5,2,0,0,4,32,5,2,4,28,5,5,3,121,40.3,4,1,-3,0,15,3,14,0,27,56,27:56,22,7,14,1,62,375,6.0,4,22,118,5.4,0,37,23,257,4,1,6.9,11.2,62.2,107.6,12,5,41.7,2,1,50.0,5,4,0,0,6,35,1,0,3,17,9,11,4,157,39.2,1,4,3,40.0,0,80.0,0,2,2,0,0,0,0,0,2,2,3,3,0,0,0,1,1,1,1,34,23,3,17,6,0,0,42,17,4,28,5,3,2,Sunday,993004979,19,24,18932,-12,0,-3,0.25,0
