gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202410131,2024-09-09T20:15:00,1,2024,1,NYJ,SF,AWAY,19,32,51,Levi's Stadium,7,0,6,6,0,21,20,21:20,14,3,11,0,49,266,5.4,3,19,68,3.6,1,29,19,198,2,1,6.8,10.4,65.5,93.75,10,6,60.0,1,0,0.0,2,2,0,0,3,10,1,1,1,5,4,3,3,160,53.3,2,0,-2,3,13,10,6,0,38,40,38:40,24,10,12,2,70,401,5.7,2,38,180,4.7,2,29,19,221,0,0,7.6,11.6,65.5,88.43,13,6,46.2,0,0,0.0,5,2,0,0,4,40,0,0,3,10,4,1,1,58,58.0,0,2,2,100.0,0,40.0,0,1,1,0,3,0,0,0,0,0,2,2,0,0,0,0,0,6,6,49,20,3,10,4,0,0,29,13,1,5,4,1,1,Monday,993004477,24,31,18669,-13,0,-2,0.6,0
202410234,2024-09-15T13:00:00,1,2024,2,NYJ,TEN,AWAY,24,17,41,Nissan Stadium,0,7,10,7,0,30,3,30:03,16,6,9,1,56,265,4.7,3,24,101,4.2,1,30,18,164,2,0,5.5,9.1,60.0,97.08,12,5,41.7,0,0,0.0,2,1,0,0,7,70,0,0,2,12,6,6,6,302,50.3,0,2,2,7,3,7,0,0,29,57,29:57,20,9,7,4,60,300,5.0,2,28,130,4.6,1,28,19,170,1,1,6.1,8.9,67.9,80.95,12,5,41.7,1,0,0.0,4,1,0,0,5,45,1,1,4,22,3,6,4,226,56.5,2,0,-2,50.0,0,25.0,0,3,3,0,0,0,0,0,1,1,2,2,0,0,0,0,0,1,1,47,15,4,22,5,1,1,38,14,2,12,2,0,0,Sunday,993004487,24,34,18698,7,1,2,0.4166666666666667,0
202410324,2024-09-19T20:15:00,1,2024,3,NYJ,NE,HOME,24,3,27,MetLife Stadium,7,7,7,3,0,40,4,40:04,27,9,16,2,70,400,5.7,3,33,133,4.0,1,35,27,267,2,0,7.6,9.9,77.1,117.2,15,10,66.7,0,0,0.0,4,3,0,0,8,106,1,0,2,14,15,5,3,122,40.7,0,1,1,0,3,0,0,0,19,56,19:56,11,3,6,2,48,139,2.9,0,15,78,5.2,0,26,16,61,0,0,2.3,3.8,61.5,65.87,11,2,18.2,3,3,100.0,1,0,0,0,5,70,1,1,7,59,4,5,5,245,49.0,1,0,-1,75.0,0,0.0,0,3,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,28,19,7,59,2,1,1,49,25,2,14,1,1,0,Thursday,993004512,24,21,18716,21,1,1,0.6666666666666666,0
202410424,2024-09-29T13:00:00,1,2024,4,NYJ,DEN,HOME,9,10,19,MetLife Stadium,0,6,0,3,0,31,44,31:44,16,4,10,2,70,248,3.5,0,23,64,2.8,0,42,24,184,0,0,4.4,7.7,57.1,67.96,17,4,23.5,1,0,0.0,2,0,0,0,13,90,1,1,5,41,2,7,7,316,45.1,1,1,0,0,0,7,3,0,28,16,28:16,12,8,3,1,56,186,3.3,1,31,126,4.1,0,25,12,60,1,0,2.4,5.0,48.0,67.92,14,3,21.4,0,0,0.0,1,1,0,0,5,74,1,1,0,0,14,8,8,339,42.4,1,1,0,0.0,0,100.0,0,0,0,0,0,0,0,0,4,3,1,1,0,0,0,0,0,2,1,31,26,0,0,2,1,1,46,27,5,41,4,1,1,Sunday,993004546,24,10,18730,-1,0,0,0.2352941176470588,0
202410520,2024-10-06T09:30:00,1,2024,5,NYJ,MIN,AWAY,17,23,40,Tottenham Hotspur Stadium,0,7,3,7,0,29,23,29:23,17,2,13,2,71,254,3.6,2,14,36,2.6,0,54,29,218,2,3,4.0,7.5,53.7,52.85,17,5,29.4,1,0,0.0,3,2,0,0,8,76,1,0,3,26,7,6,6,295,49.2,3,2,-1,10,7,0,6,0,30,37,30:37,17,4,8,5,66,253,3.8,2,30,82,2.7,1,32,15,171,0,1,5.3,11.4,46.9,50.39,13,4,30.8,1,0,0.0,1,1,0,0,11,80,2,1,4,32,11,4,4,185,46.2,2,3,1,66.7,0,100.0,0,2,2,0,0,0,0,0,1,1,2,2,0,0,0,0,0,3,3,41,16,4,32,6,0,1,41,15,3,26,9,1,0,Sunday,993004577,24,20,18745,-6,0,-1,0.2941176470588235,0
202410624,2024-10-14T20:15:00,1,2024,6,NYJ,BUF,HOME,20,23,43,MetLife Stadium,10,7,3,0,0,30,26,30:26,20,5,12,3,59,393,6.7,2,21,121,5.8,0,35,23,272,2,1,7.8,11.8,65.7,96.37,12,4,33.3,0,0,0.0,4,1,0,0,11,110,1,0,3,22,2,2,2,96,48.0,1,0,-1,7,13,0,3,0,29,34,29:34,24,10,10,4,60,359,6.0,3,33,149,4.5,1,25,19,210,2,0,8.4,11.1,76.0,127.08,11,5,45.5,0,0,0.0,4,3,0,0,11,94,1,0,2,5,5,5,3,159,53.0,0,1,1,25.0,0,75.0,0,2,2,0,0,0,0,0,4,2,3,2,0,0,0,0,0,2,1,40,26,2,5,2,1,0,40,20,3,22,8,1,0,Monday,993004630,24,4,18747,-3,0,-1,0.3333333333333333,0
202410728,2024-10-20T20:20:00,1,2024,7,NYJ,PIT,AWAY,15,37,52,Acrisure Stadium,7,8,0,0,0,27,51,27:51,17,3,13,1,55,323,5.9,2,15,54,3.6,1,39,24,269,1,2,6.9,11.2,61.5,69.28,10,3,30.0,2,1,50.0,3,2,0,0,5,50,2,0,1,7,5,4,4,177,44.2,2,0,-2,3,10,10,14,0,32,9,32:09,21,8,12,1,66,409,6.2,4,36,149,4.1,2,29,16,260,2,0,9.0,16.2,55.2,108.41,14,5,35.7,2,2,100.0,6,4,0,0,4,36,0,0,1,4,8,5,4,184,46.0,0,2,2,66.7,0,66.7,0,1,1,0,2,1,0,0,1,0,4,4,0,0,0,0,0,3,3,40,29,1,4,3,0,0,35,16,1,7,6,1,0,Sunday,993004655,24,28,18763,-22,0,-2,0.3,0
202410821,2024-10-27T13:00:00,1,2024,8,NYJ,NE,AWAY,22,25,47,Gillette Stadium,6,7,3,6,0,29,34,29:34,22,6,12,4,57,336,5.9,3,28,112,4.0,1,28,17,224,2,0,8.0,13.2,60.7,109.82,10,4,40.0,0,0,0.0,5,3,0,0,8,55,2,0,1,9,4,5,4,177,44.2,0,0,0,7,0,7,11,0,30,26,30:26,19,10,7,2,63,248,3.9,3,31,112,3.6,3,30,18,136,0,0,4.5,7.6,60.0,70.97,15,7,46.7,1,1,100.0,4,3,0,0,5,50,2,0,2,19,5,2,5,236,47.2,0,0,0,60.0,0,75.0,0,2,1,0,2,0,0,0,2,1,2,2,0,2,1,0,0,1,1,40,29,2,19,3,1,0,29,30,1,9,3,1,0,Sunday,993004673,24,21,18788,-3,0,0,0.4,0
202410924,2024-10-31T20:15:00,1,2024,9,NYJ,HOU,HOME,21,13,34,MetLife Stadium,0,0,7,14,0,26,18,26:18,17,4,11,2,55,293,5.3,3,21,100,4.8,0,32,22,193,3,0,6.0,8.8,68.8,115.76,12,5,41.7,1,1,100.0,3,2,0,0,9,83,2,1,2,18,11,10,5,274,54.8,1,1,0,0,7,3,3,0,33,42,33:42,21,10,6,5,75,322,4.3,1,36,187,5.2,1,31,11,135,0,0,4.4,12.3,35.5,49.8,17,6,35.3,2,2,100.0,4,1,0,0,7,60,2,1,8,56,4,7,3,154,51.3,1,1,0,66.7,0,25.0,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,2,46,20,8,56,4,1,1,29,23,2,18,4,1,0,Thursday,993004694,24,13,18806,8,1,0,0.4166666666666667,0
202411001,2024-11-10T16:25:00,1,2024,10,NYJ,ARI,AWAY,6,31,37,State Farm Stadium,3,3,0,0,0,27,18,27:18,17,5,10,2,55,207,3.8,0,17,79,4.6,0,35,22,128,0,0,3.7,5.8,62.9,69.7,13,6,46.2,3,1,33.3,3,0,0,0,3,25,1,1,3,23,2,3,2,93,46.5,1,0,-1,14,10,7,0,0,32,42,32:42,28,11,15,2,57,406,7.1,4,32,147,4.6,3,24,22,259,1,0,10.8,11.8,91.7,125.52,7,5,71.4,1,1,100.0,5,4,0,0,5,58,1,0,1,7,5,5,1,40,40.0,0,1,1,0.0,0,80.0,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,0,0,1,1,30,42,1,7,0,1,0,33,17,3,23,6,1,1,Sunday,993004745,24,1,18809,-25,0,-1,0.4615384615384615,0
