gamekey,date,seasontype,season,week,team,opponent,home_away,points_for,points_against,totalscore,stadium,scorequarter1,scorequarter2,scorequarter3,scorequarter4,scoreovertime,timeofpossessionminutes,timeofpossessionseconds,timeofpossession,firstdowns,firstdownsbyrushing,firstdownsbypassing,firstdownsbypenalty,offensiveplays,offensiveyards,offensiveyardsperplay,touchdowns,rushingattempts,rushingyards,rushingyardsperattempt,rushingtouchdowns,passingattempts,passingcompletions,passingyards,passingtouchdowns,passinginterceptions,passingyardsperattempt,passingyardspercompletion,completionpercentage,passerrating,thirddownattempts,thirddownconversions,thirddownpercentage,fourthdownattempts,fourthdownconversions,fourthdownpercentage,redzoneattempts,redzoneconversions,goaltogoattempts,goaltogoconversions,penalties,penaltyyards,fumbles,fumbleslost,timessacked,timessackedyards,quarterbackhits,tacklesforloss,punts,puntyards,puntaverage,giveaways,takeaways,turnoverdifferential,opponentscorequarter1,opponentscorequarter2,opponentscorequarter3,opponentscorequarter4,opponentscoreovertime,opponenttimeofpossessionminutes,opponenttimeofpossessionseconds,opponenttimeofpossession,opponentfirstdowns,opponentfirstdownsbyrushing,opponentfirstdownsbypassing,opponentfirstdownsbypenalty,opponentoffensiveplays,opponentoffensiveyards,opponentoffensiveyardsperplay,opponenttouchdowns,opponentrushingattempts,opponentrushingyards,opponentrushingyardsperattempt,opponentrushingtouchdowns,opponentpassingattempts,opponentpassingcompletions,opponentpassingyards,opponentpassingtouchdowns,opponentpassinginterceptions,opponentpassingyardsperattempt,opponentpassingyardspercompletion,opponentcompletionpercentage,opponentpasserrating,opponentthirddownattempts,opponentthirddownconversions,opponentthirddownpercentage,opponentfourthdownattempts,opponentfourthdownconversions,opponentfourthdownpercentage,opponentredzoneattempts,opponentredzoneconversions,opponentgoaltogoattempts,opponentgoaltogoconversions,opponentpenalties,opponentpenaltyyards,opponentfumbles,opponentfumbleslost,opponenttimessacked,opponenttimessackedyards,opponentquarterbackhits,opponenttacklesforloss,opponentpunts,opponentpuntyards,opponentpuntaverage,opponentgiveaways,opponenttakeaways,opponentturnoverdifferential,redzonepercentage,goaltogopercentage,opponentredzonepercentage,opponentgoaltogopercentage,extrapointkickingattempts,extrapointkickingconversions,extrapointshadblocked,extrapointpassingattempts,extrapointpassingconversions,extrapointrushingattempts,extrapointrushingconversions,fieldgoalattempts,fieldgoalsmade,opponentextrapointkickingattempts,opponentextrapointkickingconversions,opponentextrapointshadblocked,opponentextrapointpassingattempts,opponentextrapointpassingconversions,opponentextrapointrushingattempts,opponentextrapointrushingconversions,opponentfieldgoalattempts,opponentfieldgoalsmade,solotackles,assistedtackles,sacks,sackyards,passesdefended,fumblesforced,fumblesrecovered,opponentsolotackles,opponentassistedtackles,opponentsacks,opponentsackyards,opponentpassesdefended,opponentfumblesforced,opponentfumblesrecovered,dayofweek,teamgameid,teamid,opponentid,scoreid,point_diff,win,turnover_diff,third_down_pct,home
202410102,2024-09-08T13:00:00,1,2024,1,PIT,ATL,AWAY,18,10,28,Mercedes-Benz Stadium,3,6,6,3,0,35,36,35:36,16,9,6,1,66,270,4.1,0,41,137,3.3,0,23,17,133,0,0,5.8,7.8,73.9,87.77,17,8,47.1,1,0,0.0,2,0,0,0,9,60,1,0,2,23,7,3,3,146,48.7,0,3,3,3,7,0,0,0,24,24,24:24,15,6,8,1,50,226,4.5,1,22,89,4.0,0,26,16,137,1,2,5.3,8.6,61.5,56.09,9,2,22.2,1,1,100.0,2,1,0,0,5,34,1,1,2,18,5,7,4,210,52.5,3,0,-3,0.0,0,50.0,0,0,0,0,0,0,0,0,6,6,1,1,0,0,0,0,0,1,1,32,19,2,18,5,0,1,51,29,2,23,1,0,0,Sunday,993004457,28,2,18675,8,1,3,0.4705882352941176,0
202410210,2024-09-15T16:25:00,1,2024,2,PIT,DEN,AWAY,13,6,19,Empower Field at Mile High,7,3,3,0,0,32,19,32:19,16,4,7,5,58,251,4.3,1,36,141,3.9,0,20,13,110,1,0,5.5,8.5,65.0,95.83,13,4,30.8,0,0,0.0,2,1,0,0,10,78,1,0,2,7,7,6,8,424,53.0,0,2,2,0,0,0,6,0,27,41,27:41,13,5,8,0,56,295,5.3,0,19,64,3.4,0,35,20,231,0,2,6.6,11.6,57.1,53.39,12,2,16.7,2,1,50.0,3,0,0,0,9,124,0,0,2,15,6,4,6,315,52.5,2,0,-2,50.0,0,0.0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,36,20,2,15,6,0,0,38,30,2,7,1,0,0,Sunday,993004503,28,10,18687,7,1,2,0.3076923076923077,0
202410328,2024-09-22T13:00:00,1,2024,3,PIT,LAC,HOME,20,10,30,Acrisure Stadium,0,7,3,10,0,33,51,33:51,20,7,9,4,65,346,5.3,2,31,114,3.7,1,32,25,232,1,1,7.2,9.3,78.1,94.27,14,7,50.0,0,0,0.0,4,1,0,0,3,15,0,0,2,13,7,7,3,156,52.0,1,0,-1,7,3,0,0,0,26,9,26:09,10,3,7,0,45,166,3.7,1,20,61,3.0,0,20,14,105,1,0,5.2,7.5,70.0,98.96,11,3,27.3,0,0,0.0,1,0,0,0,7,69,2,0,5,44,5,8,7,350,50.0,0,1,1,25.0,0,0.0,0,2,2,0,0,0,0,0,3,2,1,1,0,0,0,0,0,1,1,34,19,5,44,1,1,0,47,30,2,13,4,0,0,Sunday,993004518,28,29,18713,10,1,-1,0.5,0
202410414,2024-09-29T13:00:00,1,2024,4,PIT,IND,AWAY,24,27,51,Lucas Oil Stadium,0,3,7,14,0,31,7,31:07,23,10,11,2,68,404,5.9,3,30,122,4.1,2,34,22,282,1,0,8.3,12.8,64.7,100.37,13,6,46.2,2,0,0.0,4,3,0,0,6,53,3,2,4,30,8,4,3,103,34.3,2,0,-2,14,3,0,10,0,28,53,28:53,22,7,13,2,64,358,5.6,3,32,133,4.2,1,30,19,225,2,0,7.5,11.8,63.3,108.33,15,8,53.3,0,0,0.0,5,3,0,0,4,38,1,0,2,14,9,5,4,170,42.5,0,2,2,75.0,0,60.0,0,3,3,0,0,0,0,0,1,1,3,3,0,0,0,0,0,3,2,39,30,2,14,2,1,0,47,19,4,30,5,2,2,Sunday,993004553,28,14,18729,-3,0,-2,0.4615384615384615,0
202410528,2024-10-06T20:20:00,1,2024,5,PIT,DAL,HOME,17,20,37,Acrisure Stadium,3,0,7,7,0,27,31,27:31,17,6,7,4,57,226,4.0,2,26,92,3.5,0,28,16,134,2,0,4.8,8.4,57.1,93.45,12,3,25.0,2,2,100.0,2,2,0,0,8,50,2,1,3,16,6,3,5,222,44.4,1,3,2,3,3,0,14,0,32,29,32:29,25,9,14,2,75,445,5.9,2,31,109,3.5,0,42,29,336,2,2,8.0,11.6,69.0,88.99,15,9,60.0,1,1,100.0,4,1,0,0,11,87,2,1,2,16,8,4,1,45,45.0,3,1,-2,100.0,0,25.0,0,2,2,0,0,0,0,0,1,1,2,2,0,0,0,0,0,3,2,51,22,2,16,6,2,1,35,21,3,16,5,2,1,Sunday,993004600,28,9,18734,-3,0,2,0.25,0
202410625,2024-10-13T16:05:00,1,2024,6,PIT,LV,AWAY,32,13,45,Allegiant Stadium,3,9,10,10,0,31,51,31:51,18,10,6,2,62,293,4.7,3,35,183,5.2,3,24,14,110,0,0,4.6,7.9,58.3,69.79,13,4,30.8,1,1,100.0,4,2,0,0,7,50,1,0,3,35,3,7,3,137,45.7,0,3,3,7,0,0,6,0,28,9,28:09,16,5,11,0,60,275,4.6,2,19,57,3.0,1,40,27,218,1,1,5.4,8.1,67.5,78.96,11,2,18.2,3,1,33.3,3,2,0,0,4,42,3,2,1,9,6,8,3,170,56.7,3,0,-3,50.0,0,66.7,0,2,2,0,2,0,0,0,4,4,1,1,0,2,0,0,0,0,0,40,18,1,9,5,2,2,34,41,3,35,4,0,0,Sunday,993004619,28,25,18752,19,1,3,0.3076923076923077,0
202410728,2024-10-20T20:20:00,1,2024,7,PIT,NYJ,HOME,37,15,52,Acrisure Stadium,3,10,10,14,0,32,9,32:09,21,8,12,1,66,409,6.2,4,36,149,4.1,2,29,16,260,2,0,9.0,16.2,55.2,108.41,14,5,35.7,2,2,100.0,6,4,0,0,4,36,0,0,1,4,8,5,4,184,46.0,0,2,2,7,8,0,0,0,27,51,27:51,17,3,13,1,55,323,5.9,2,15,54,3.6,1,39,24,269,1,2,6.9,11.2,61.5,69.28,10,3,30.0,2,1,50.0,3,2,0,0,5,50,2,0,1,7,5,4,4,177,44.2,2,0,-2,66.7,0,66.7,0,4,4,0,0,0,0,0,3,3,1,1,0,2,1,0,0,1,0,35,16,1,7,6,1,0,40,29,1,4,3,0,0,Sunday,993004656,28,24,18763,22,1,2,0.3571428571428571,0
202410828,2024-10-28T20:15:00,1,2024,8,PIT,NYG,HOME,26,18,44,Acrisure Stadium,6,3,7,10,0,29,18,29:18,20,6,12,2,63,426,6.8,2,31,167,5.4,0,28,20,259,1,0,9.2,13.0,71.4,112.05,13,6,46.2,0,0,0.0,4,0,0,0,5,50,1,1,4,19,12,6,3,131,43.7,1,2,1,3,6,0,9,0,30,42,30:42,17,6,10,1,67,394,5.9,1,25,157,6.3,1,38,24,237,0,1,6.2,9.9,63.2,69.74,15,5,33.3,1,1,100.0,3,0,0,0,11,65,1,1,4,27,8,5,4,192,48.0,2,1,-1,0.0,0,0.0,0,2,2,0,0,0,0,0,4,4,0,0,0,2,0,0,0,4,4,40,30,4,27,4,1,1,40,33,4,19,2,1,1,Monday,993004692,28,23,18776,8,1,1,0.4615384615384615,0
202411035,2024-11-10T13:00:00,1,2024,10,PIT,WAS,AWAY,28,27,55,Northwest Stadium,7,7,7,7,0,36,11,36:11,21,9,9,3,75,312,4.2,4,43,140,3.3,1,29,14,172,3,1,5.9,12.3,48.3,87.14,16,7,43.8,2,1,50.0,4,3,0,0,5,49,1,1,3,23,6,9,5,212,42.4,2,1,-1,7,10,10,0,0,23,49,23:49,19,9,7,3,59,242,4.1,3,22,60,2.7,3,34,17,182,0,0,5.4,10.7,50.0,66.05,14,5,35.7,1,0,0.0,3,3,0,0,5,41,2,1,3,20,6,5,6,330,55.0,1,2,1,75.0,0,100.0,0,4,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,2,2,40,7,3,20,5,0,1,38,41,3,23,2,1,1,Sunday,993004735,28,35,18818,1,1,-1,0.4375,0
202411128,2024-11-17T13:00:00,1,2024,11,PIT,BAL,HOME,18,16,34,Acrisure Stadium,3,6,6,3,0,36,22,36:22,18,7,9,2,74,303,4.1,0,34,122,3.6,0,36,23,181,0,1,5.0,7.9,63.9,64.7,16,4,25.0,1,0,0.0,4,0,0,0,7,45,0,0,4,24,6,3,4,226,56.5,1,3,2,0,7,3,6,0,23,38,23:38,16,5,9,2,54,329,6.1,2,19,124,6.5,1,33,16,205,1,1,6.2,12.8,48.5,65.85,11,4,36.4,0,0,0.0,2,2,0,0,12,80,2,2,2,2,8,7,4,217,54.2,3,1,-2,0.0,0,100.0,0,0,0,0,0,0,0,0,6,6,1,1,0,1,0,0,0,3,1,20,29,2,2,6,2,2,46,36,4,24,6,0,0,Sunday,993004764,28,3,18832,2,1,2,0.25,0
