Variable,Data Type,Missing %,Description
GameKey,int64,0.0,
Date,object,0.0,
SeasonType,int64,0.0,
Season,int64,0.0,
Week,int64,0.0,
Team,object,0.0,
Opponent,object,0.0,
HomeOrAway,object,0.0,
Score,int64,0.0,
OpponentScore,int64,0.0,
TotalScore,int64,0.0,
Stadium,object,0.0,
ScoreQuarter1,int64,0.0,
ScoreQuarter2,int64,0.0,
ScoreQuarter3,int64,0.0,
ScoreQuarter4,int64,0.0,
ScoreOvertime,int64,0.0,
TimeOfPossessionMinutes,int64,0.0,
TimeOfPossessionSeconds,int64,0.0,
TimeOfPossession,object,0.0,
FirstDowns,int64,0.0,
FirstDownsByRushing,int64,0.0,
FirstDownsByPassing,int64,0.0,
FirstDownsByPenalty,int64,0.0,
OffensivePlays,int64,0.0,
OffensiveYards,int64,0.0,
OffensiveYardsPerPlay,float64,0.0,
Touchdowns,int64,0.0,
RushingAttempts,int64,0.0,
RushingYards,int64,0.0,
RushingYardsPerAttempt,float64,0.0,
RushingTouchdowns,int64,0.0,
PassingAttempts,int64,0.0,
PassingCompletions,int64,0.0,
PassingYards,int64,0.0,
PassingTouchdowns,int64,0.0,
PassingInterceptions,int64,0.0,
PassingYardsPerAttempt,float64,0.0,
PassingYardsPerCompletion,float64,0.0,
CompletionPercentage,float64,0.0,
PasserRating,float64,0.0,
ThirdDownAttempts,int64,0.0,
ThirdDownConversions,int64,0.0,
ThirdDownPercentage,float64,0.0,
FourthDownAttempts,int64,0.0,
FourthDownConversions,int64,0.0,
FourthDownPercentage,float64,0.0,
RedZoneAttempts,int64,0.0,
RedZoneConversions,int64,0.0,
GoalToGoAttempts,int64,0.0,
GoalToGoConversions,int64,0.0,
Penalties,int64,0.0,
PenaltyYards,int64,0.0,
Fumbles,int64,0.0,
FumblesLost,int64,0.0,
TimesSacked,int64,0.0,
TimesSackedYards,int64,0.0,
QuarterbackHits,int64,0.0,
TacklesForLoss,int64,0.0,
Punts,int64,0.0,
PuntYards,int64,0.0,
PuntAverage,float64,0.0,
Giveaways,int64,0.0,
Takeaways,int64,0.0,
TurnoverDifferential,int64,0.0,
OpponentScoreQuarter1,int64,0.0,
OpponentScoreQuarter2,int64,0.0,
OpponentScoreQuarter3,int64,0.0,
OpponentScoreQuarter4,int64,0.0,
OpponentScoreOvertime,int64,0.0,
OpponentTimeOfPossessionMinutes,int64,0.0,
OpponentTimeOfPossessionSeconds,int64,0.0,
OpponentTimeOfPossession,object,0.0,
OpponentFirstDowns,int64,0.0,
OpponentFirstDownsByRushing,int64,0.0,
OpponentFirstDownsByPassing,int64,0.0,
OpponentFirstDownsByPenalty,int64,0.0,
OpponentOffensivePlays,int64,0.0,
OpponentOffensiveYards,int64,0.0,
OpponentOffensiveYardsPerPlay,float64,0.0,
OpponentTouchdowns,int64,0.0,
OpponentRushingAttempts,int64,0.0,
OpponentRushingYards,int64,0.0,
OpponentRushingYardsPerAttempt,float64,0.0,
OpponentRushingTouchdowns,int64,0.0,
OpponentPassingAttempts,int64,0.0,
OpponentPassingCompletions,int64,0.0,
OpponentPassingYards,int64,0.0,
OpponentPassingTouchdowns,int64,0.0,
OpponentPassingInterceptions,int64,0.0,
OpponentPassingYardsPerAttempt,float64,0.0,
OpponentPassingYardsPerCompletion,float64,0.0,
OpponentCompletionPercentage,float64,0.0,
OpponentPasserRating,float64,0.0,
OpponentThirdDownAttempts,int64,0.0,
OpponentThirdDownConversions,int64,0.0,
OpponentThirdDownPercentage,float64,0.0,
OpponentFourthDownAttempts,int64,0.0,
OpponentFourthDownConversions,int64,0.0,
OpponentFourthDownPercentage,float64,0.0,
OpponentRedZoneAttempts,int64,0.0,
OpponentRedZoneConversions,int64,0.0,
OpponentGoalToGoAttempts,int64,0.0,
OpponentGoalToGoConversions,int64,0.0,
OpponentPenalties,int64,0.0,
OpponentPenaltyYards,int64,0.0,
OpponentFumbles,int64,0.0,
OpponentFumblesLost,int64,0.0,
OpponentTimesSacked,int64,0.0,
OpponentTimesSackedYards,int64,0.0,
OpponentQuarterbackHits,int64,0.0,
